sentence,pseudo_that,context,embedded_clause,matrix_verb_to_cc,verb,verb_in_text,embedded_clause_n,comp_type,context_verb,context_verb_n,embedded_n_sum,verb_sum
"Eagle Claw Grandmasters Leung Shum and Lily Lau believe "" Jow Tong "" ( the Cantonese rendering of his name ) was a monk who brought young Yue to the Shaolin Monastery and taught him a set of hand techniques , which Yue later adapted to create his Ying Kuen ( Eagle fist ).","Eagle Claw Grandmasters Leung Shum and Lily Lau believe "" Jow Tong "" ( the Cantonese rendering of his name ) was a monk who brought young Yue to the Shaolin Monastery and taught him a set of hand techniques , which Yue later adapted to create his Ying Kuen ( Eagle fist ).",Eagle Claw Grandmasters Leung Shum and Lily Lau,""" Jow Tong "" ( the Cantonese rendering of his name ) was a monk who brought young Yue to the Shaolin Monastery and taught him a set of hand techniques , which Yue later adapted to create his Ying Kuen ( Eagle fist ).",0,believe,believe,"Eagle Claw Grandmasters Leung Shum and Lily Lau believe "" Jow Tong "" (",none,Eagle Claw Grandmasters Leung Shum and Lily Lau believe,"Eagle Claw Grandmasters Leung Shum and Lily Lau believe "" Jow Tong "" (",52.60101461,13.82814693
Liang Shouyu states practitioners of Emei Dapeng Qigong believe Yue trained under Zhou as a child and competed to become China 's top fighter at an early age.,Liang Shouyu states practitioners of Emei Dapeng Qigong believe Yue trained under Zhou as a child and competed to become China 's top fighter at an early age.,Liang Shouyu,practitioners of Emei Dapeng Qigong believe Yue trained under Zhou as a child and competed to become China 's top fighter at an early age.,0,state,states,Liang Shouyu states practitioners of Emei Dapeng Qigong,none,Liang Shouyu states,Liang Shouyu states practitioners of Emei Dapeng Qigong,89.08634183,13.53885365
Liang Shouyu states practitioners of Emei Dapeng Qigong believe Yue trained under Zhou as a child and competed to become China 's top fighter at an early age.,Liang Shouyu states practitioners of Emei Dapeng Qigong believe Yue trained under Zhou as a child and competed to become China 's top fighter at an early age.,Liang Shouyu states practitioners of Emei Dapeng Qigong,Yue trained under Zhou as a child and competed to become China 's top fighter at an early age.,0,believe,believe,Liang Shouyu states practitioners of Emei Dapeng Qigong believe Yue trained under Zhou as,none,Liang Shouyu states practitioners of Emei Dapeng Qigong believe,Liang Shouyu states practitioners of Emei Dapeng Qigong believe Yue trained under Zhou as,56.60703373,10.78333759
"Northern Praying Mantis Master Yuen Mankai says Zhou taught Yue the "" same school "" of martial arts as he did his Water Margin students and that the General was the originator of the praying mantis technique "" Black Tiger Steeling [ sic ] Heart "".","Northern Praying Mantis Master Yuen Mankai says Zhou taught Yue the "" same school "" of martial arts as he did his Water Margin students and that the General was the originator of the praying mantis technique "" Black Tiger Steeling [ sic ] Heart "".",Northern Praying Mantis Master Yuen Mankai,"Zhou taught Yue the "" same school "" of martial arts as he did his Water Margin students and that the General was the originator of the praying mantis technique "" Black Tiger Steeling [ sic ] Heart "".",0,say,says,Northern Praying Mantis Master Yuen Mankai says Zhou taught,none,Northern Praying Mantis Master Yuen Mankai says,"Northern Praying Mantis Master Yuen Mankai says Zhou taught Yue the """,54.31515062,11.23306465
"Although Martial arts historian Stanley Henning admits that Yue 's biographies do not mention boxing , he says "" he [ Yue ] almost certainly did practice some form of bare handed fighting "" to prepare for his weapons training.","Although Martial arts historian Stanley Henning admits that Yue 's biographies do not mention boxing , he says "" he [ Yue ] almost certainly did practice some form of bare handed fighting "" to prepare for his weapons training.","Although Martial arts historian Stanley Henning admits that Yue 's biographies do not mention boxing , he",""" he [ Yue ] almost certainly did practice some form of bare handed fighting "" to prepare for his weapons training.",0,say,says,"Although Martial arts historian Stanley Henning admits that Yue 's biographies do not mention boxing , he says "" he [ Yue ]",none,"Although Martial arts historian Stanley Henning admits that Yue 's biographies do not mention boxing , he says","Although Martial arts historian Stanley Henning admits that Yue 's biographies do not mention boxing , he says "" he [ Yue ]",29.8240236,3.854754925
But he does not suggest who Yue might have learned it from.,But he does not suggest who Yue might have learned it from.,But he does not,Yue might have learned it from.,0,suggest,suggest,But he does not suggest who Yue might have learned it,other,But he does not suggest,But he does not suggest who Yue might have learned,57.46334386,9.879732132
"Yuen Mankai believes Zhou taught Lin Chong and Lu Junyi the "" same school "" of martial arts that was later combined with seventeen other schools to create Mantis fist.","Yuen Mankai believes Zhou taught Lin Chong and Lu Junyi the "" same school "" of martial arts that was later combined with seventeen other schools to create Mantis fist.",Yuen Mankai,"Zhou taught Lin Chong and Lu Junyi the "" same school "" of martial arts that was later combined with seventeen other schools to create Mantis fist.",0,believe,believes,Yuen Mankai believes Zhou taught Lin Chong and,none,Yuen Mankai believes,Yuen Mankai believes Zhou taught Lin Chong and,59.52202237,13.21887684
"Lin Chong and Yan Qing are listed as two of the eighteen masters invited , which means their skills of Mandarin Duck Leg and ground fighting are treated as two separate schools , instead of one.","Lin Chong and Yan Qing are listed as two of the eighteen masters invited , which means their skills of Mandarin Duck Leg and ground fighting are treated as two separate schools , instead of one.","Lin Chong and Yan Qing are listed as two of the eighteen masters invited , which","their skills of Mandarin Duck Leg and ground fighting are treated as two separate schools , instead of one.",0,mean,means,"Lin Chong and Yan Qing are listed as two of the eighteen masters invited , which means their skills of Mandarin Duck",none,"Lin Chong and Yan Qing are listed as two of the eighteen masters invited , which means","Lin Chong and Yan Qing are listed as two of the eighteen masters invited , which means their skills of Mandarin Duck",54.54255676,1.698249817
"But he believes Mantis fist was created during the Ming Dynasty , and was therefore influenced by these eighteen schools from the Song.","But he believes Mantis fist was created during the Ming Dynasty , and was therefore influenced by these eighteen schools from the Song.",But he,"Mantis fist was created during the Ming Dynasty , and was therefore influenced by these eighteen schools from the Song.",0,believe,believes,But he believes Mantis fist was created during,none,But he believes,But he believes Mantis fist was created during,64.59215879,8.670706749
He also says Lu Junyi taught Yan Qing the same martial arts as he learned from Zhou.,He also says Lu Junyi taught Yan Qing the same martial arts as he learned from Zhou.,He also,Lu Junyi taught Yan Qing the same martial arts as he learned from Zhou.,0,say,says,He also says Lu Junyi taught Yan Qing,none,He also says,He also says Lu Junyi taught Yan Qing,68.65499878,5.564932823
"Practitioners of Chuojiao claim he learned the style from its creator , a wandering Taoist named Deng Liang.","Practitioners of Chuojiao claim he learned the style from its creator , a wandering Taoist named Deng Liang.",Practitioners of Chuojiao,"he learned the style from its creator , a wandering Taoist named Deng Liang.",0,claim,claim,Practitioners of Chuojiao claim he learned the style from,none,Practitioners of Chuojiao claim,Practitioners of Chuojiao claim he learned the style from,31.21477175,13.17159396
"Practitioners of Geok Gar Kuen , a style attributed to Yue Fei , believe he studied under Han De , a "" chivalrous person "" from Shaanxi.","Practitioners of Geok Gar Kuen , a style attributed to Yue Fei , believe he studied under Han De , a "" chivalrous person "" from Shaanxi.","Practitioners of Geok Gar Kuen , a style attributed to Yue Fei ,","he studied under Han De , a "" chivalrous person "" from Shaanxi.",0,believe,believe,"Practitioners of Geok Gar Kuen , a style attributed to Yue Fei , believe he studied under Han De",none,"Practitioners of Geok Gar Kuen , a style attributed to Yue Fei , believe","Practitioners of Geok Gar Kuen , a style attributed to Yue Fei , believe he studied under Han De",46.60940909,9.73229599
"However , when he arrives in Kaifeng , he sees the empire is wasting money on the construction of large imperial gardens , the court officials Cai Jing and Wang Pu have extravagant residencies , and hears that even eunuchs are rich because they are given high government posts.","However , when he arrives in Kaifeng , he sees the empire is wasting money on the construction of large imperial gardens , the court officials Cai Jing and Wang Pu have extravagant residencies , and hears that even eunuchs are rich because they are given high government posts.","However , when he arrives in Kaifeng , he","the empire is wasting money on the construction of large imperial gardens , the court officials Cai Jing and Wang Pu have extravagant residencies , and hears that even eunuchs are rich because they are given high government posts.",0,see,sees,"However , when he arrives in Kaifeng , he sees the empire is wasting money",none,"However , when he arrives in Kaifeng , he sees","However , when he arrives in Kaifeng , he sees the empire is wasting money",41.04886198,4.898226261
"However , when he arrives in Kaifeng , he sees the empire is wasting money on the construction of large imperial gardens , the court officials Cai Jing and Wang Pu have extravagant residencies , and hears that even eunuchs are rich because they are given high government posts.","However , when he arrives in Kaifeng , he sees the empire is wasting money on the construction of large imperial gardens , the court officials Cai Jing and Wang Pu have extravagant residencies , and hears even eunuchs are rich because they are given high government posts.","However , when he arrives in Kaifeng , he sees the empire is wasting money on the construction of large imperial gardens , the court officials Cai Jing and Wang Pu have extravagant residencies , and",even eunuchs are rich because they are given high government posts.,0,hear,hears,"However , when he arrives in Kaifeng , he sees the empire is wasting money on the construction of large imperial gardens , the court officials Cai Jing and Wang Pu have extravagant residencies , and hears even eunuchs are rich because",that,"However , when he arrives in Kaifeng , he sees the empire is wasting money on the construction of large imperial gardens , the court officials Cai Jing and Wang Pu have extravagant residencies , and hears","However , when he arrives in Kaifeng , he sees the empire is wasting money on the construction of large imperial gardens , the court officials Cai Jing and Wang Pu have extravagant residencies , and hears even eunuchs are rich because",54.55008411,15.57622552
He later learns that the General had accidentally offended some court officials and was sentenced to permanent exile on some trumped up charges.,He later learns the General had accidentally offended some court officials and was sentenced to permanent exile on some trumped up charges.,He later,the General had accidentally offended some court officials and was sentenced to permanent exile on some trumped up charges.,0,learn,learns,He later learns the General had accidentally offended,that,He later learns,He later learns the General had accidentally offended,45.38542843,13.93272781
"A morale tale called "" Yue Fei Studies Archery "" in Children 's Pictorial , a Chinese magazine tailored for children ages two through seven , demonstrates how great achievements are only made possible via diligent practice.","A morale tale called "" Yue Fei Studies Archery "" in Children 's Pictorial , a Chinese magazine tailored for children ages two through seven , demonstrates how great achievements are only made possible via diligent practice.","A morale tale called "" Yue Fei Studies Archery "" in Children 's Pictorial , a Chinese magazine tailored for children ages two through seven ,",how great achievements are only made possible via diligent practice.,0,demonstrate,demonstrates,"A morale tale called "" Yue Fei Studies Archery "" in Children 's Pictorial , a Chinese magazine tailored for children ages two through seven , demonstrates how great achievements are only",none,"A morale tale called "" Yue Fei Studies Archery "" in Children 's Pictorial , a Chinese magazine tailored for children ages two through seven , demonstrates","A morale tale called "" Yue Fei Studies Archery "" in Children 's Pictorial , a Chinese magazine tailored for children ages two through seven , demonstrates how great achievements are only",34.13638186,10.85597801
"Yue applies to become a student , but Zhou tells him he must first practice the art of the "" far @-@ sighted person "" by staring into the morning sun to improve his eyesight.","Yue applies to become a student , but Zhou tells him he must first practice the art of the "" far @-@ sighted person "" by staring into the morning sun to improve his eyesight.","Yue applies to become a student , but Zhou","him he must first practice the art of the "" far @-@ sighted person "" by staring into the morning sun to improve his eyesight.",0,tell,tells,"Yue applies to become a student , but Zhou tells him he must first practice",none,"Yue applies to become a student , but Zhou tells","Yue applies to become a student , but Zhou tells him he must first practice",24.78169024,7.204256058
"When Hutch asks him if he had ever heard of the archery @-@ champion @-@ turned @-@ actor Howard Hill , Dillon replies : "" I don 't think so ... You told me about Zhou Tong "".","When Hutch asks him if he had ever heard of the archery @-@ champion @-@ turned @-@ actor Howard Hill , Dillon replies : "" I don 't think so ... You told me about Zhou Tong "".","When Hutch asks him if he had ever heard of the archery @-@ champion @-@ turned @-@ actor Howard Hill , Dillon",": "" I don 't think so ... You told me about Zhou Tong "".",0,reply,replies,"When Hutch asks him if he had ever heard of the archery @ -@ champion @-@ turned @-@ actor Howard Hill , Dillon replies : "" I don 't",none,"When Hutch asks him if he had ever heard of the archery @-@ champion @-@ turned @-@ actor Howard Hill , Dillon replies","When Hutch asks him if he had ever heard of the archery @-@ champion @-@ turned @-@ actor Howard Hill , Dillon replies : "" I don 't",30.79646003,1.414033055
"When the page goes out again , Hutch muses : "" Zhou Tong had been a famous archery teacher and military arts tutor in the Song Dynasty.","When the page goes out again , Hutch muses : "" Zhou Tong had been a famous archery teacher and military arts tutor in the Song Dynasty.","When the page goes out again , Hutch",": "" Zhou Tong had been a famous archery teacher and military arts tutor in the Song Dynasty.",0,muse,muses,"When the page goes out again , Hutch muses : "" Zhou Tong had",none,"When the page goes out again , Hutch muses","When the page goes out again , Hutch muses : "" Zhou Tong had",45.20691288,16.31364854
He finally realizes that the page had to have been left by Dillon 's mother Laura to catch his attention.,He finally realizes the page had to have been left by Dillon 's mother Laura to catch his attention.,He finally,the page had to have been left by Dillon 's mother Laura to catch his attention.,0,realize,realizes,He finally realizes the page had to have,that,He finally realizes,He finally realizes the page had to have,36.26708508,9.299702644
"After 1 April 1921 to 23 March 1939 , C. 6 A. was commissioned by General Nicholas Petal , Danila Pop Hanzu Alexander , John Prodan , Motas Dumitru Gheorghe Florescu and Christie Doe , prominent military leaders , whom Octavian Goga wrote that "" in the interwar period , in Cluj in Transylvania , commanders have made a large @-@ scale opera and unanimous praise.","After 1 April 1921 to 23 March 1939 , C. 6 A. was commissioned by General Nicholas Petal , Danila Pop Hanzu Alexander , John Prodan , Motas Dumitru Gheorghe Florescu and Christie Doe , prominent military leaders , whom Octavian Goga wrote "" in the interwar period , in Cluj in Transylvania , commanders have made a large @-@ scale opera and unanimous praise.","After 1 April 1921 to 23 March 1939 , C. 6 A. was commissioned by General Nicholas Petal , Danila Pop Hanzu Alexander , John Prodan , Motas Dumitru Gheorghe Florescu and Christie Doe , prominent military leaders , whom Octavian Goga",""" in the interwar period , in Cluj in Transylvania , commanders have made a large @-@ scale opera and unanimous praise.",0,write,wrote,"After 1 April 1921 to 23 March 1939 , C. 6 A. was commissioned by General Nicholas Petal , Danila Pop Hanzu Alexander , John Prodan , Motas Dumitru Gheorghe Florescu and Christie Doe , prominent military leaders , whom Octavian Goga wrote "" in the interwar period",that,"After 1 April 1921 to 23 March 1939 , C. 6 A. was commissioned by General Nicholas Petal , Danila Pop Hanzu Alexander , John Prodan , Motas Dumitru Gheorghe Florescu and Christie Doe , prominent military leaders , whom Octavian Goga wrote","After 1 April 1921 to 23 March 1939 , C. 6 A. was commissioned by General Nicholas Petal , Danila Pop Hanzu Alexander , John Prodan , Motas Dumitru Gheorghe Florescu and Christie Doe , prominent military leaders , whom Octavian Goga wrote "" in the interwar period",36.51078582,8.543591499
It has been estimated that the royal coup shortened the war for Romania by six months.,It has been estimated the royal coup shortened the war for Romania by six months.,It has been,the royal coup shortened the war for Romania by six months.,0,estimate,estimated,It has been estimated the royal coup shortened the,that,It has been estimated,It has been estimated the royal coup shortened the,55.7739318,6.208517075
"It was announced on December 6 , 2006 that 1 @,@ 500 U.S. troops stationed at Mihail Kogălniceanu , which in time will form Joint Task Force East , will be using Babadag as a training base.","It was announced on December 6 , 2006 1 @,@ 500 U.S. troops stationed at Mihail Kogălniceanu , which in time will form Joint Task Force East , will be using Babadag as a training base.",It was,"1 @,@ 500 U.S. troops stationed at Mihail Kogălniceanu , which in time will form Joint Task Force East , will be using Babadag as a training base.",5,announce,announced,"It was announced on December 6 , 2006 1 @ , @ 500",that,It was announced,"It was announced on December 6 , 2006 1 @,@ 500 U.S. troops",117.5443396,7.456546068
"He replied the day after , telling Hartley that he would do whatever he could to get the film made.","He replied the day after , telling Hartley he would do whatever he could to get the film made.","He replied the day after ,",he would do whatever he could to get the film made.,1,tell,telling,"He replied the day after , telling Hartley he would do whatever he",that,"He replied the day after , telling","He replied the day after , telling Hartley he would do whatever he",38.78809655,7.670934916
"Sandra Hall , writing for The Sydney Morning Herald , gave the film three and a half out of five stars , believing that "" Hartley 's own film is much livelier than most of those he is out to celebrate "".","Sandra Hall , writing for The Sydney Morning Herald , gave the film three and a half out of five stars , believing "" Hartley 's own film is much livelier than most of those he is out to celebrate "".","Sandra Hall , writing for The Sydney Morning Herald , gave the film three and a half out of five stars ,",""" Hartley 's own film is much livelier than most of those he is out to celebrate "".",0,believe,believing,"Sandra Hall , writing for The Sydney Morning Herald , gave the film three and a half out of five stars , believing "" Hartley 's own film",that,"Sandra Hall , writing for The Sydney Morning Herald , gave the film three and a half out of five stars , believing","Sandra Hall , writing for The Sydney Morning Herald , gave the film three and a half out of five stars , believing "" Hartley 's own film",50.77197707,10.95129329
"Jake Wilson of The Age similarly gave the film three and a half stars , but called the film "" basically a feature @-@ length advertisement for its subject "" , saying that it "" moves far too rapidly to permit sustained analysis "".","Jake Wilson of The Age similarly gave the film three and a half stars , but called the film "" basically a feature @-@ length advertisement for its subject "" , saying it "" moves far too rapidly to permit sustained analysis "".","Jake Wilson of The Age similarly gave the film three and a half stars , but called the film "" basically a feature @-@ length advertisement for its subject "" ,","it "" moves far too rapidly to permit sustained analysis "".",0,say,saying,"Jake Wilson of The Age similarly gave the film three and a half stars , but called the film "" basically a feature @-@ length advertisement for its subject "" , saying it "" moves far too",that,"Jake Wilson of The Age similarly gave the film three and a half stars , but called the film "" basically a feature @-@ length advertisement for its subject "" , saying","Jake Wilson of The Age similarly gave the film three and a half stars , but called the film "" basically a feature @-@ length advertisement for its subject "" , saying it "" moves far too",25.39512503,4.125766754
"The Courier @-@ Mail 's Des Partidge , who gave the film four and a half out of five stars , disagreed , saying that "" Brisk editing means the history is lively and fun "" , and claimed in homage to The Castle , "" Copies of Hartley 's film should go straight to pool rooms all over Australia when it becomes available on DVD.","The Courier @-@ Mail 's Des Partidge , who gave the film four and a half out of five stars , disagreed , saying "" Brisk editing means the history is lively and fun "" , and claimed in homage to The Castle , "" Copies of Hartley 's film should go straight to pool rooms all over Australia when it becomes available on DVD.","The Courier @-@ Mail 's Des Partidge , who gave the film four and a half out of five stars , disagreed ,",""" Brisk editing means the history is lively and fun "" , and claimed in homage to The Castle , "" Copies of Hartley 's film should go straight to pool rooms all over Australia when it becomes available on DVD.",0,say,saying,"The Courier @-@ Mail 's Des Partidge , who gave the film four and a half out of five stars , disagreed , saying "" Brisk editing means the",that,"The Courier @-@ Mail 's Des Partidge , who gave the film four and a half out of five stars , disagreed , saying","The Courier @-@ Mail 's Des Partidge , who gave the film four and a half out of five stars , disagreed , saying "" Brisk editing means the",59.72733581,1.421558261
"The Courier @-@ Mail 's Des Partidge , who gave the film four and a half out of five stars , disagreed , saying that "" Brisk editing means the history is lively and fun "" , and claimed in homage to The Castle , "" Copies of Hartley 's film should go straight to pool rooms all over Australia when it becomes available on DVD.","The Courier @-@ Mail 's Des Partidge , who gave the film four and a half out of five stars , disagreed , saying that "" Brisk editing means the history is lively and fun "" , and claimed in homage to The Castle , "" Copies of Hartley 's film should go straight to pool rooms all over Australia when it becomes available on DVD.","The Courier @-@ Mail 's Des Partidge , who gave the film four and a half out of five stars , disagreed , saying that "" Brisk editing","the history is lively and fun "" , and claimed in homage to The Castle , "" Copies of Hartley 's film should go straight to pool rooms all over Australia when it becomes available on DVD.",0,mean,means,"Mail 's Des Partidge , who gave the film four and a half out of five stars , disagreed , saying that "" Brisk editing means the history is lively and",none,"The Courier @-@ Mail 's Des Partidge , who gave the film four and a half out of five stars , disagreed , saying that "" Brisk editing means","The Courier @-@ Mail 's Des Partidge , who gave the film four and a half out of five stars , disagreed , saying that "" Brisk editing means the history is lively and",41.52573323,9.10772419
"The Courier @-@ Mail 's Des Partidge , who gave the film four and a half out of five stars , disagreed , saying that "" Brisk editing means the history is lively and fun "" , and claimed in homage to The Castle , "" Copies of Hartley 's film should go straight to pool rooms all over Australia when it becomes available on DVD.","The Courier @-@ Mail 's Des Partidge , who gave the film four and a half out of five stars , disagreed , saying that "" Brisk editing means the history is lively and fun "" , and claimed in homage to The Castle , "" Copies of Hartley 's film should go straight to pool rooms all over Australia when it becomes available on DVD.","The Courier @-@ Mail 's Des Partidge , who gave the film four and a half out of five stars , disagreed ,","that "" Brisk editing means the history is lively and fun "" , and claimed in homage to The Castle , "" Copies of Hartley 's film should go straight to pool rooms all over Australia when it becomes available on DVD.",0,say,saying,"Mail 's Des Partidge , who gave the film four and a half out of five stars , disagreed , saying that "" Brisk editing means",none,"The Courier @-@ Mail 's Des Partidge , who gave the film four and a half out of five stars , disagreed , saying","The Courier @-@ Mail 's Des Partidge , who gave the film four and a half out of five stars , disagreed , saying that "" Brisk editing means",58.99049103,1.421558261
""" Luke Goodsell of Empire Magazine Australasia gave Not Quite Hollywood five out of five stars , calling the film "" fast , thrilling and often ribald "" , while Leigh Paatsch wrote for the Herald Sun that "" there is not a single instant where boredom can possibly intrude "" , dubbing the film "" an incredibly energetic and merrily messed @-@ up celebration of Australian B @-@ movies "".",""" Luke Goodsell of Empire Magazine Australasia gave Not Quite Hollywood five out of five stars , calling the film "" fast , thrilling and often ribald "" , while Leigh Paatsch wrote for the Herald Sun "" there is not a single instant where boredom can possibly intrude "" , dubbing the film "" an incredibly energetic and merrily messed @-@ up celebration of Australian B @-@ movies "".",""" Luke Goodsell of Empire Magazine Australasia gave Not Quite Hollywood five out of five stars , calling the film "" fast , thrilling and often ribald "" , while Leigh Paatsch",""" there is not a single instant where boredom can possibly intrude "" , dubbing the film "" an incredibly energetic and merrily messed @-@ up celebration of Australian B @-@ movies "".",4,write,wrote,""" Luke Goodsell of Empire Magazine Australasia gave Not Quite Hollywood five out of five stars , calling the film "" fast , thrilling and often ribald "" , while Leigh Paatsch wrote for the Herald Sun "" there is not a",that,""" Luke Goodsell of Empire Magazine Australasia gave Not Quite Hollywood five out of five stars , calling the film "" fast , thrilling and often ribald "" , while Leigh Paatsch wrote",""" Luke Goodsell of Empire Magazine Australasia gave Not Quite Hollywood five out of five stars , calling the film "" fast , thrilling and often ribald "" , while Leigh Paatsch wrote for the Herald Sun "" there is not a",42.233832,5.639639854
"He noted that , through the verses , the singer congratulates herself for breaking up with an abusive boyfriend and admits that she is still in love.","He noted , through the verses , the singer congratulates herself for breaking up with an abusive boyfriend and admits that she is still in love.",He,", through the verses , the singer congratulates herself for breaking up with an abusive boyfriend and admits that she is still in love.",0,note,noted,"He noted , through the verses ,",that,He noted,"He noted , through the verses ,",44.84546113,11.23383904
"Craig Lytle of Allmusic noted that Houston 's voice "" sailed "" through the song.","Craig Lytle of Allmusic noted Houston 's voice "" sailed "" through the song.",Craig Lytle of Allmusic,"Houston 's voice "" sailed "" through the song.",0,note,noted,"Craig Lytle of Allmusic noted Houston 's voice "" sailed",that,Craig Lytle of Allmusic noted,"Craig Lytle of Allmusic noted Houston 's voice "" sailed",72.5773685,10.53271055
