sentence,pseudo_that,matrix_verb_to_cc,verb,verb_in_text,comp_type,context,context_verb,context_verb_n,embedded_n_sum,verb_sum
"By 2013 , Constantine was contacted by the Three Fates , who tell him that he will finally meet his end in five days.","By 2013 , Constantine was contacted by the Three Fates , who tell him he will finally meet his end in five days.",1,tell,tell,that,"By 2013 , Constantine was contacted by the Three Fates , who","By 2013 , Constantine was contacted by the Three Fates , who tell","By 2013 , Constantine was contacted by the Three Fates , who tell him he will finally meet his",23.980272,11.44862318
"John 's ghost saw them having sex in a graveyard and seemed to give his blessing , making the fates decide that John wasn 't going to try to come back to life.","John 's ghost saw them having sex in a graveyard and seemed to give his blessing , making the fates decide John wasn 't going to try to come back to life.",0,decide,decide,that,"John 's ghost saw them having sex in a graveyard and seemed to give his blessing , making the fates","John 's ghost saw them having sex in a graveyard and seemed to give his blessing , making the fates decide","John 's ghost saw them having sex in a graveyard and seemed to give his blessing , making the fates decide John wasn 't going to",38.03640975,14.83798265
"That didn 't last long , though , as John realized he can never run from his past.","That didn 't last long , though , as John realized he can never run from his past.",0,realize,realized,none,"That didn 't last long , though , as John","That didn 't last long , though , as John realized","That didn 't last long , though , as John realized he can never run from",30.90394831,14.0800333
"He stole the last dart holding the concoction that killed his demon twin , but ultimately gave it back to Gemma and told her either she could kill him , and live her life without him in but consumed with guilt for killing him , or she could let him disappear from her life forever , without any guilt for murdering him.","He stole the last dart holding the concoction that killed his demon twin , but ultimately gave it back to Gemma and told her either she could kill him , and live her life without him in but consumed with guilt for killing him , or she could let him disappear from her life forever , without any guilt for murdering him.",0,tell,told,none,"He stole the last dart holding the concoction that killed his demon twin , but ultimately gave it back to Gemma and","He stole the last dart holding the concoction that killed his demon twin , but ultimately gave it back to Gemma and told","He stole the last dart holding the concoction that killed his demon twin , but ultimately gave it back to Gemma and told her either she could kill",28.68157893,6.992845535
"On November 8 , 2012 , DC announced that Hellblazer would be cancelled following its 300th issue , and would be replaced by Constantine written by Robert Venditti and drawn by Renato Guedes starring the younger New 52 John Constantine , rather than the version from Hellblazer , depicted as being in his late 50s.","On November 8 , 2012 , DC announced Hellblazer would be cancelled following its 300th issue , and would be replaced by Constantine written by Robert Venditti and drawn by Renato Guedes starring the younger New 52 John Constantine , rather than the version from Hellblazer , depicted as being in his late 50s.",0,announce,announced,that,"On November 8 , 2012 , DC","On November 8 , 2012 , DC announced","On November 8 , 2012 , DC announced Hellblazer would be cancelled following",44.25975464,9.259872198
"Writer Ming Doyle expressed excitement in her chance to write Constantine , stating that the reason of putting the term Hellblazer back to the character 's title was to "" take Constantine back to what he was at the start.","Writer Ming Doyle expressed excitement in her chance to write Constantine , stating the reason of putting the term Hellblazer back to the character 's title was to "" take Constantine back to what he was at the start.",0,state,stating,that,"Writer Ming Doyle expressed excitement in her chance to write Constantine ,","Writer Ming Doyle expressed excitement in her chance to write Constantine , stating","Writer Ming Doyle expressed excitement in her chance to write Constantine , stating the reason of putting the",37.08445808,8.608923912
""" Robert Tutton of Paste Magazine listed the series at # 4 in its "" 13 Terrifying Modern Horror Comics "" , stating that "" Constantine ’ s most frightening encounters have hewn close enough to that kernel of truth to remind readers that real life can be as terrifying as any succubus or demon spawn.",""" Robert Tutton of Paste Magazine listed the series at # 4 in its "" 13 Terrifying Modern Horror Comics "" , stating "" Constantine ’ s most frightening encounters have hewn close enough to that kernel of truth to remind readers that real life can be as terrifying as any succubus or demon spawn.",0,state,stating,that,""" Robert Tutton of Paste Magazine listed the series at # 4 in its "" 13 Terrifying Modern Horror Comics "" ,",""" Robert Tutton of Paste Magazine listed the series at # 4 in its "" 13 Terrifying Modern Horror Comics "" , stating",""" Robert Tutton of Paste Magazine listed the series at # 4 in its "" 13 Terrifying Modern Horror Comics "" , stating "" Constantine ’ s most",65.53262925,8.07480526
"Jamie Delano 's original run on the title is looked on fondly , with journalist Helen Braithwaite stating , "" His take on the character of John Constantine has never been equalled.","Jamie Delano 's original run on the title is looked on fondly , with journalist Helen Braithwaite stating , "" His take on the character of John Constantine has never been equalled.",0,state,stating,none,"Jamie Delano 's original run on the title is looked on fondly , with journalist Helen Braithwaite","Jamie Delano 's original run on the title is looked on fondly , with journalist Helen Braithwaite stating","Jamie Delano 's original run on the title is looked on fondly , with journalist Helen Braithwaite stating , "" His take on",27.14087307,8.920704842
""" She added that , "" His writing evokes an incredible sense of dread and terror in a reader.",""" She added , "" His writing evokes an incredible sense of dread and terror in a reader.",0,add,added,that,""" She",""" She added",""" She added , "" His writing evokes",42.22907311,9.578770638
"The creator of the protagonist , Alan Moore , praised Jamie Delano 's portrayal of the character , commenting "" [ Delano ] demonstrates brilliantly that English horror didn 't vanish with the fog and gas lit cobblestones at the end of the Victorian era.","The creator of the protagonist , Alan Moore , praised Jamie Delano 's portrayal of the character , commenting "" [ Delano ] demonstrates brilliantly English horror didn 't vanish with the fog and gas lit cobblestones at the end of the Victorian era.",1,demonstrate,demonstrates,that,"The creator of the protagonist , Alan Moore , praised Jamie Delano 's portrayal of the character , commenting "" [ Delano ]","The creator of the protagonist , Alan Moore , praised Jamie Delano 's portrayal of the character , commenting "" [ Delano ] demonstrates","The creator of the protagonist , Alan Moore , praised Jamie Delano 's portrayal of the character , commenting "" [ Delano ] demonstrates brilliantly English horror didn 't vanish",76.51787257,11.4259795
""" Moore also liked Brian Azzarello 's run on the series , commenting that Azzarello and Corben captured the character "" down , cold and to the life.",""" Moore also liked Brian Azzarello 's run on the series , commenting Azzarello and Corben captured the character "" down , cold and to the life.",0,comment,commenting,that,""" Moore also liked Brian Azzarello 's run on the series ,",""" Moore also liked Brian Azzarello 's run on the series , commenting",""" Moore also liked Brian Azzarello 's run on the series , commenting Azzarello and Corben captured the",58.11081552,10.92694664
"I , Vampire writer Joshua Hale Fialkov expressed sadness he would never get to write "" the ' real ' John Constantine "" , noted crime author and former Hellblazer writer Ian Rankin stated that Constantine was the only comic book character he ever wanted to write for , and Alan Moore 's daughter , Leah Moore expressing doubt that Constantine could replace Hellblazer , among others.","I , Vampire writer Joshua Hale Fialkov expressed sadness he would never get to write "" the ' real ' John Constantine "" , noted crime author and former Hellblazer writer Ian Rankin stated Constantine was the only comic book character he ever wanted to write for , and Alan Moore 's daughter , Leah Moore expressing doubt that Constantine could replace Hellblazer , among others.",0,state,stated,that,"I , Vampire writer Joshua Hale Fialkov expressed sadness he would never get to write "" the ' real ' John Constantine "" , noted crime author and former Hellblazer writer Ian Rankin","I , Vampire writer Joshua Hale Fialkov expressed sadness he would never get to write "" the ' real ' John Constantine "" , noted crime author and former Hellblazer writer Ian Rankin stated","I , Vampire writer Joshua Hale Fialkov expressed sadness he would never get to write "" the ' real ' John Constantine "" , noted crime author and former Hellblazer writer Ian Rankin stated Constantine was the only comic",30.68488633,9.237572134
"As a result , DC co @-@ publisher Dan Didio issued a statement defending this decision , stating that , "" Hellblazer 's had a long and incredibly successful run and that 's a tip of the hat to all the great creators that have worked on the book over the years.","As a result , DC co @-@ publisher Dan Didio issued a statement defending this decision , stating , "" Hellblazer 's had a long and incredibly successful run and that 's a tip of the hat to all the great creators that have worked on the book over the years.",0,state,stating,that,"As a result , DC co @-@ publisher Dan Didio issued a statement defending this decision ,","As a result , DC co @-@ publisher Dan Didio issued a statement defending this decision , stating","As a result , DC co @-@ publisher Dan Didio issued a statement defending this decision , stating , "" Hellblazer 's had",45.82325357,3.38559103
"DC Comics announced a sequel to the 2005 Constantine movie was in the works , with producer Lorenzo di Bonaventura linked to the project.","DC Comics announced a sequel to the 2005 Constantine movie was in the works , with producer Lorenzo di Bonaventura linked to the project.",0,announce,announced,none,DC Comics,DC Comics announced,DC Comics announced a sequel to the 2005,24.21476454,5.448359191
"He stated : "" I 'd love to do it ... We want to do a hard , R @-@ rated version of it.","He stated : "" I 'd love to do it ... We want to do a hard , R @-@ rated version of it.",0,state,stated,none,He,He stated,"He stated : "" I 'd love",33.91984487,11.77030373
A few weeks later it was announced that Neil Marshall would be directing the pilot.,A few weeks later it was announced Neil Marshall would be directing the pilot.,0,announce,announced,that,A few weeks later it was,A few weeks later it was announced,A few weeks later it was announced Neil Marshall would be directing,34.70719004,1.807443857
"On February , 21 it was announced that Welsh actor Matt Ryan ( whose credits include Criminal Minds : Suspect Behavior and Edward Kenway in Assassin 's Creed IV : Black Flag ) will play the role of Constantine in the TV series pilot.","On February , 21 it was announced Welsh actor Matt Ryan ( whose credits include Criminal Minds : Suspect Behavior and Edward Kenway in Assassin 's Creed IV : Black Flag ) will play the role of Constantine in the TV series pilot.",0,announce,announced,that,"On February , 21 it was","On February , 21 it was announced","On February , 21 it was announced Welsh actor Matt Ryan (",46.6557917,1.382409334
"On May 8 , NBC announced it had officially picked up Constantine for the Fall 2014 season.","On May 8 , NBC announced it had officially picked up Constantine for the Fall 2014 season.",0,announce,announced,none,"On May 8 , NBC","On May 8 , NBC announced","On May 8 , NBC announced it had officially picked up",20.01241511,4.310270786
"Woodhouse stated that he had "" fallen out of love "" with football and decided to turn to professional boxing , despite no previous experience.","Woodhouse stated he had "" fallen out of love "" with football and decided to turn to professional boxing , despite no previous experience.",0,state,stated,that,Woodhouse,Woodhouse stated,"Woodhouse stated he had "" fallen out",36.007231,13.02037048
"Despite consistent performances , by December 2005 he had lost his place and there was speculation that he had fallen out with Taylor and wanted to leave ; this was strongly denied by the player : "" I 'm shocked that people are saying I want to go.","Despite consistent performances , by December 2005 he had lost his place and there was speculation that he had fallen out with Taylor and wanted to leave ; this was strongly denied by the player : "" I 'm shocked that people are saying I want to go.",0,say,saying,none,"Despite consistent performances , by December 2005 he had lost his place and there was speculation that he had fallen out with Taylor and wanted to leave ; this was strongly denied by the player : "" I 'm shocked that people are","Despite consistent performances , by December 2005 he had lost his place and there was speculation that he had fallen out with Taylor and wanted to leave ; this was strongly denied by the player : "" I 'm shocked that people are saying","Despite consistent performances , by December 2005 he had lost his place and there was speculation that he had fallen out with Taylor and wanted to leave ; this was strongly denied by the player : "" I 'm shocked that people are saying I want to go.",14.98189367,3.400787115
"On 26 April 2006 , Woodhouse said he planned to retire from football at the end of the 2005 – 06 season and embark on a career as a professional boxer.","On 26 April 2006 , Woodhouse said he planned to retire from football at the end of the 2005 – 06 season and embark on a career as a professional boxer.",0,say,said,none,"On 26 April 2006 , Woodhouse","On 26 April 2006 , Woodhouse said","On 26 April 2006 , Woodhouse said he planned to retire from",20.5355671,6.521699905
"Woodhouse had a history of theft , robbery and affray , and said that he had "" fallen out of love "" with football.","Woodhouse had a history of theft , robbery and affray , and said he had "" fallen out of love "" with football.",0,say,said,that,"Woodhouse had a history of theft , robbery and affray , and","Woodhouse had a history of theft , robbery and affray , and said","Woodhouse had a history of theft , robbery and affray , and said he had "" fallen out",27.99545991,9.640505746
"He said ; "" Boxing has always been my first love , even as a kid "" , and "" I love fighting ... Rather than get locked up for it , I might as well get paid for it.","He said ; "" Boxing has always been my first love , even as a kid "" , and "" I love fighting ... Rather than get locked up for it , I might as well get paid for it.",0,say,said,none,He,He said,"He said ; "" Boxing has always",43.91909504,4.460617065
""" He also stated that he used to spar in the boxing gym after football training without his manager 's knowledge , saying "" A few times at Sheffield United , Neil Warnock would drag me in and say ‘ I hear you ’ ve been boxing ’.",""" He also stated he used to spar in the boxing gym after football training without his manager 's knowledge , saying "" A few times at Sheffield United , Neil Warnock would drag me in and say ‘ I hear you ’ ve been boxing ’.",0,state,stated,that,""" He also",""" He also stated",""" He also stated he used to spar in",34.32429504,6.193140507
""" He also stated that he used to spar in the boxing gym after football training without his manager 's knowledge , saying "" A few times at Sheffield United , Neil Warnock would drag me in and say ‘ I hear you ’ ve been boxing ’.",""" He also stated that he used to spar in the boxing gym after football training without his manager 's knowledge , saying "" A few times at Sheffield United , Neil Warnock would drag me in and say ‘ I hear you ’ ve been boxing ’.",0,say,saying,none,""" He also stated that he used to spar in the boxing gym after football training without his manager 's knowledge ,",""" He also stated that he used to spar in the boxing gym after football training without his manager 's knowledge , saying",""" He also stated that he used to spar in the boxing gym after football training without his manager 's knowledge , saying "" A few times at",26.81344533,5.82722497
""" He also stated that he used to spar in the boxing gym after football training without his manager 's knowledge , saying "" A few times at Sheffield United , Neil Warnock would drag me in and say ‘ I hear you ’ ve been boxing ’.",""" He also stated that he used to spar in the boxing gym after football training without his manager 's knowledge , saying "" A few times at Sheffield United , Neil Warnock would drag me in and say ‘ I hear you ’ ve been boxing ’.",0,hear,hear,none,""" He also stated that he used to spar in the boxing gym after football training without his manager 's knowledge , saying "" A few times at Sheffield United , Neil Warnock would drag me in and say ‘ I",""" He also stated that he used to spar in the boxing gym after football training without his manager 's knowledge , saying "" A few times at Sheffield United , Neil Warnock would drag me in and say ‘ I hear",""" He also stated that he used to spar in the boxing gym after football training without his manager 's knowledge , saying "" A few times at Sheffield United , Neil Warnock would drag me in and say ‘ I hear you ’ ve been boxing",49.73652625,13.31150103
"Matt Seawright was Woodhouse 's next boxing opponent on 16 March 208 , he defeated him after Seawright felt he was unable to continue after the third round.","Matt Seawright was Woodhouse 's next boxing opponent on 16 March 208 , he defeated him after Seawright felt he was unable to continue after the third round.",0,feel,felt,none,"Matt Seawright was Woodhouse 's next boxing opponent on 16 March 208 , he defeated him after Seawright","Matt Seawright was Woodhouse 's next boxing opponent on 16 March 208 , he defeated him after Seawright felt","Matt Seawright was Woodhouse 's next boxing opponent on 16 March 208 , he defeated him after Seawright felt he was unable to continue",16.58070863,10.01874542
"Mansfield manager David Holdsworth hoped Woodhouse would stay at the club , but on 18 June , he joined Conference North team Harrogate Town.","Mansfield manager David Holdsworth hoped Woodhouse would stay at the club , but on 18 June , he joined Conference North team Harrogate Town.",0,hope,hoped,none,Mansfield manager David Holdsworth,Mansfield manager David Holdsworth hoped,Mansfield manager David Holdsworth hoped Woodhouse would stay at the,31.13345361,12.77898705
"On 13 January 2010 , in an interview to the Grimsby Telegraph , Woodhouse commented he would definitely consider a move back to former club Grimsby Town after expressing his dismay at The Mariners languishing near the bottom of the League Two , within danger of being relegated from the Football League.","On 13 January 2010 , in an interview to the Grimsby Telegraph , Woodhouse commented he would definitely consider a move back to former club Grimsby Town after expressing his dismay at The Mariners languishing near the bottom of the League Two , within danger of being relegated from the Football League.",0,comment,commented,none,"On 13 January 2010 , in an interview to the Grimsby Telegraph , Woodhouse","On 13 January 2010 , in an interview to the Grimsby Telegraph , Woodhouse commented","On 13 January 2010 , in an interview to the Grimsby Telegraph , Woodhouse commented he would definitely consider a",33.08970666,7.697927952
"It was announced on 2 May 2012 , that Woodhouse was the new manager of Northern Premier League Division One South club Sheffield.","It was announced on 2 May 2012 , that Woodhouse was the new manager of Northern Premier League Division One South club Sheffield.",0,announce,announced,none,It was,It was announced,"It was announced on 2 May 2012 ,",32.70461321,7.456546068
"Unlike other boys who idolised footballers , Woodhouse stated his heroes were Nigel Benn and Mike Tyson.","Unlike other boys who idolised footballers , Woodhouse stated his heroes were Nigel Benn and Mike Tyson.",0,state,stated,none,"Unlike other boys who idolised footballers , Woodhouse","Unlike other boys who idolised footballers , Woodhouse stated","Unlike other boys who idolised footballers , Woodhouse stated his heroes were Nigel Benn",43.31036913,13.19071579
"The government of Haiti estimated that 250 @,@ 000 residences and 30 @,@ 000 commercial buildings had collapsed or were severely damaged.","The government of Haiti estimated 250 @,@ 000 residences and 30 @,@ 000 commercial buildings had collapsed or were severely damaged.",0,estimate,estimated,that,The government of Haiti,The government of Haiti estimated,"The government of Haiti estimated 250 @,@ 000 residences and",85.98429632,12.03619862
"On 22 January the United Nations noted that the emergency phase of the relief operation was drawing to a close , and on the following day the Haitian government officially called off the search for survivors.","On 22 January the United Nations noted the emergency phase of the relief operation was drawing to a close , and on the following day the Haitian government officially called off the search for survivors.",0,note,noted,that,On 22 January the United Nations,On 22 January the United Nations noted,On 22 January the United Nations noted the emergency phase of the,24.06821102,13.08213449
"He described damage done by an earthquake in 1751 , writing that "" only one masonry building had not collapsed "" in Port @-@ au @-@ Prince ; he also wrote that the "" whole city collapsed "" in the 1770 Port @-@ au @-@ Prince earthquake.","He described damage done by an earthquake in 1751 , writing "" only one masonry building had not collapsed "" in Port @-@ au @-@ Prince ; he also wrote that the "" whole city collapsed "" in the 1770 Port @-@ au @-@ Prince earthquake.",0,write,writing,that,"He described damage done by an earthquake in 1751 ,","He described damage done by an earthquake in 1751 , writing","He described damage done by an earthquake in 1751 , writing "" only one masonry building",39.39439893,8.357393265
"He described damage done by an earthquake in 1751 , writing that "" only one masonry building had not collapsed "" in Port @-@ au @-@ Prince ; he also wrote that the "" whole city collapsed "" in the 1770 Port @-@ au @-@ Prince earthquake.","He described damage done by an earthquake in 1751 , writing that "" only one masonry building had not collapsed "" in Port @-@ au @-@ Prince ; he also wrote the "" whole city collapsed "" in the 1770 Port @-@ au @-@ Prince earthquake.",0,write,wrote,that,"He described damage done by an earthquake in 1751 , writing that "" only one masonry building had not collapsed "" in Port @-@ au @-@ Prince ; he also","He described damage done by an earthquake in 1751 , writing that "" only one masonry building had not collapsed "" in Port @-@ au @-@ Prince ; he also wrote","He described damage done by an earthquake in 1751 , writing that "" only one masonry building had not collapsed "" in Port @-@ au @-@ Prince ; he also wrote the "" whole city collapsed",39.79933167,3.208641052
"There is no evidence of surface rupture and based on seismological , geological and ground deformation data it is thought that the earthquake did not involve significant lateral slip on the main Enriquillo fault.","There is no evidence of surface rupture and based on seismological , geological and ground deformation data it is thought the earthquake did not involve significant lateral slip on the main Enriquillo fault.",0,think,thought,that,"There is no evidence of surface rupture and based on seismological , geological and ground deformation data it is","There is no evidence of surface rupture and based on seismological , geological and ground deformation data it is thought","There is no evidence of surface rupture and based on seismological , geological and ground deformation data it is thought the earthquake did not involve",24.15389432,5.966465473
"The strike @-@ slip fault system in the region has two branches in Haiti , the Septentrional @-@ Oriente fault in the north and the Enriquillo @-@ Plantain Garden fault in the south ; both its location and focal mechanism suggested that the January 2010 quake was caused by a rupture of the Enriquillo @-@ Plantain Garden fault , which had been locked for 250 years , gathering stress.","The strike @-@ slip fault system in the region has two branches in Haiti , the Septentrional @-@ Oriente fault in the north and the Enriquillo @-@ Plantain Garden fault in the south ; both its location and focal mechanism suggested the January 2010 quake was caused by a rupture of the Enriquillo @-@ Plantain Garden fault , which had been locked for 250 years , gathering stress.",0,suggest,suggested,that,"The strike @-@ slip fault system in the region has two branches in Haiti , the Septentrional @-@ Oriente fault in the north and the Enriquillo @-@ Plantain Garden fault in the south ; both its location and focal mechanism","The strike @-@ slip fault system in the region has two branches in Haiti , the Septentrional @-@ Oriente fault in the north and the Enriquillo @-@ Plantain Garden fault in the south ; both its location and focal mechanism suggested","The strike @-@ slip fault system in the region has two branches in Haiti , the Septentrional @-@ Oriente fault in the north and the Enriquillo @-@ Plantain Garden fault in the south ; both its location and focal mechanism suggested the January 2010 quake was",29.97374165,13.53231811
"However , a study published in May 2010 suggested that the rupture process may have involved slip on multiple blind thrust faults with only minor , deep , lateral slip along or near the main Enriquillo – Plantain Garden fault zone , suggesting that the event only partially relieved centuries of accumulated left @-@ lateral strain on a small part of the plate @-@ boundary system.","However , a study published in May 2010 suggested the rupture process may have involved slip on multiple blind thrust faults with only minor , deep , lateral slip along or near the main Enriquillo – Plantain Garden fault zone , suggesting that the event only partially relieved centuries of accumulated left @-@ lateral strain on a small part of the plate @-@ boundary system.",0,suggest,suggested,that,"However , a study published in May 2010","However , a study published in May 2010 suggested","However , a study published in May 2010 suggested the rupture process may have",38.55178809,5.917448997
"However , a study published in May 2010 suggested that the rupture process may have involved slip on multiple blind thrust faults with only minor , deep , lateral slip along or near the main Enriquillo – Plantain Garden fault zone , suggesting that the event only partially relieved centuries of accumulated left @-@ lateral strain on a small part of the plate @-@ boundary system.","However , a study published in May 2010 suggested that the rupture process may have involved slip on multiple blind thrust faults with only minor , deep , lateral slip along or near the main Enriquillo – Plantain Garden fault zone , suggesting the event only partially relieved centuries of accumulated left @-@ lateral strain on a small part of the plate @-@ boundary system.",0,suggest,suggesting,that,"However , a study published in May 2010 suggested that the rupture process may have involved slip on multiple blind thrust faults with only minor , deep , lateral slip along or near the main Enriquillo – Plantain Garden fault zone ,","However , a study published in May 2010 suggested that the rupture process may have involved slip on multiple blind thrust faults with only minor , deep , lateral slip along or near the main Enriquillo – Plantain Garden fault zone , suggesting","However , a study published in May 2010 suggested that the rupture process may have involved slip on multiple blind thrust faults with only minor , deep , lateral slip along or near the main Enriquillo – Plantain Garden fault zone , suggesting the event only partially relieved",43.10830736,5.773093224
"A 2007 earthquake hazard study by C. DeMets and M. Wiggins @-@ Grandison noted that the Enriquillo @-@ Plantain Garden fault zone could be at the end of its seismic cycle and concluded that a worst @-@ case forecast would involve a 7 @.@ 2 Mw earthquake , similar in size to the 1692 Jamaica earthquake.","A 2007 earthquake hazard study by C. DeMets and M. Wiggins @-@ Grandison noted the Enriquillo @-@ Plantain Garden fault zone could be at the end of its seismic cycle and concluded that a worst @-@ case forecast would involve a 7 @.@ 2 Mw earthquake , similar in size to the 1692 Jamaica earthquake.",0,note,noted,that,A 2007 earthquake hazard study by C. DeMets and M. Wiggins @-@ Grandison,A 2007 earthquake hazard study by C. DeMets and M. Wiggins @-@ Grandison noted,A 2007 earthquake hazard study by C. DeMets and M. Wiggins @-@ Grandison noted the Enriquillo @-@ Plantain Garden,96.16225171,12.91909409
