sentence,pseudo_that,verb,comp_type
"But , after inspecting the work and observing the spirit of the men I decided that a garrison 500 strong could hold out against Fitch and that I would lead the remainder - about 1500 - to Gen 'l Rust as soon as shotguns and rifles could be obtained from Little Rock instead of pikes and lances , with which most of them were armed.","But , after inspecting the work and observing the spirit of the men I decided a garrison 500 strong could hold out against Fitch and that I would lead the remainder - about 1500 - to Gen 'l Rust as soon as shotguns and rifles could be obtained from Little Rock instead of pikes and lances , with which most of them were armed.",decide,that
""" buck & ball "" , indicating that the .69 caliber smoothbores and shotguns remained the predominant caliber weapon in use , and of this , nearly one sixth or more of all small arms ammunition was still for flintlock weapons , indicating that no less than a sixth of the Confederate troops in this vicinity were still armed with obsolete flintlock weapons.",""" buck & ball "" , indicating the .69 caliber smoothbores and shotguns remained the predominant caliber weapon in use , and of this , nearly one sixth or more of all small arms ammunition was still for flintlock weapons , indicating that no less than a sixth of the Confederate troops in this vicinity were still armed with obsolete flintlock weapons.",indicate,that
""" buck & ball "" , indicating that the .69 caliber smoothbores and shotguns remained the predominant caliber weapon in use , and of this , nearly one sixth or more of all small arms ammunition was still for flintlock weapons , indicating that no less than a sixth of the Confederate troops in this vicinity were still armed with obsolete flintlock weapons.",""" buck & ball "" , indicating that the .69 caliber smoothbores and shotguns remained the predominant caliber weapon in use , and of this , nearly one sixth or more of all small arms ammunition was still for flintlock weapons , indicating that no less than a sixth of the Confederate troops in this vicinity were still armed with obsolete flintlock weapons.",indicate,none
""" buck & ball "" , indicating that the .69 caliber smoothbores and shotguns remained the predominant caliber weapon in use , and of this , nearly one sixth or more of all small arms ammunition was still for flintlock weapons , indicating that no less than a sixth of the Confederate troops in this vicinity were still armed with obsolete flintlock weapons.",""" buck & ball "" , indicating that the .69 caliber smoothbores and shotguns remained the predominant caliber weapon in use , and of this , nearly one sixth or more of all small arms ammunition was still for flintlock weapons , indicating no less than a sixth of the Confederate troops in this vicinity were still armed with obsolete flintlock weapons.",indicate,that
"The art critic for the Croydon Advertiser remarked , "" Her drawings show a remarkable freedom of spirit.","The art critic for the Croydon Advertiser remarked , "" Her drawings show a remarkable freedom of spirit.",remark,none
"In an interview in 1958 , Barker said , "" My sister ran a kindergarten and I used to borrow her students for models.","In an interview in 1958 , Barker said , "" My sister ran a kindergarten and I used to borrow her students for models.",say,none
"In the late 1920s , Barker began to doubt she was doing enough for the church and considered focusing solely on sacred works.","In the late 1920s , Barker began to doubt she was doing enough for the church and considered focusing solely on sacred works.",doubt,none
"She once indicated , "" I have always tried to paint instinctively in a way that comes naturally to me , without any real thought or attention to artistic theories.","She once indicated , "" I have always tried to paint instinctively in a way that comes naturally to me , without any real thought or attention to artistic theories.",indicate,none
"She once indicated , "" I am to some extent influenced by them — not in any technical sense , but in the choice of subject matter and the feeling and atmosphere they could achieve.","She once indicated , "" I am to some extent influenced by them — not in any technical sense , but in the choice of subject matter and the feeling and atmosphere they could achieve.",indicate,none
"Last tentatively placed the species in the genus Dasyatis , noting that it belonged to the "" maskray "" species group that also included the bluespotted stingray ( then Dasyatis kuhlii ).","Last tentatively placed the species in the genus Dasyatis , noting it belonged to the "" maskray "" species group that also included the bluespotted stingray ( then Dasyatis kuhlii ).",note,that
"Furthermore , the individuals sequenced in the study sorted into two genetically distinct clades , suggesting that N. annotata is a cryptic species complex.","Furthermore , the individuals sequenced in the study sorted into two genetically distinct clades , suggesting N. annotata is a cryptic species complex.",suggest,that
"The trade received a positive response in Columbus from fans and management who felt they finally had a number one center to play alongside of their best player , Rick Nash.","The trade received a positive response in Columbus from fans and management who felt they finally had a number one center to play alongside of their best player , Rick Nash.",feel,none
"After the game , Arniel stated that Sanford was still seen as the team 's number one goaltender.","After the game , Arniel stated Sanford was still seen as the team 's number one goaltender.",state,that
"While Howson stated that he had never brought up trading Nash in discussions , other teams had inquired about his availability.","While Howson stated he had never brought up trading Nash in discussions , other teams had inquired about his availability.",state,that
Nash stated that if Columbus felt it would make the franchise better than he would be willing to waive his no @-@ trade clause.,Nash stated if Columbus felt it would make the franchise better than he would be willing to waive his no @-@ trade clause.,state,that
Howson publicly stated that he had no intention of trading Nash.,Howson publicly stated he had no intention of trading Nash.,state,that
More rumors came to light when reports attributed to Réseau des sports stated that Carter was unhappy in Columbus and demanded a trade.,More rumors came to light when reports attributed to Réseau des sports stated Carter was unhappy in Columbus and demanded a trade.,state,that
"Howson , Carter and his agent all denied that a trade request was ever made , and they were unsure where the reports were coming from.","Howson , Carter and his agent all denied a trade request was ever made , and they were unsure where the reports were coming from.",deny,that
"He added that action would be taken around the trade deadline , the Entry Draft and free agency to take the team in a new direction.","He added action would be taken around the trade deadline , the Entry Draft and free agency to take the team in a new direction.",add,that
"When speaking of the season , McConnell stated "" disappointing is not a strong enough word "" and that he was committed to giving fans a team of which they can be proud of.","When speaking of the season , McConnell stated "" disappointing is not a strong enough word "" and that he was committed to giving fans a team of which they can be proud of.",state,none
"He also thanked them for their dedication and passion , while reiterating that the team goal was to "" win consistently and compete for the Stanley Cup.","He also thanked them for their dedication and passion , while reiterating the team goal was to "" win consistently and compete for the Stanley Cup.",reiterate,that
"The same day the fans protested , it was announced that the franchise would host the 2013 All @-@ Star Game.","The same day the fans protested , it was announced the franchise would host the 2013 All @-@ Star Game.",announce,that
"Upon review of the goal it , was determined that the clock at Staples Center froze at 1 @.@ 8 seconds for over a full second , which would have resulted in time expiring prior to the goal being scored.","Upon review of the goal it , was determined the clock at Staples Center froze at 1 @.@ 8 seconds for over a full second , which would have resulted in time expiring prior to the goal being scored.",determine,that
Kings ' General Manager Dean Lombardi stated that the clock was correct and no extra time had been added due to the way the clock self @-@ corrects at various times.,Kings ' General Manager Dean Lombardi stated the clock was correct and no extra time had been added due to the way the clock self @-@ corrects at various times.,state,that
"Howson stated on the team 's blog that "" It is an amazing coincidence that with the Kings on a power play at Staples Center and with a mad scramble around our net in the dying seconds of the third period of a 2 – 2 hockey game that the clock stopped for at least one full second , "" adding that , "" Either there was a deliberate stopping of the clock or the clock malfunctioned.","Howson stated on the team 's blog that "" It is an amazing coincidence that with the Kings on a power play at Staples Center and with a mad scramble around our net in the dying seconds of the third period of a 2 – 2 hockey game that the clock stopped for at least one full second , "" adding that , "" Either there was a deliberate stopping of the clock or the clock malfunctioned.",add,none
""" NHL Senior Vice President of Hockey Operations Colin Campbell stated that the Blue Jackets were wronged , but that the outcome of the game could not be changed , and that the delay was not noticed by the off @-@ ice officials or the situation room in Toronto.",""" NHL Senior Vice President of Hockey Operations Colin Campbell stated the Blue Jackets were wronged , but that the outcome of the game could not be changed , and that the delay was not noticed by the off @-@ ice officials or the situation room in Toronto.",state,that
"Two weeks prior to the NHL trade deadline , Columbus announced that unlike earlier in the season , they would listen to trade proposals involving Rick Nash , though they were not actively shopping him.","Two weeks prior to the NHL trade deadline , Columbus announced unlike earlier in the season , they would listen to trade proposals involving Rick Nash , though they were not actively shopping him.",announce,that
"Howson stated that the team was open to all options for improving the team , including trading Nash.","Howson stated the team was open to all options for improving the team , including trading Nash.",state,that
"Following the trade deadline , Howson announced that the team had attempted to trade Nash at the player 's request.","Following the trade deadline , Howson announced the team had attempted to trade Nash at the player 's request.",announce,that
Nash stated that he had requested the trade after being informed that the franchise was going into another rebuilding phase.,Nash stated he had requested the trade after being informed that the franchise was going into another rebuilding phase.,state,that
"He further noted that he felt that he "" could be a huge part of that towards bringing assets in , "" and in his view "" it was the best thing for the team , the organization , and personally for [ his ] career.","He further noted he felt that he "" could be a huge part of that towards bringing assets in , "" and in his view "" it was the best thing for the team , the organization , and personally for [ his ] career.",note,that
"He further noted that he felt that he "" could be a huge part of that towards bringing assets in , "" and in his view "" it was the best thing for the team , the organization , and personally for [ his ] career.","He further noted that he felt he "" could be a huge part of that towards bringing assets in , "" and in his view "" it was the best thing for the team , the organization , and personally for [ his ] career.",feel,that
"A month later , on May 14 , the Blue Jackets announced that Richards would remain as head coach and signed him to a two @-@ year contract.","A month later , on May 14 , the Blue Jackets announced Richards would remain as head coach and signed him to a two @-@ year contract.",announce,that
"During the press conference , Howson noted , "" Our team continuously improved under Todd and he has earned the opportunity to build upon the work he started.","During the press conference , Howson noted , "" Our team continuously improved under Todd and he has earned the opportunity to build upon the work he started.",note,none
"Hejda , who played four of his first five NHL seasons with the Blue Jackets , was offered a contract by Columbus , but felt that the organization undervalued him and left via free agency.","Hejda , who played four of his first five NHL seasons with the Blue Jackets , was offered a contract by Columbus , but felt the organization undervalued him and left via free agency.",feel,that
"Carey suggests we should be more tolerant of each other and not resort so readily to war in the lyrics "" Couldn 't we accept each other / Can 't we make ourselves aware.","Carey suggests we should be more tolerant of each other and not resort so readily to war in the lyrics "" Couldn 't we accept each other / Can 't we make ourselves aware.",suggest,none
"Music critic Robert Christgau felt that Carey was being too political in her "" brave , young , idealistic attack "" on war and destitution.","Music critic Robert Christgau felt Carey was being too political in her "" brave , young , idealistic attack "" on war and destitution.",feel,that
"Ralph Novak , David Hiltbrand and David Grogan of People wrote that it is a "" testimony to her talent that she does so much with so little.","Ralph Novak , David Hiltbrand and David Grogan of People wrote it is a "" testimony to her talent that she does so much with so little.",write,that
""" They continued to write that Carey 's "" tone and clarity "" makes "" There 's Got to Be a Way "" a "" mesmerizing "" track.",""" They continued to write Carey 's "" tone and clarity "" makes "" There 's Got to Be a Way "" a "" mesmerizing "" track.",write,that
"He noted that "" There 's Got to Be a Way "" follows the same melodic tone as the album 's opener "" Vision of Love "" but highlighted their stark lyrical differences , as the former is about social activism and the latter is about love.","He noted that "" There 's Got to Be a Way "" follows the same melodic tone as the album 's opener "" Vision of Love "" but highlighted their stark lyrical differences , as the former is about social activism and the latter is about love.",note,none
"He noted that "" There 's Got to Be a Way "" follows the same melodic tone as the album 's opener "" Vision of Love "" but highlighted their stark lyrical differences , as the former is about social activism and the latter is about love.","He noted "" There 's Got to Be a Way "" follows the same melodic tone as the album 's opener "" Vision of Love "" but highlighted their stark lyrical differences , as the former is about social activism and the latter is about love.",note,that
"Although he praised Carey 's vocals , writing that she "" deploys "" one of her best whistle notes of her career , he felt that "" the aim for broad appeal comes at the expense of memorable lyrics.","He noted "" There 's Got to Be a Way "" follows the same melodic tone as the album 's opener "" Vision of Love "" but highlighted their stark lyrical differences , as the former is about social activism and the latter is about love.",feel,that
"Although he praised Carey 's vocals , writing that she "" deploys "" one of her best whistle notes of her career , he felt that "" the aim for broad appeal comes at the expense of memorable lyrics.","Although he praised Carey 's vocals , writing that she "" deploys "" one of her best whistle notes of her career , he felt "" the aim for broad appeal comes at the expense of memorable lyrics.",feel,that
Bulloch reported to Mallory in late January 1862 that breaking out was hopeless so Mallory ordered him to turn the ship over to another officer and to return to Europe some other way.,Bulloch reported to Mallory in late January 1862 breaking out was hopeless so Mallory ordered him to turn the ship over to another officer and to return to Europe some other way.,report,that
"One report said that "" it was almost intolerable on board the Atlanta , there being no method of ventilation , and the heat was intense.","One report said "" it was almost intolerable on board the Atlanta , there being no method of ventilation , and the heat was intense.",say,that
"Anupama Chopra of NDTV called her a "" plastic debutant [ e ] "" , and Rajeev Masand of CNN @-@ IBN felt that she was : "" easy on the eyes and appears confident but has precious little to do "".","Anupama Chopra of NDTV called her a "" plastic debutant [ e ] "" , and Rajeev Masand of CNN @-@ IBN felt she was : "" easy on the eyes and appears confident but has precious little to do "".",feel,that
"Gaurav Malini of The Times of India stated that she was "" tastefully tempting "" but noted that her romance with Hashmi was "" literally half @-@ baked "".","Gaurav Malini of The Times of India stated she was "" tastefully tempting "" but noted that her romance with Hashmi was "" literally half @-@ baked "".",state,that
"Gaurav Malini of The Times of India stated that she was "" tastefully tempting "" but noted that her romance with Hashmi was "" literally half @-@ baked "".","Gaurav Malini of The Times of India stated that she was "" tastefully tempting "" but noted her romance with Hashmi was "" literally half @-@ baked "".",note,that
"In a particularly scathing review , Saibal Chatterjee of NDTV wrote that both Fernandez and Padukone "" strut around like wound @-@ up automatons that are all decked @-@ up but have nowhere to go.","In a particularly scathing review , Saibal Chatterjee of NDTV wrote both Fernandez and Padukone "" strut around like wound @-@ up automatons that are all decked @-@ up but have nowhere to go.",write,that
"While Sneha May Francis commented that she is : "" incredibly dazzling , and moves like a magic "" , Raja Sen of Rediff.com was more critical of her dialogue delivery , calling it "" unfortunate.","While Sneha May Francis commented she is : "" incredibly dazzling , and moves like a magic "" , Raja Sen of Rediff.com was more critical of her dialogue delivery , calling it "" unfortunate.",comment,that
"While India TV called it "" her best act till date "" , critic Rajeev Masand felt that she "" appears miscast in a part that required greater range.","While India TV called it "" her best act till date "" , critic Rajeev Masand felt she "" appears miscast in a part that required greater range.",feel,that
"Film critic Subhash K. Jha noted that she : "" ... in a limited role gives her finest emotive shot "" , while critic Raja Sen remarked : "" [ she ] plays Kumar 's long @-@ sobbing wife who gets so deliriously happy on seeing a text message that it may well have contained news about a Kick sequel.","Film critic Subhash K. Jha noted she : "" ... in a limited role gives her finest emotive shot "" , while critic Raja Sen remarked : "" [ she ] plays Kumar 's long @-@ sobbing wife who gets so deliriously happy on seeing a text message that it may well have contained news about a Kick sequel.",note,that
"Film critic Subhash K. Jha noted that she : "" ... in a limited role gives her finest emotive shot "" , while critic Raja Sen remarked : "" [ she ] plays Kumar 's long @-@ sobbing wife who gets so deliriously happy on seeing a text message that it may well have contained news about a Kick sequel.","Film critic Subhash K. Jha noted that she : "" ... in a limited role gives her finest emotive shot "" , while critic Raja Sen remarked : "" [ she ] plays Kumar 's long @-@ sobbing wife who gets so deliriously happy on seeing a text message that it may well have contained news about a Kick sequel.",remark,none
"She says : "" I miss them so much everyday.","She says : "" I miss them so much everyday.",say,none
"While analysing Fernandez 's career , India TV noted : "" Slowly and steadily Jacqueline Fernandez is climbing up the ladder of success [ ... ] Jacqueline is comfortably grasping every aspect of the work , which an actress is required to do and is accordingly giving results.","While analysing Fernandez 's career , India TV noted : "" Slowly and steadily Jacqueline Fernandez is climbing up the ladder of success [ ... ] Jacqueline is comfortably grasping every aspect of the work , which an actress is required to do and is accordingly giving results.",note,none
""" On the contrary , Charu Thakur of India Today criticized her acting skills , but remarked that : "" [ she has ] managed to find her feet in Bollywood now by banking on glamorous roles "".",""" On the contrary , Charu Thakur of India Today criticized her acting skills , but remarked : "" [ she has ] managed to find her feet in Bollywood now by banking on glamorous roles "".",remark,that
Cullen felt that the inspiration he drew from his mother 's battle allowed him to become a better player.,Cullen felt the inspiration he drew from his mother 's battle allowed him to become a better player.,feel,that
"After the Penguins won their first Stanley Cup that season , Phil Bourque later said it "" broke his heart "" that Cullen was not able to share in that championship.","After the Penguins won their first Stanley Cup that season , Phil Bourque later said it "" broke his heart "" that Cullen was not able to share in that championship.",say,none
His most significant injury was a herniated disc in his neck that doctors initially feared would end his career.,His most significant injury was a herniated disc in his neck that doctors initially feared would end his career.,fear,none
He underwent a CAT scan which revealed Cullen had a baseball @-@ sized tumor ; he was diagnosed as having Non @-@ Hodgkin lymphoma.,He underwent a CAT scan which revealed Cullen had a baseball @-@ sized tumor ; he was diagnosed as having Non @-@ Hodgkin lymphoma.,reveal,none
"The tumor was gone by September 1997 , but a precautionary test prior to training camp revealed that Cullen still had cancer cells in his body.","The tumor was gone by September 1997 , but a precautionary test prior to training camp revealed Cullen still had cancer cells in his body.",reveal,that
"Another examination in April 1998 revealed that the cancer was finally gone , and Cullen immediately began training for a comeback.","Another examination in April 1998 revealed the cancer was finally gone , and Cullen immediately began training for a comeback.",reveal,that
"Cullen scored the game @-@ winning goal in a 3 – 1 victory , after which he said he sat on the bench in disbelief over how he was given a second chance.","Cullen scored the game @-@ winning goal in a 3 – 1 victory , after which he said he sat on the bench in disbelief over how he was given a second chance.",say,none
"He chose to accept the demotion , giving himself one month to determine if he could continue playing.","He chose to accept the demotion , giving himself one month to determine if he could continue playing.",determine,other
"However , a bout of bronchitis led Cullen to fear that his cancer had returned.","However , a bout of bronchitis led Cullen to fear his cancer had returned.",fear,that
"Tests came back negative , but after spending time with his family , he realized that neither he nor his family were interested in returning to Cleveland.","Tests came back negative , but after spending time with his family , he realized neither he nor his family were interested in returning to Cleveland.",realize,that
Former Lightning head coach Terry Crisp has stated publicly that Cullen was a player that stood out as something special saying “ John Cullen ... beat cancer and came back to play and helped us win.,Former Lightning head coach Terry Crisp has stated publicly Cullen was a player that stood out as something special saying “ John Cullen ... beat cancer and came back to play and helped us win.,state,that
Former Lightning head coach Terry Crisp has stated publicly that Cullen was a player that stood out as something special saying “ John Cullen ... beat cancer and came back to play and helped us win.,Former Lightning head coach Terry Crisp has stated publicly that Cullen was a player that stood out as something special saying “ John Cullen ... beat cancer and came back to play and helped us win.,say,none
"Horthy felt that the element of surprise had been compromised , and therefore called off the operation.","Horthy felt the element of surprise had been compromised , and therefore called off the operation.",feel,that
"Some scholars have argued , based in part on Egyptian writings , that the Egyptians came to recognize a single divine power that lay behind all things and was present in all the other deities.","Some scholars have argued , based in part on Egyptian writings , that the Egyptians came to recognize a single divine power that lay behind all things and was present in all the other deities.",argue,none
"The Egyptologist James P. Allen estimates that more than 1 @,@ 400 deities are named in Egyptian texts , whereas his colleague Christian Leitz says there are "" thousands upon thousands "" of gods.","The Egyptologist James P. Allen estimates more than 1 @,@ 400 deities are named in Egyptian texts , whereas his colleague Christian Leitz says there are "" thousands upon thousands "" of gods.",estimate,that
"The Egyptologist James P. Allen estimates that more than 1 @,@ 400 deities are named in Egyptian texts , whereas his colleague Christian Leitz says there are "" thousands upon thousands "" of gods.","The Egyptologist James P. Allen estimates that more than 1 @,@ 400 deities are named in Egyptian texts , whereas his colleague Christian Leitz says there are "" thousands upon thousands "" of gods.",say,none
"One widely accepted definition , suggested by Jan Assmann , says that a deity has a cult , is involved in some aspect of the universe , and is described in mythology or other forms of written tradition.","One widely accepted definition , suggested by Jan Assmann , says a deity has a cult , is involved in some aspect of the universe , and is described in mythology or other forms of written tradition.",say,that
"One widely accepted definition , suggested by Jan Assmann , says that a deity has a cult , is involved in some aspect of the universe , and is described in mythology or other forms of written tradition.","One widely accepted definition , suggested by Jan Assmann , says that a deity has a cult , is involved in some aspect of the universe , and is described in mythology or other forms of written tradition.",say,none
"Some of these images , such as stars and cattle , are reminiscent of important features of Egyptian religion in later times , but in most cases there is not enough evidence to say whether the images are connected with deities.","Some of these images , such as stars and cattle , are reminiscent of important features of Egyptian religion in later times , but in most cases there is not enough evidence to say whether the images are connected with deities.",say,other
"Gustave Jéquier , for instance , thought the Egyptians first revered primitive fetishes , then deities in animal form , and finally deities in human form , whereas Henri Frankfort argued that the gods must have been envisioned in human form from the beginning.","Gustave Jéquier , for instance , thought the Egyptians first revered primitive fetishes , then deities in animal form , and finally deities in human form , whereas Henri Frankfort argued that the gods must have been envisioned in human form from the beginning.",think,none
"Gustave Jéquier , for instance , thought the Egyptians first revered primitive fetishes , then deities in animal form , and finally deities in human form , whereas Henri Frankfort argued that the gods must have been envisioned in human form from the beginning.","Gustave Jéquier , for instance , thought the Egyptians first revered primitive fetishes , then deities in animal form , and finally deities in human form , whereas Henri Frankfort argued the gods must have been envisioned in human form from the beginning.",argue,that
"Because many deities in later times were strongly tied to particular towns and regions , many scholars have suggested that the pantheon formed as disparate communities coalesced into larger states , spreading and intermingling the worship of the old local deities.","Because many deities in later times were strongly tied to particular towns and regions , many scholars have suggested the pantheon formed as disparate communities coalesced into larger states , spreading and intermingling the worship of the old local deities.",suggest,that
"But others have argued that the most important predynastic gods were , like other elements of Egyptian culture , present all across the country despite the political divisions within it.","But others have argued that the most important predynastic gods were , like other elements of Egyptian culture , present all across the country despite the political divisions within it.",argue,none
"Richard H. Wilkinson , however , argues that some texts from the late New Kingdom suggest that , as beliefs about the god Amun evolved , he was thought to approach omniscience and omnipresence and to transcend the limits of the world in a way that other deities did not.","Richard H. Wilkinson , however , argues some texts from the late New Kingdom suggest that , as beliefs about the god Amun evolved , he was thought to approach omniscience and omnipresence and to transcend the limits of the world in a way that other deities did not.",argue,that
"Richard H. Wilkinson , however , argues that some texts from the late New Kingdom suggest that , as beliefs about the god Amun evolved , he was thought to approach omniscience and omnipresence and to transcend the limits of the world in a way that other deities did not.","Richard H. Wilkinson , however , argues that some texts from the late New Kingdom suggest , as beliefs about the god Amun evolved , he was thought to approach omniscience and omnipresence and to transcend the limits of the world in a way that other deities did not.",suggest,that
Egyptians believed the landscape was full of these unpredictable divine powers.,Egyptians believed the landscape was full of these unpredictable divine powers.,believe,none
"Some poorly understood Egyptian texts even suggest that this calamity is destined to happen — that the creator god will one day dissolve the order of the world , leaving only himself and Osiris amid the primordial chaos.","Some poorly understood Egyptian texts even suggest this calamity is destined to happen — that the creator god will one day dissolve the order of the world , leaving only himself and Osiris amid the primordial chaos.",suggest,that
"Some poorly understood Egyptian texts even suggest that this calamity is destined to happen — that the creator god will one day dissolve the order of the world , leaving only himself and Osiris amid the primordial chaos.","Some poorly understood Egyptian texts even suggest that this calamity is destined to happen — that the creator god will one day dissolve the order of the world , leaving only himself and Osiris amid the primordial chaos.",suggest,none
"A passage in the Coffin Texts renders the name of the funerary god Sokar as sk r , meaning "" cleaning of the mouth "" , to link his name with his role in the Opening of the Mouth ritual , while one in the Pyramid Texts says the name is based on words shouted by Osiris , connecting Sokar with the most important funerary deity.","A passage in the Coffin Texts renders the name of the funerary god Sokar as sk r , meaning "" cleaning of the mouth "" , to link his name with his role in the Opening of the Mouth ritual , while one in the Pyramid Texts says the name is based on words shouted by Osiris , connecting Sokar with the most important funerary deity.",say,none
"Everything in existence was said to be one of the kas of Atum the creator god , who originally contained all things within himself , and one deity could be called the ba of another , meaning that the first god is a manifestation of the other 's power.","Everything in existence was said to be one of the kas of Atum the creator god , who originally contained all things within himself , and one deity could be called the ba of another , meaning the first god is a manifestation of the other 's power.",mean,that
There is evidence suggesting that the general populace was still allowed to worship other gods in private.,There is evidence suggesting the general populace was still allowed to worship other gods in private.,suggest,that
"For these reasons , the Egyptologist Dominic Montserrat suggested that Akhenaten may have been monolatrous , worshipping a single deity while acknowledging the existence of others.","For these reasons , the Egyptologist Dominic Montserrat suggested Akhenaten may have been monolatrous , worshipping a single deity while acknowledging the existence of others.",suggest,that
"Scholars have long debated whether traditional Egyptian religion ever asserted that the multiple gods were , on a deeper level , unified.","Scholars have long debated whether traditional Egyptian religion ever asserted the multiple gods were , on a deeper level , unified.",assert,that
"Reasons for this debate include the practice of syncretism , which might suggest that all the separate gods could ultimately merge into one , and the tendency of Egyptian texts to credit a particular god with power that surpasses all other deities.","Reasons for this debate include the practice of syncretism , which might suggest all the separate gods could ultimately merge into one , and the tendency of Egyptian texts to credit a particular god with power that surpasses all other deities.",suggest,that
"In the early 20th century , for instance , E. A. Wallis Budge believed that Egyptian commoners were polytheistic , but knowledge of the true monotheistic nature of the religion was reserved for the elite , who wrote the wisdom literature.","In the early 20th century , for instance , E. A. Wallis Budge believed Egyptian commoners were polytheistic , but knowledge of the true monotheistic nature of the religion was reserved for the elite , who wrote the wisdom literature.",believe,that
"His contemporary James Henry Breasted thought Egyptian religion was instead pantheistic , with the power of the sun god present in all other gods , while Hermann Junker argued that Egyptian civilization had been originally monotheistic and became polytheistic in the course of its history.","His contemporary James Henry Breasted thought Egyptian religion was instead pantheistic , with the power of the sun god present in all other gods , while Hermann Junker argued that Egyptian civilization had been originally monotheistic and became polytheistic in the course of its history.",think,none
"His contemporary James Henry Breasted thought Egyptian religion was instead pantheistic , with the power of the sun god present in all other gods , while Hermann Junker argued that Egyptian civilization had been originally monotheistic and became polytheistic in the course of its history.","His contemporary James Henry Breasted thought Egyptian religion was instead pantheistic , with the power of the sun god present in all other gods , while Hermann Junker argued Egyptian civilization had been originally monotheistic and became polytheistic in the course of its history.",argue,that
"He also argues that the unspecified "" god "" in the wisdom texts is a generic term for whichever deity the reader chooses to revere.","He also argues the unspecified "" god "" in the wisdom texts is a generic term for whichever deity the reader chooses to revere.",argue,that
"Hornung 's arguments have greatly influenced other scholars of Egyptian religion , but some still believe that at times the gods were more unified than he allows.","Hornung 's arguments have greatly influenced other scholars of Egyptian religion , but some still believe at times the gods were more unified than he allows.",believe,that
"Jan Assmann maintains that the notion of a single deity developed slowly through the New Kingdom , beginning with a focus on Amun @-@ Ra as the all @-@ important sun god.","Jan Assmann maintains the notion of a single deity developed slowly through the New Kingdom , beginning with a focus on Amun @-@ Ra as the all @-@ important sun god.",maintain,that
"James P. Allen says that coexisting notions of one god and many gods would fit well with the "" multiplicity of approaches "" in Egyptian thought , as well as with the henotheistic practice of ordinary worshippers.","James P. Allen says coexisting notions of one god and many gods would fit well with the "" multiplicity of approaches "" in Egyptian thought , as well as with the henotheistic practice of ordinary worshippers.",say,that
"He says that the Egyptians may have recognized the unity of the divine by "" identifying their uniform notion of ' god ' with a particular god , depending on the particular situation.","He says the Egyptians may have recognized the unity of the divine by "" identifying their uniform notion of ' god ' with a particular god , depending on the particular situation.",say,that
