sentence,pseudo_that,verb,comp_type
"He concluded on the stanza that "" I do not believe that any reader who has watched Keats at work on the more exquisitely finished of the stanzas in The Eve of St. Agnes , and seen this craftsman slowly elaborating and refining , will ever believe that this perfect stanza was achieved with the easy fluency with which , in the draft we have , it was obviously written down.","He concluded on the stanza that "" I do not believe any reader who has watched Keats at work on the more exquisitely finished of the stanzas in The Eve of St. Agnes , and seen this craftsman slowly elaborating and refining , will ever believe that this perfect stanza was achieved with the easy fluency with which , in the draft we have , it was obviously written down.",believe,that
"He concluded on the stanza that "" I do not believe that any reader who has watched Keats at work on the more exquisitely finished of the stanzas in The Eve of St. Agnes , and seen this craftsman slowly elaborating and refining , will ever believe that this perfect stanza was achieved with the easy fluency with which , in the draft we have , it was obviously written down.","He concluded on the stanza that "" I do not believe that any reader who has watched Keats at work on the more exquisitely finished of the stanzas in The Eve of St. Agnes , and seen this craftsman slowly elaborating and refining , will ever believe this perfect stanza was achieved with the easy fluency with which , in the draft we have , it was obviously written down.",believe,that
""" In 1936 , F. R. Leavis wrote , "" One remembers the poem both as recording , and as being for the reader , an indulgence.",""" In 1936 , F. R. Leavis wrote , "" One remembers the poem both as recording , and as being for the reader , an indulgence.",write,none
""" Brooks would later argue in The Well @-@ Wrought Urn ( 1947 ) that the poem was thematically unified while contradicting many of the negative criticisms lodged against the poem.",""" Brooks would later argue in The Well @-@ Wrought Urn ( 1947 ) the poem was thematically unified while contradicting many of the negative criticisms lodged against the poem.",argue,that
"Wasserman , following in 1953 , claimed that "" Of all Keats ' poems , it is probably the ' Ode to a Nightingale ' that has most tormented the critic [ ... ] in any reading of the ' Ode to a Nightingale ' the turmoil will not down.","Wasserman , following in 1953 , claimed "" Of all Keats ' poems , it is probably the ' Ode to a Nightingale ' that has most tormented the critic [ ... ] in any reading of the ' Ode to a Nightingale ' the turmoil will not down.",claim,that
"He then explained , "" It is this turbulence , I suspect , that has led Allen Tate to believe the ode ' at least tries to say everything that poetry an say.","He then explained , "" It is this turbulence , I suspect , that has led Allen Tate to believe the ode ' at least tries to say everything that poetry an say.",explain,none
"' But I propose it is the ' Ode on a Grecian Urn ' that succeeds in saying what poetry can say , and that the other ode attempts to say all that the poet can.","' But I propose it is the ' Ode on a Grecian Urn ' that succeeds in saying what poetry can say , and that the other ode attempts to say all that the poet can.",propose,none
"' But I propose it is the ' Ode on a Grecian Urn ' that succeeds in saying what poetry can say , and that the other ode attempts to say all that the poet can.","' But I propose it is the ' Ode on a Grecian Urn ' that succeeds in saying what poetry can say , and that the other ode attempts to say all that the poet can.",say,none
"David Perkins felt the need to defend the use of the word "" forlorn "" and claimed that it described the feeling from the impossibility of not being able to live in the world of the imagination.","David Perkins felt the need to defend the use of the word "" forlorn "" and claimed it described the feeling from the impossibility of not being able to live in the world of the imagination.",claim,that
"When praising the poem in 1959 , Perkins claimed , "" Although the "" Ode to a Nightingale "" ranges more widely than the "" Ode on a Grecian Urn , "" the poem can also be regarded as the exploration or testing out of a symbol , and , compared with the urn as a symbol , the nightingale would seem to have both limitations and advantages.","When praising the poem in 1959 , Perkins claimed , "" Although the "" Ode to a Nightingale "" ranges more widely than the "" Ode on a Grecian Urn , "" the poem can also be regarded as the exploration or testing out of a symbol , and , compared with the urn as a symbol , the nightingale would seem to have both limitations and advantages.",claim,none
""" Walter Jackson Bate also made a similar defense of the word "" forlorn "" by claiming that the world described by describing the impossibility of reaching that land.",""" Walter Jackson Bate also made a similar defense of the word "" forlorn "" by claiming the world described by describing the impossibility of reaching that land.",claim,that
"When describing the poem compared to the rest of English poetry , Bate argued in 1963 , "" Ode to a Nightingale "" is among "" the greatest lyrics in English "" and the only one written with such speed : "" We are free to doubt whether any poem in English of comparable length and quality has been composed so quickly.","When describing the poem compared to the rest of English poetry , Bate argued in 1963 , "" Ode to a Nightingale "" is among "" the greatest lyrics in English "" and the only one written with such speed : "" We are free to doubt whether any poem in English of comparable length and quality has been composed so quickly.",argue,none
"When describing the poem compared to the rest of English poetry , Bate argued in 1963 , "" Ode to a Nightingale "" is among "" the greatest lyrics in English "" and the only one written with such speed : "" We are free to doubt whether any poem in English of comparable length and quality has been composed so quickly.","When describing the poem compared to the rest of English poetry , Bate argued in 1963 , "" Ode to a Nightingale "" is among "" the greatest lyrics in English "" and the only one written with such speed : "" We are free to doubt whether any poem in English of comparable length and quality has been composed so quickly.",doubt,other
""" In 1968 , Robert Gittins stated , "" It may not be wrong to regard [ Ode on Indolence and Ode on Melancholy ] as Keats 's earlier essays in this [ ode ] form , and the great Nightingale and Grecian Urn as his more finished and later works.",""" In 1968 , Robert Gittins stated , "" It may not be wrong to regard [ Ode on Indolence and Ode on Melancholy ] as Keats 's earlier essays in this [ ode ] form , and the great Nightingale and Grecian Urn as his more finished and later works.",state,none
"From the late 1960s onward , many of the Yale School of critics describe the poem as a reworking of John Milton 's poetic diction , but they argued that poem revealed that Keats lacked the ability of Milton as a poet.","From the late 1960s onward , many of the Yale School of critics describe the poem as a reworking of John Milton 's poetic diction , but they argued poem revealed that Keats lacked the ability of Milton as a poet.",argue,that
"From the late 1960s onward , many of the Yale School of critics describe the poem as a reworking of John Milton 's poetic diction , but they argued that poem revealed that Keats lacked the ability of Milton as a poet.","From the late 1960s onward , many of the Yale School of critics describe the poem as a reworking of John Milton 's poetic diction , but they argued that poem revealed Keats lacked the ability of Milton as a poet.",reveal,that
"Responding to the claims about Milton and Keats 's shortcomings , critics like R. S. White ( 1981 ) and Willard Spiegelman ( 1983 ) used the Shakespearean echoes to argue for a multiplicity of sources for the poem to claim that Keats was not trying to respond just Milton or escape from his shadow.","Responding to the claims about Milton and Keats 's shortcomings , critics like R. S. White ( 1981 ) and Willard Spiegelman ( 1983 ) used the Shakespearean echoes to argue for a multiplicity of sources for the poem to claim Keats was not trying to respond just Milton or escape from his shadow.",claim,that
"Instead , "" Ode to a Nightingale "" was an original poem , as White claimed , "" The poem is richly saturated in Shakespeare , yet the assimilations are so profound that the Ode is finally original , and wholly Keatsian "".","Instead , "" Ode to a Nightingale "" was an original poem , as White claimed , "" The poem is richly saturated in Shakespeare , yet the assimilations are so profound that the Ode is finally original , and wholly Keatsian "".",claim,none
"Similarly , Spiegelman claimed that Shakespeare 's A Midsummer Night 's Dream had "" flavored and ripened the later poem "".","Similarly , Spiegelman claimed Shakespeare 's A Midsummer Night 's Dream had "" flavored and ripened the later poem "".",claim,that
"This was followed in 1986 by Jonathan Bate claiming that Keats was "" left enriched by the voice of Shakespeare , the ' immortal bird ' "".","This was followed in 1986 by Jonathan Bate claiming Keats was "" left enriched by the voice of Shakespeare , the ' immortal bird ' "".",claim,that
"Focusing on the quality of the poem , Stuart Sperry , argued in 1973 , "" ' Ode to a Nightingale ' is the supreme expression in all Keats 's poetry of the impulse to imaginative escape that flies in the face of the knowledge of human limitation , the impulse fully expressed in ' Away ! away ! for I will fly to thee.","Focusing on the quality of the poem , Stuart Sperry , argued in 1973 , "" ' Ode to a Nightingale ' is the supreme expression in all Keats 's poetry of the impulse to imaginative escape that flies in the face of the knowledge of human limitation , the impulse fully expressed in ' Away ! away ! for I will fly to thee.",argue,none
"' "" Wolf Hirst , in 1981 , described the poem as "" justly celebrated "" and claimed that "" Since this movement into an eternal realm of song is one of the most magnificent in literature , the poet 's return to actuality is all the more shattering.","' "" Wolf Hirst , in 1981 , described the poem as "" justly celebrated "" and claimed "" Since this movement into an eternal realm of song is one of the most magnificent in literature , the poet 's return to actuality is all the more shattering.",claim,that
""" Helen Vendler continued the earlier view that the poem was artificial but added that the poem was an attempt to be aesthetic and spontaneous that was later dropped.",""" Helen Vendler continued the earlier view that the poem was artificial but added the poem was an attempt to be aesthetic and spontaneous that was later dropped.",add,that
"In 1983 , she argued , "" In its absence of conclusiveness and its abandonment to reverie , the poem appeals to readers who prize it as the most personal , the most apparently spontaneous , the most immediately beautiful , and the most confessional of Keats 's odes.","In 1983 , she argued , "" In its absence of conclusiveness and its abandonment to reverie , the poem appeals to readers who prize it as the most personal , the most apparently spontaneous , the most immediately beautiful , and the most confessional of Keats 's odes.",argue,none
"I believe that the ' events ' of the ode , as it unfolds in time , have more logic , however , than is usually granted them , and that they are best seen in relation to Keats 's pursuit of the idea of music as a nonrepresentational art.","I believe the ' events ' of the ode , as it unfolds in time , have more logic , however , than is usually granted them , and that they are best seen in relation to Keats 's pursuit of the idea of music as a nonrepresentational art.",believe,that
"When referring to the reliance of the ideas of John Dryden and William Hazlitt within the poem , Poet Laureate Andrew Motion , in 1999 , argued "" whose notion of poetry as a ' movement ' from personal consciousness to an awareness of suffering humanity it perfectly illustrates.","When referring to the reliance of the ideas of John Dryden and William Hazlitt within the poem , Poet Laureate Andrew Motion , in 1999 , argued "" whose notion of poetry as a ' movement ' from personal consciousness to an awareness of suffering humanity it perfectly illustrates.",argue,none
"According to Ildikó de Papp Carrington , Keats ' wording , "" when , sick for home , / She stood in tears amid the alien corn "" , seems to be echoed in by Alice Munro 's Save the Reaper ( 1998 ) , the end of which reads : "" Eve would lie down [ ... ] with nothing in her head but the rustle of the deep tall corn which might have stopped growing now but still made its live noise after dark "" ( book version ).","According to Ildikó de Papp Carrington , Keats ' wording , "" when , sick for home , / She stood in tears amid the alien corn "" , seems to be echoed in by Alice Munro 's Save the Reaper ( 1998 ) , the end of which reads : "" Eve would lie down [ ... ] with nothing in her head but the rustle of the deep tall corn which might have stopped growing now but still made its live noise after dark "" ( book version ).",read,none
"The first known proposal for surface weather observations at sea occurred in connection with aviation in August 1927 , when Grover Loening stated that "" weather stations along the ocean coupled with the development of the seaplane to have an equally long range , would result in regular ocean flights within ten years.","The first known proposal for surface weather observations at sea occurred in connection with aviation in August 1927 , when Grover Loening stated "" weather stations along the ocean coupled with the development of the seaplane to have an equally long range , would result in regular ocean flights within ten years.",state,that
Burney initially reported to Jellicoe that his ship had struck a mine or had been hit by a torpedo at 18 : 57.,Burney initially reported to Jellicoe his ship had struck a mine or had been hit by a torpedo at 18 : 57.,report,that
"The damage control teams believed that if the main battery were to fire , the shoring supporting the damaged bulkheads would give way , greatly increasing the risk to the ship.","The damage control teams believed if the main battery were to fire , the shoring supporting the damaged bulkheads would give way , greatly increasing the risk to the ship.",believe,that
"Reuter believed that the British intended to seize the German ships on 21 June 1919 , which was the deadline for Germany to have signed the peace treaty.","Reuter believed the British intended to seize the German ships on 21 June 1919 , which was the deadline for Germany to have signed the peace treaty.",believe,that
"The Royal Navy determined that the HE bombs were useless , but that thick deck armour would be required to defeat AP bombs.","The Royal Navy determined the HE bombs were useless , but that thick deck armour would be required to defeat AP bombs.",determine,that
Brown and his wives have said they participated with the show to make the public more aware of polygamist families and to combat societal prejudices.,Brown and his wives have said they participated with the show to make the public more aware of polygamist families and to combat societal prejudices.,say,none
"Brown believes his polygamist arrangement is legal because he is legally married only to one woman , and the other marriages are spiritual unions.","Brown believes his polygamist arrangement is legal because he is legally married only to one woman , and the other marriages are spiritual unions.",believe,none
"Bill Hayes , the president of Figure 8 Films , said the company agreed to the idea after meeting with the Browns and deciding their lives would make a great story.","Bill Hayes , the president of Figure 8 Films , said the company agreed to the idea after meeting with the Browns and deciding their lives would make a great story.",say,none
"Bill Hayes , the president of Figure 8 Films , said the company agreed to the idea after meeting with the Browns and deciding their lives would make a great story.","Bill Hayes , the president of Figure 8 Films , said the company agreed to the idea after meeting with the Browns and deciding their lives would make a great story.",say,none
"In October 2010 , TLC announced it had commissioned a second season , which began in March 2011.","In October 2010 , TLC announced it had commissioned a second season , which began in March 2011.",announce,none
"However , Kody upsets his wives when he reveals he secretly chose Robyn 's wedding dress himself , which makes Christine feel so betrayed that she angrily walks away in mid @-@ interview.","However , Kody upsets his wives when he reveals he secretly chose Robyn 's wedding dress himself , which makes Christine feel so betrayed that she angrily walks away in mid @-@ interview.",reveal,none
"In episode 5 , Kody , Christine , and their children take a trip to Las Vegas , which we later learn is the beginning of the Browns ' subsequent move to Las Vegas.","In episode 5 , Kody , Christine , and their children take a trip to Las Vegas , which we later learn is the beginning of the Browns ' subsequent move to Las Vegas.",learn,none
"The final episodes of Season 2 follow the Browns with their real estate agent Mona Riekki through their struggle to find a home in Las Vegas suitable for polygamists , telling the kids that they are moving , and the subsequent move to Las Vegas.","The final episodes of Season 2 follow the Browns with their real estate agent Mona Riekki through their struggle to find a home in Las Vegas suitable for polygamists , telling the kids they are moving , and the subsequent move to Las Vegas.",tell,that
"In the last episode before the hiatus , Robyn announces that she is expecting her and Kody 's first child.","In the last episode before the hiatus , Robyn announces she is expecting her and Kody 's first child.",announce,that
"By the end of the season , Meri and Kody maintained that they would continue their relationship.","By the end of the season , Meri and Kody maintained they would continue their relationship.",maintain,that
"Los Angeles Times television critic Mary McNamara said she was intrigued by the matriarchal nature of the polygamist family , a unit that is traditionally considered patriarchal.","Los Angeles Times television critic Mary McNamara said she was intrigued by the matriarchal nature of the polygamist family , a unit that is traditionally considered patriarchal.",say,none
"McNamara said the wives form the center of the family and that "" their bonds appear far stronger and more vital than the casual fondness with which they all treat Kody "".","McNamara said the wives form the center of the family and that "" their bonds appear far stronger and more vital than the casual fondness with which they all treat Kody "".",say,none
"Velasco said it has "" a natural , honest presence in a genre fabled for the camera @-@ hogging antics of Jersey Shore "".","Velasco said it has "" a natural , honest presence in a genre fabled for the camera @-@ hogging antics of Jersey Shore "".",say,none
"When the Brown family made an October 2010 appearance on The Oprah Winfrey Show , talk show host Oprah Winfrey said she found particularly fascinating the relationship between the sister wives.","When the Brown family made an October 2010 appearance on The Oprah Winfrey Show , talk show host Oprah Winfrey said she found particularly fascinating the relationship between the sister wives.",say,none
"Elizabeth Tenety of The Washington Post called the series "" one part domestic drudgery , another part sensationalism "" and claimed it relied on a "" familiar reality TV recipe "" shared by other TLC series such as 19 Kids and Counting and Kate Plus 8.","Elizabeth Tenety of The Washington Post called the series "" one part domestic drudgery , another part sensationalism "" and claimed it relied on a "" familiar reality TV recipe "" shared by other TLC series such as 19 Kids and Counting and Kate Plus 8.",claim,none
"Shari Puterman , television columnist with the Asbury Park Press , felt the sister wives had issues with jealousy and self @-@ worth , and she compared Kody to a cult leader.","Shari Puterman , television columnist with the Asbury Park Press , felt the sister wives had issues with jealousy and self @-@ worth , and she compared Kody to a cult leader.",feel,none
"Puterman added , "" I can 't speak for everyone , but I believe in the sanctity of marriage.","Puterman added , "" I can 't speak for everyone , but I believe in the sanctity of marriage.",add,none
It 's sad to see that TLC 's capitalizing on people who don 't.,It 's sad to see TLC 's capitalizing on people who don 't.,see,that
""" Former prosecutor and television personality Nancy Grace criticized the show and said she believed Kody Brown should go to jail , but she expressed doubt he would based on Utah 's history of overlooking polygamy.",""" Former prosecutor and television personality Nancy Grace criticized the show and said she believed Kody Brown should go to jail , but she expressed doubt he would based on Utah 's history of overlooking polygamy.",say,none
""" Former prosecutor and television personality Nancy Grace criticized the show and said she believed Kody Brown should go to jail , but she expressed doubt he would based on Utah 's history of overlooking polygamy.",""" Former prosecutor and television personality Nancy Grace criticized the show and said she believed Kody Brown should go to jail , but she expressed doubt he would based on Utah 's history of overlooking polygamy.",believe,none
"Christine Seifert , an associate professor of communications at Westminster College in Salt Lake City , said the show could give viewers who are unfamiliar with the LDS church the incorrect assumption that polygamy is accepted by the mainstream church.","Christine Seifert , an associate professor of communications at Westminster College in Salt Lake City , said the show could give viewers who are unfamiliar with the LDS church the incorrect assumption that polygamy is accepted by the mainstream church.",say,none
"During the filming in Japan , it was announced that Sean Connery would retire from the role of Bond.","During the filming in Japan , it was announced Sean Connery would retire from the role of Bond.",announce,that
The stolen documents are examined and found to include a photograph of the cargo ship Ning @-@ Po with a microdot message saying the tourist who took the photo was killed as a security precaution.,The stolen documents are examined and found to include a photograph of the cargo ship Ning @-@ Po with a microdot message saying the tourist who took the photo was killed as a security precaution.,say,none
"She interrogates Bond , but he thinks he has managed to bribe his way to freedom.","She interrogates Bond , but he thinks he has managed to bribe his way to freedom.",think,none
It is revealed that the true mastermind behind this is Ernst Stavro Blofeld and SPECTRE.,It is revealed the true mastermind behind this is Ernst Stavro Blofeld and SPECTRE.,reveal,that
"Lewis Gilbert originally declined the offer to direct , but accepted after producer Albert R. Broccoli called him saying : "" You can 't give up this job.","Lewis Gilbert originally declined the offer to direct , but accepted after producer Albert R. Broccoli called him saying : "" You can 't give up this job.",say,none
""" Peter R. Hunt , who edited the first five Bond films , believed that Gilbert had been contracted by the producers for other work but they found they had to use him.",""" Peter R. Hunt , who edited the first five Bond films , believed Gilbert had been contracted by the producers for other work but they found they had to use him.",believe,that
""" Peter R. Hunt , who edited the first five Bond films , believed that Gilbert had been contracted by the producers for other work but they found they had to use him.",""" Peter R. Hunt , who edited the first five Bond films , believed that Gilbert had been contracted by the producers for other work but they found they had to use him.",find,none
SPECTRE ’ s shore fortress headquarters was changed to an extinct volcano after the team learned that the Japanese do not build castles by the sea.,SPECTRE ’ s shore fortress headquarters was changed to an extinct volcano after the team learned the Japanese do not build castles by the sea.,learn,that
"The group was due to return to the UK on a BOAC Boeing 707 flight ( BOAC Flight 911 ) on 5 March 1966 , but cancelled after being told they had a chance to watch a ninja demonstration.","The group was due to return to the UK on a BOAC Boeing 707 flight ( BOAC Flight 911 ) on 5 March 1966 , but cancelled after being told they had a chance to watch a ninja demonstration.",tell,none
"Dahl said that the original novel was "" Ian Fleming ’ s worst book , with no plot in it which would even make a movie "" , and compared it to a travelogue , stating that he had to create a new plot "" [ though ] I could retain only four or five of the original story 's ideas.","Dahl said the original novel was "" Ian Fleming ’ s worst book , with no plot in it which would even make a movie "" , and compared it to a travelogue , stating that he had to create a new plot "" [ though ] I could retain only four or five of the original story 's ideas.",say,that
"Dahl said that the original novel was "" Ian Fleming ’ s worst book , with no plot in it which would even make a movie "" , and compared it to a travelogue , stating that he had to create a new plot "" [ though ] I could retain only four or five of the original story 's ideas.","Dahl said that the original novel was "" Ian Fleming ’ s worst book , with no plot in it which would even make a movie "" , and compared it to a travelogue , stating he had to create a new plot "" [ though ] I could retain only four or five of the original story 's ideas.",state,that
""" On creating the plot , Dahl said he "" didn 't know what the hell Bond was going to do "" despite having to deliver the first draft in six weeks , and decided to do a basic plot similar to Dr. No.",""" On creating the plot , Dahl said he "" didn 't know what the hell Bond was going to do "" despite having to deliver the first draft in six weeks , and decided to do a basic plot similar to Dr. No.",say,none
"Sean Connery had stated that he was tired of playing James Bond and all of the associated commitment ( time spent filming and publicising each movie ) , together with finding it difficult to do other work , which would potentially lead to typecasting.","Sean Connery had stated he was tired of playing James Bond and all of the associated commitment ( time spent filming and publicising each movie ) , together with finding it difficult to do other work , which would potentially lead to typecasting.",state,that
"Upon his arrival at the Pinewood set , both producer Albert R. Broccoli and director Lewis Gilbert felt that he was a poor choice , resembling a "" poor , benevolent Santa Claus "".","Upon his arrival at the Pinewood set , both producer Albert R. Broccoli and director Lewis Gilbert felt he was a poor choice , resembling a "" poor , benevolent Santa Claus "".",feel,that
"After several days , both Gilbert and Broccoli determined that Werich was not menacing enough , and recast Blofeld with Donald Pleasence in the role.","After several days , both Gilbert and Broccoli determined Werich was not menacing enough , and recast Blofeld with Donald Pleasence in the role.",determine,that
"Wakabayashi only requested that her character name , "" Suki "" , be changed to "" Aki "".","Wakabayashi only requested her character name , "" Suki "" , be changed to "" Aki "".",request,that
Barry declared that the final song uses 25 different takes.,Barry declared the final song uses 25 different takes.,declare,that
"James Berardinelli said that the first half was good , but "" during the second half , as the plot escalates beyond the bounds of preposterousness , that the film starts to fragment "" , criticising Blofeld 's appearance and stating "" rockets that swallow up spacecraft are a bit too extravagant.","James Berardinelli said the first half was good , but "" during the second half , as the plot escalates beyond the bounds of preposterousness , that the film starts to fragment "" , criticising Blofeld 's appearance and stating "" rockets that swallow up spacecraft are a bit too extravagant.",say,that
"James Berardinelli said that the first half was good , but "" during the second half , as the plot escalates beyond the bounds of preposterousness , that the film starts to fragment "" , criticising Blofeld 's appearance and stating "" rockets that swallow up spacecraft are a bit too extravagant.","James Berardinelli said that the first half was good , but "" during the second half , as the plot escalates beyond the bounds of preposterousness , that the film starts to fragment "" , criticising Blofeld 's appearance and stating "" rockets that swallow up spacecraft are a bit too extravagant.",say,none
"Roger Ebert criticised the focus on gadgets , declaring that the James Bond formula "" fails to work its magic "".","Roger Ebert criticised the focus on gadgets , declaring the James Bond formula "" fails to work its magic "".",declare,that
""" Danny Peary wrote that You Only Live Twice "" should have been about twenty minutes shorter "" and described it as "" not a bad Bond film , but it doesn ’ t compare to its predecessors – the formula had become a little stale.",""" Danny Peary wrote You Only Live Twice "" should have been about twenty minutes shorter "" and described it as "" not a bad Bond film , but it doesn ’ t compare to its predecessors – the formula had become a little stale.",write,that
"IGN ranked You Only Live Twice as the fourth best Bond film , and Entertainment Weekly as the second best , considering that it "" pushes the series to the outer edge of coolness "".","IGN ranked You Only Live Twice as the fourth best Bond film , and Entertainment Weekly as the second best , considering it "" pushes the series to the outer edge of coolness "".",consider,that
""" Simon Winder said that the film is "" perfect "" for parodies of the series.",""" Simon Winder said the film is "" perfect "" for parodies of the series.",say,that
"The study also noted that a limb darkening effect was present , a characteristic that may affect future atmospheric studies of the planet.","The study also noted a limb darkening effect was present , a characteristic that may affect future atmospheric studies of the planet.",note,that
"WASP @-@ 13b has an orbital inclination of 86.9º , which means that it orbits almost edge @-@ on as seen from Earth.","WASP @-@ 13b has an orbital inclination of 86.9º , which means it orbits almost edge @-@ on as seen from Earth.",mean,that
"The band offered to hold a benefit concert or small show in Sarajevo , but it was requested that they stage a full PopMart concert.","The band offered to hold a benefit concert or small show in Sarajevo , but it was requested they stage a full PopMart concert.",request,that
"Lead vocalist Bono was unnerved to hear that those living in makeshift bomb shelters in the city played music , including U2 's , at loud volumes to drown out the sound of explosions.","Lead vocalist Bono was unnerved to hear those living in makeshift bomb shelters in the city played music , including U2 's , at loud volumes to drown out the sound of explosions.",hear,that
"While in Sarajevo , Carter had seen a television interview on MTV in which Bono mentioned the theme of the Zooropa tour leg was a unified Europe.","While in Sarajevo , Carter had seen a television interview on MTV in which Bono mentioned the theme of the Zooropa tour leg was a unified Europe.",mention,none
"Feeling that such an aim was empty if ignoring the Bosnians ' plight , Carter sought Bono 's help.","Feeling such an aim was empty if ignoring the Bosnians ' plight , Carter sought Bono 's help.",feel,that
"He requested that U2 go to Sarajevo to bring attention to the war and break the "" media fatigue "" that had occurred from covering the conflict.","He requested U2 go to Sarajevo to bring attention to the war and break the "" media fatigue "" that had occurred from covering the conflict.",request,that
