sentence,pseudo_that,context,embedded_clause,matrix_verb_to_cc,verb,verb_in_text,embedded_clause_n,comp_type,context_verb,context_verb_n,embedded_n_sum,verb_sum
"But , after inspecting the work and observing the spirit of the men I decided that a garrison 500 strong could hold out against Fitch and that I would lead the remainder - about 1500 - to Gen 'l Rust as soon as shotguns and rifles could be obtained from Little Rock instead of pikes and lances , with which most of them were armed.","But , after inspecting the work and observing the spirit of the men I decided a garrison 500 strong could hold out against Fitch and that I would lead the remainder - about 1500 - to Gen 'l Rust as soon as shotguns and rifles could be obtained from Little Rock instead of pikes and lances , with which most of them were armed.","But , after inspecting the work and observing the spirit of the men I","a garrison 500 strong could hold out against Fitch and that I would lead the remainder - about 1500 - to Gen 'l Rust as soon as shotguns and rifles could be obtained from Little Rock instead of pikes and lances , with which most of them were armed.",0,decide,decided,"But , after inspecting the work and observing the spirit of the men I decided a garrison 500 strong could",that,"But , after inspecting the work and observing the spirit of the men I decided","But , after inspecting the work and observing the spirit of the men I decided a garrison 500 strong could",53.43496513,9.766807795
""" buck & ball "" , indicating that the .69 caliber smoothbores and shotguns remained the predominant caliber weapon in use , and of this , nearly one sixth or more of all small arms ammunition was still for flintlock weapons , indicating that no less than a sixth of the Confederate troops in this vicinity were still armed with obsolete flintlock weapons.",""" buck & ball "" , indicating the .69 caliber smoothbores and shotguns remained the predominant caliber weapon in use , and of this , nearly one sixth or more of all small arms ammunition was still for flintlock weapons , indicating that no less than a sixth of the Confederate troops in this vicinity were still armed with obsolete flintlock weapons.",""" buck & ball "" ,","the .69 caliber smoothbores and shotguns remained the predominant caliber weapon in use , and of this , nearly one sixth or more of all small arms ammunition was still for flintlock weapons , indicating that no less than a sixth of the Confederate troops in this vicinity were still armed with obsolete flintlock weapons.",0,indicate,indicating,""" buck & ball "" , indicating the .69 caliber smoothbores and",that,""" buck & ball "" , indicating",""" buck & ball "" , indicating the .69 caliber smoothbores and",59.65168571,17.08888781
""" buck & ball "" , indicating that the .69 caliber smoothbores and shotguns remained the predominant caliber weapon in use , and of this , nearly one sixth or more of all small arms ammunition was still for flintlock weapons , indicating that no less than a sixth of the Confederate troops in this vicinity were still armed with obsolete flintlock weapons.",""" buck & ball "" , indicating that the .69 caliber smoothbores and shotguns remained the predominant caliber weapon in use , and of this , nearly one sixth or more of all small arms ammunition was still for flintlock weapons , indicating no less than a sixth of the Confederate troops in this vicinity were still armed with obsolete flintlock weapons.",""" buck & ball "" ,",no less than a sixth of the Confederate troops in this vicinity were still armed with obsolete flintlock weapons.,0,indicate,indicating,""" buck & ball "" , indicating that the .69 caliber smoothbores and shotguns remained the predominant caliber weapon in use , and of this , nearly one sixth or more of all small arms ammunition was still for flintlock weapons , indicating no less than a sixth",that,""" buck & ball "" , indicating",""" buck & ball "" , indicating that the .69 caliber smoothbores",55.30520546,17.08888781
"The art critic for the Croydon Advertiser remarked , "" Her drawings show a remarkable freedom of spirit.","The art critic for the Croydon Advertiser remarked , "" Her drawings show a remarkable freedom of spirit.",The art critic for the Croydon Advertiser,", "" Her drawings show a remarkable freedom of spirit.",0,remark,remarked,"The art critic for the Croydon Advertiser remarked , "" Her drawings show",none,The art critic for the Croydon Advertiser remarked,"The art critic for the Croydon Advertiser remarked , "" Her drawings show",43.65521382,13.73202324
"In an interview in 1958 , Barker said , "" My sister ran a kindergarten and I used to borrow her students for models.","In an interview in 1958 , Barker said , "" My sister ran a kindergarten and I used to borrow her students for models.","In an interview in 1958 , Barker",", "" My sister ran a kindergarten and I used to borrow her students for models.",0,say,said,"In an interview in 1958 , Barker said , "" My sister ran",none,"In an interview in 1958 , Barker said","In an interview in 1958 , Barker said , "" My sister ran",35.1929059,2.260157585
"In the late 1920s , Barker began to doubt she was doing enough for the church and considered focusing solely on sacred works.","In the late 1920s , Barker began to doubt she was doing enough for the church and considered focusing solely on sacred works.","In the late 1920s , Barker began to",she was doing enough for the church and considered focusing solely on sacred works.,0,doubt,doubt,"In the late 1920s , Barker began to doubt she was doing enough for",none,"In the late 1920s , Barker began to doubt","In the late 1920s , Barker began to doubt she was doing enough for",27.41128826,10.27246761
"She once indicated , "" I have always tried to paint instinctively in a way that comes naturally to me , without any real thought or attention to artistic theories.","She once indicated , "" I have always tried to paint instinctively in a way that comes naturally to me , without any real thought or attention to artistic theories.",She once,", "" I have always tried to paint instinctively in a way that comes naturally to me , without any real thought or attention to artistic theories.",0,indicate,indicated,"She once indicated , "" I have always",none,She once indicated,"She once indicated , "" I have always",30.29720592,12.14706421
"She once indicated , "" I am to some extent influenced by them — not in any technical sense , but in the choice of subject matter and the feeling and atmosphere they could achieve.","She once indicated , "" I am to some extent influenced by them — not in any technical sense , but in the choice of subject matter and the feeling and atmosphere they could achieve.",She once,", "" I am to some extent influenced by them — not in any technical sense , but in the choice of subject matter and the feeling and atmosphere they could achieve.",0,indicate,indicated,"She once indicated , "" I am to",none,She once indicated,"She once indicated , "" I am to",32.53471398,12.14706421
"Last tentatively placed the species in the genus Dasyatis , noting that it belonged to the "" maskray "" species group that also included the bluespotted stingray ( then Dasyatis kuhlii ).","Last tentatively placed the species in the genus Dasyatis , noting it belonged to the "" maskray "" species group that also included the bluespotted stingray ( then Dasyatis kuhlii ).","Last tentatively placed the species in the genus Dasyatis ,","it belonged to the "" maskray "" species group that also included the bluespotted stingray ( then Dasyatis kuhlii ).",0,note,noting,"Last tentatively placed the species in the genus Dasyatis , noting it belonged to the """,that,"Last tentatively placed the species in the genus Dasyatis , noting","Last tentatively placed the species in the genus Dasyatis , noting it belonged to the """,23.2542354,14.42942905
"Furthermore , the individuals sequenced in the study sorted into two genetically distinct clades , suggesting that N. annotata is a cryptic species complex.","Furthermore , the individuals sequenced in the study sorted into two genetically distinct clades , suggesting N. annotata is a cryptic species complex.","Furthermore , the individuals sequenced in the study sorted into two genetically distinct clades ,",N. annotata is a cryptic species complex.,0,suggest,suggesting,"Furthermore , the individuals sequenced in the study sorted into two genetically distinct clades , suggesting N. annotata is a cryptic",that,"Furthermore , the individuals sequenced in the study sorted into two genetically distinct clades , suggesting","Furthermore , the individuals sequenced in the study sorted into two genetically distinct clades , suggesting N. annotata is a cryptic",57.32891607,5.042589188
"The trade received a positive response in Columbus from fans and management who felt they finally had a number one center to play alongside of their best player , Rick Nash.","The trade received a positive response in Columbus from fans and management who felt they finally had a number one center to play alongside of their best player , Rick Nash.",The trade received a positive response in Columbus from fans and management who,"they finally had a number one center to play alongside of their best player , Rick Nash.",0,feel,felt,The trade received a positive response in Columbus from fans and management who felt they finally had a number,none,The trade received a positive response in Columbus from fans and management who felt,The trade received a positive response in Columbus from fans and management who felt they finally had a number,26.49369752,5.275439739
"After the game , Arniel stated that Sanford was still seen as the team 's number one goaltender.","After the game , Arniel stated Sanford was still seen as the team 's number one goaltender.","After the game , Arniel",Sanford was still seen as the team 's number one goaltender.,0,state,stated,"After the game , Arniel stated Sanford was still seen as",that,"After the game , Arniel stated","After the game , Arniel stated Sanford was still seen as",47.2587266,10.0553925
"While Howson stated that he had never brought up trading Nash in discussions , other teams had inquired about his availability.","While Howson stated he had never brought up trading Nash in discussions , other teams had inquired about his availability.",While Howson,"he had never brought up trading Nash in discussions , other teams had inquired about his availability.",0,state,stated,While Howson stated he had never brought up,that,While Howson stated,While Howson stated he had never brought up,26.28842878,12.06736851
Nash stated that if Columbus felt it would make the franchise better than he would be willing to waive his no @-@ trade clause.,Nash stated if Columbus felt it would make the franchise better than he would be willing to waive his no @-@ trade clause.,Nash,if Columbus felt it would make the franchise better than he would be willing to waive his no @-@ trade clause.,0,state,stated,Nash stated if Columbus felt it would,that,Nash stated,Nash stated if Columbus felt it would,43.57914114,14.12047768
Howson publicly stated that he had no intention of trading Nash.,Howson publicly stated he had no intention of trading Nash.,Howson publicly,he had no intention of trading Nash.,0,state,stated,Howson publicly stated he had no intention of,that,Howson publicly stated,Howson publicly stated he had no intention of,12.95221902,6.495726585
More rumors came to light when reports attributed to Réseau des sports stated that Carter was unhappy in Columbus and demanded a trade.,More rumors came to light when reports attributed to Réseau des sports stated Carter was unhappy in Columbus and demanded a trade.,More rumors came to light when reports attributed to Réseau des sports,Carter was unhappy in Columbus and demanded a trade.,0,state,stated,More rumors came to light when reports attributed to Réseau des sports stated Carter was unhappy in Columbus,that,More rumors came to light when reports attributed to Réseau des sports stated,More rumors came to light when reports attributed to Réseau des sports stated Carter was unhappy in Columbus,44.50783253,13.5391618
"Howson , Carter and his agent all denied that a trade request was ever made , and they were unsure where the reports were coming from.","Howson , Carter and his agent all denied a trade request was ever made , and they were unsure where the reports were coming from.","Howson , Carter and his agent all","a trade request was ever made , and they were unsure where the reports were coming from.",0,deny,denied,"Howson , Carter and his agent all denied a trade request was ever",that,"Howson , Carter and his agent all denied","Howson , Carter and his agent all denied a trade request was ever",33.55922914,8.420911789
"He added that action would be taken around the trade deadline , the Entry Draft and free agency to take the team in a new direction.","He added action would be taken around the trade deadline , the Entry Draft and free agency to take the team in a new direction.",He,"action would be taken around the trade deadline , the Entry Draft and free agency to take the team in a new direction.",0,add,added,He added action would be taken around,that,He added,He added action would be taken around,40.39487362,9.116201401
"When speaking of the season , McConnell stated "" disappointing is not a strong enough word "" and that he was committed to giving fans a team of which they can be proud of.","When speaking of the season , McConnell stated "" disappointing is not a strong enough word "" and that he was committed to giving fans a team of which they can be proud of.","When speaking of the season , McConnell",""" disappointing is not a strong enough word "" and that he was committed to giving fans a team of which they can be proud of.",0,state,stated,"When speaking of the season , McConnell stated "" disappointing is not a",none,"When speaking of the season , McConnell stated","When speaking of the season , McConnell stated "" disappointing is not a",35.42673373,7.056879997
"He also thanked them for their dedication and passion , while reiterating that the team goal was to "" win consistently and compete for the Stanley Cup.","He also thanked them for their dedication and passion , while reiterating the team goal was to "" win consistently and compete for the Stanley Cup.","He also thanked them for their dedication and passion , while","the team goal was to "" win consistently and compete for the Stanley Cup.",0,reiterate,reiterating,"He also thanked them for their dedication and passion , while reiterating the team goal was to",that,"He also thanked them for their dedication and passion , while reiterating","He also thanked them for their dedication and passion , while reiterating the team goal was to",32.3309961,8.705351806
"The same day the fans protested , it was announced that the franchise would host the 2013 All @-@ Star Game.","The same day the fans protested , it was announced the franchise would host the 2013 All @-@ Star Game.","The same day the fans protested , it was",the franchise would host the 2013 All @-@ Star Game.,0,announce,announced,"The same day the fans protested , it was announced the franchise would host the",that,"The same day the fans protested , it was announced","The same day the fans protested , it was announced the franchise would host the",25.17366213,1.738688111
"Upon review of the goal it , was determined that the clock at Staples Center froze at 1 @.@ 8 seconds for over a full second , which would have resulted in time expiring prior to the goal being scored.","Upon review of the goal it , was determined the clock at Staples Center froze at 1 @.@ 8 seconds for over a full second , which would have resulted in time expiring prior to the goal being scored.","Upon review of the goal it , was","the clock at Staples Center froze at 1 @.@ 8 seconds for over a full second , which would have resulted in time expiring prior to the goal being scored.",0,determine,determined,"Upon review of the goal it , was determined the clock at Staples Center",that,"Upon review of the goal it , was determined","Upon review of the goal it , was determined the clock at Staples Center",45.53506339,4.681499004
Kings ' General Manager Dean Lombardi stated that the clock was correct and no extra time had been added due to the way the clock self @-@ corrects at various times.,Kings ' General Manager Dean Lombardi stated the clock was correct and no extra time had been added due to the way the clock self @-@ corrects at various times.,Kings ' General Manager Dean Lombardi,the clock was correct and no extra time had been added due to the way the clock self @-@ corrects at various times.,0,state,stated,Kings ' General Manager Dean Lombardi stated the clock was correct and,that,Kings ' General Manager Dean Lombardi stated,Kings ' General Manager Dean Lombardi stated the clock was correct and,42.23130655,9.570845276
"Howson stated on the team 's blog that "" It is an amazing coincidence that with the Kings on a power play at Staples Center and with a mad scramble around our net in the dying seconds of the third period of a 2 – 2 hockey game that the clock stopped for at least one full second , "" adding that , "" Either there was a deliberate stopping of the clock or the clock malfunctioned.","Howson stated on the team 's blog that "" It is an amazing coincidence that with the Kings on a power play at Staples Center and with a mad scramble around our net in the dying seconds of the third period of a 2 – 2 hockey game that the clock stopped for at least one full second , "" adding that , "" Either there was a deliberate stopping of the clock or the clock malfunctioned.","Howson stated on the team 's blog that "" It is an amazing coincidence that with the Kings on a power play at Staples Center and with a mad scramble around our net in the dying seconds of the third period of a 2 – 2 hockey game that the clock stopped for at least one full second , ""","that , "" Either there was a deliberate stopping of the clock or the clock malfunctioned.",0,add,adding,"It is an amazing coincidence that with the Kings on a power play at Staples Center and with a mad scramble around our net in the dying seconds of the third period of a 2 – 2 hockey game that the clock stopped for at least one full second , "" adding that , "" Either there",none,"Howson stated on the team 's blog that "" It is an amazing coincidence that with the Kings on a power play at Staples Center and with a mad scramble around our net in the dying seconds of the third period of a 2 – 2 hockey game that the clock stopped for at least one full second , "" adding","Howson stated on the team 's blog that "" It is an amazing coincidence that with the Kings on a power play at Staples Center and with a mad scramble around our net in the dying seconds of the third period of a 2 – 2 hockey game that the clock stopped for at least one full second , "" adding that , "" Either there",34.79332101,13.40274011
""" NHL Senior Vice President of Hockey Operations Colin Campbell stated that the Blue Jackets were wronged , but that the outcome of the game could not be changed , and that the delay was not noticed by the off @-@ ice officials or the situation room in Toronto.",""" NHL Senior Vice President of Hockey Operations Colin Campbell stated the Blue Jackets were wronged , but that the outcome of the game could not be changed , and that the delay was not noticed by the off @-@ ice officials or the situation room in Toronto.",""" NHL Senior Vice President of Hockey Operations Colin Campbell","the Blue Jackets were wronged , but that the outcome of the game could not be changed , and that the delay was not noticed by the off @-@ ice officials or the situation room in Toronto.",0,state,stated,""" NHL Senior Vice President of Hockey Operations Colin Campbell stated the Blue Jackets were wronged",that,""" NHL Senior Vice President of Hockey Operations Colin Campbell stated",""" NHL Senior Vice President of Hockey Operations Colin Campbell stated the Blue Jackets were wronged",39.47399587,8.941755295
"Two weeks prior to the NHL trade deadline , Columbus announced that unlike earlier in the season , they would listen to trade proposals involving Rick Nash , though they were not actively shopping him.","Two weeks prior to the NHL trade deadline , Columbus announced unlike earlier in the season , they would listen to trade proposals involving Rick Nash , though they were not actively shopping him.","Two weeks prior to the NHL trade deadline , Columbus","unlike earlier in the season , they would listen to trade proposals involving Rick Nash , though they were not actively shopping him.",0,announce,announced,"Two weeks prior to the NHL trade deadline , Columbus announced unlike earlier in the season",that,"Two weeks prior to the NHL trade deadline , Columbus announced","Two weeks prior to the NHL trade deadline , Columbus announced unlike earlier in the season",40.33328497,4.716414452
"Howson stated that the team was open to all options for improving the team , including trading Nash.","Howson stated the team was open to all options for improving the team , including trading Nash.",Howson,"the team was open to all options for improving the team , including trading Nash.",0,state,stated,Howson stated the team was open to,that,Howson stated,Howson stated the team was open to,24.69072033,12.53460407
"Following the trade deadline , Howson announced that the team had attempted to trade Nash at the player 's request.","Following the trade deadline , Howson announced the team had attempted to trade Nash at the player 's request.","Following the trade deadline , Howson",the team had attempted to trade Nash at the player 's request.,0,announce,announced,"Following the trade deadline , Howson announced the team had attempted to",that,"Following the trade deadline , Howson announced","Following the trade deadline , Howson announced the team had attempted to",22.39656979,6.911171198
Nash stated that he had requested the trade after being informed that the franchise was going into another rebuilding phase.,Nash stated he had requested the trade after being informed that the franchise was going into another rebuilding phase.,Nash,he had requested the trade after being informed that the franchise was going into another rebuilding phase.,0,state,stated,Nash stated he had requested the trade,that,Nash stated,Nash stated he had requested the trade,30.34077382,14.12047768
"He further noted that he felt that he "" could be a huge part of that towards bringing assets in , "" and in his view "" it was the best thing for the team , the organization , and personally for [ his ] career.","He further noted he felt that he "" could be a huge part of that towards bringing assets in , "" and in his view "" it was the best thing for the team , the organization , and personally for [ his ] career.",He further,"he felt that he "" could be a huge part of that towards bringing assets in , "" and in his view "" it was the best thing for the team , the organization , and personally for [ his ] career.",0,note,noted,"He further noted he felt that he """,that,He further noted,"He further noted he felt that he """,27.5065794,5.323153973
"He further noted that he felt that he "" could be a huge part of that towards bringing assets in , "" and in his view "" it was the best thing for the team , the organization , and personally for [ his ] career.","He further noted that he felt he "" could be a huge part of that towards bringing assets in , "" and in his view "" it was the best thing for the team , the organization , and personally for [ his ] career.",He further noted that he,"he "" could be a huge part of that towards bringing assets in , "" and in his view "" it was the best thing for the team , the organization , and personally for [ his ] career.",0,feel,felt,"He further noted that he felt he "" could be a",that,He further noted that he felt,"He further noted that he felt he "" could be a",32.55520853,6.495540619
"A month later , on May 14 , the Blue Jackets announced that Richards would remain as head coach and signed him to a two @-@ year contract.","A month later , on May 14 , the Blue Jackets announced Richards would remain as head coach and signed him to a two @-@ year contract.","A month later , on May 14 , the Blue Jackets",Richards would remain as head coach and signed him to a two @-@ year contract.,0,announce,announced,"A month later , on May 14 , the Blue Jackets announced Richards would remain as head",that,"A month later , on May 14 , the Blue Jackets announced","A month later , on May 14 , the Blue Jackets announced Richards would remain as head",33.35338354,2.4214499
"During the press conference , Howson noted , "" Our team continuously improved under Todd and he has earned the opportunity to build upon the work he started.","During the press conference , Howson noted , "" Our team continuously improved under Todd and he has earned the opportunity to build upon the work he started.","During the press conference , Howson",", "" Our team continuously improved under Todd and he has earned the opportunity to build upon the work he started.",0,note,noted,"During the press conference , Howson noted , "" Our team continuously",none,"During the press conference , Howson noted","During the press conference , Howson noted , "" Our team continuously",38.1395393,7.315024078
"Hejda , who played four of his first five NHL seasons with the Blue Jackets , was offered a contract by Columbus , but felt that the organization undervalued him and left via free agency.","Hejda , who played four of his first five NHL seasons with the Blue Jackets , was offered a contract by Columbus , but felt the organization undervalued him and left via free agency.","Hejda , who played four of his first five NHL seasons with the Blue Jackets , was offered a contract by Columbus , but",the organization undervalued him and left via free agency.,0,feel,felt,"Hejda , who played four of his first five NHL seasons with the Blue Jackets , was offered a contract by Columbus , but felt the organization undervalued him and",that,"Hejda , who played four of his first five NHL seasons with the Blue Jackets , was offered a contract by Columbus , but felt","Hejda , who played four of his first five NHL seasons with the Blue Jackets , was offered a contract by Columbus , but felt the organization undervalued him and",27.35554707,9.069537878
"Carey suggests we should be more tolerant of each other and not resort so readily to war in the lyrics "" Couldn 't we accept each other / Can 't we make ourselves aware.","Carey suggests we should be more tolerant of each other and not resort so readily to war in the lyrics "" Couldn 't we accept each other / Can 't we make ourselves aware.",Carey,"we should be more tolerant of each other and not resort so readily to war in the lyrics "" Couldn 't we accept each other / Can 't we make ourselves aware.",0,suggest,suggests,Carey suggests we should be more tolerant,none,Carey suggests,Carey suggests we should be more tolerant,23.38910055,14.25113583
"Music critic Robert Christgau felt that Carey was being too political in her "" brave , young , idealistic attack "" on war and destitution.","Music critic Robert Christgau felt Carey was being too political in her "" brave , young , idealistic attack "" on war and destitution.",Music critic Robert Christgau,"Carey was being too political in her "" brave , young , idealistic attack "" on war and destitution.",0,feel,felt,Music critic Robert Christgau felt Carey was being too political,that,Music critic Robert Christgau felt,Music critic Robert Christgau felt Carey was being too political,37.58790477,13.43511799
"Ralph Novak , David Hiltbrand and David Grogan of People wrote that it is a "" testimony to her talent that she does so much with so little.","Ralph Novak , David Hiltbrand and David Grogan of People wrote it is a "" testimony to her talent that she does so much with so little.","Ralph Novak , David Hiltbrand and David Grogan of People","it is a "" testimony to her talent that she does so much with so little.",0,write,wrote,"Ralph Novak , David Hiltbrand and David Grogan of People wrote it is a "" testimony",that,"Ralph Novak , David Hiltbrand and David Grogan of People wrote","Ralph Novak , David Hiltbrand and David Grogan of People wrote it is a "" testimony",45.56931329,11.27125788
""" They continued to write that Carey 's "" tone and clarity "" makes "" There 's Got to Be a Way "" a "" mesmerizing "" track.",""" They continued to write Carey 's "" tone and clarity "" makes "" There 's Got to Be a Way "" a "" mesmerizing "" track.",""" They continued to","Carey 's "" tone and clarity "" makes "" There 's Got to Be a Way "" a "" mesmerizing "" track.",0,write,write,""" They continued to write Carey 's "" tone and",that,""" They continued to write",""" They continued to write Carey 's "" tone and",54.27789795,9.351530075
"He noted that "" There 's Got to Be a Way "" follows the same melodic tone as the album 's opener "" Vision of Love "" but highlighted their stark lyrical differences , as the former is about social activism and the latter is about love.","He noted "" There 's Got to Be a Way "" follows the same melodic tone as the album 's opener "" Vision of Love "" but highlighted their stark lyrical differences , as the former is about social activism and the latter is about love.",He,""" There 's Got to Be a Way "" follows the same melodic tone as the album 's opener "" Vision of Love "" but highlighted their stark lyrical differences , as the former is about social activism and the latter is about love.",0,note,noted,"He noted "" There 's Got to",that,He noted,"He noted "" There 's Got to",55.09953082,11.23383904
"Although he praised Carey 's vocals , writing that she "" deploys "" one of her best whistle notes of her career , he felt that "" the aim for broad appeal comes at the expense of memorable lyrics.","Although he praised Carey 's vocals , writing that she "" deploys "" one of her best whistle notes of her career , he felt "" the aim for broad appeal comes at the expense of memorable lyrics.","Although he praised Carey 's vocals , writing that she "" deploys "" one of her best whistle notes of her career , he",""" the aim for broad appeal comes at the expense of memorable lyrics.",0,feel,felt,"Although he praised Carey 's vocals , writing that she "" deploys "" one of her best whistle notes of her career , he felt "" the aim for broad",that,"Although he praised Carey 's vocals , writing that she "" deploys "" one of her best whistle notes of her career , he felt","Although he praised Carey 's vocals , writing that she "" deploys "" one of her best whistle notes of her career , he felt "" the aim for broad",48.58470869,6.192559481
