sentence,pseudo_that,context,embedded_clause,matrix_verb_to_cc,verb,verb_in_text,embedded_clause_n,comp_type,context_verb,context_verb_n,embedded_n_sum,verb_sum
""" On the contrary , Charu Thakur of India Today criticized her acting skills , but remarked that : "" [ she has ] managed to find her feet in Bollywood now by banking on glamorous roles "".",""" On the contrary , Charu Thakur of India Today criticized her acting skills , but remarked : "" [ she has ] managed to find her feet in Bollywood now by banking on glamorous roles "".",""" On the contrary , Charu Thakur of India Today criticized her acting skills , but",": "" [ she has ] managed to find her feet in Bollywood now by banking on glamorous roles "".",0,remark,remarked,""" On the contrary , Charu Thakur of India Today criticized her acting skills , but remarked : "" [ she has",that,""" On the contrary , Charu Thakur of India Today criticized her acting skills , but remarked",""" On the contrary , Charu Thakur of India Today criticized her acting skills , but remarked : "" [ she has",28.61892965,12.06184435
Cullen felt that the inspiration he drew from his mother 's battle allowed him to become a better player.,Cullen felt the inspiration he drew from his mother 's battle allowed him to become a better player.,Cullen,the inspiration he drew from his mother 's battle allowed him to become a better player.,0,feel,felt,Cullen felt the inspiration he drew from,that,Cullen felt,Cullen felt the inspiration he drew from,31.33343816,14.77523899
"After the Penguins won their first Stanley Cup that season , Phil Bourque later said it "" broke his heart "" that Cullen was not able to share in that championship.","After the Penguins won their first Stanley Cup that season , Phil Bourque later said it "" broke his heart "" that Cullen was not able to share in that championship.","After the Penguins won their first Stanley Cup that season , Phil Bourque later","it "" broke his heart "" that Cullen was not able to share in that championship.",0,say,said,"After the Penguins won their first Stanley Cup that season , Phil Bourque later said it "" broke his heart",none,"After the Penguins won their first Stanley Cup that season , Phil Bourque later said","After the Penguins won their first Stanley Cup that season , Phil Bourque later said it "" broke his heart",28.12133649,2.310317039
His most significant injury was a herniated disc in his neck that doctors initially feared would end his career.,His most significant injury was a herniated disc in his neck that doctors initially feared would end his career.,His most significant injury was a herniated disc in his neck that doctors initially,would end his career.,0,fear,feared,His most significant injury was a herniated disc in his neck that doctors initially feared would end his career,none,His most significant injury was a herniated disc in his neck that doctors initially feared,His most significant injury was a herniated disc in his neck that doctors initially feared would end his career.,10.17124999,6.46859026
He underwent a CAT scan which revealed Cullen had a baseball @-@ sized tumor ; he was diagnosed as having Non @-@ Hodgkin lymphoma.,He underwent a CAT scan which revealed Cullen had a baseball @-@ sized tumor ; he was diagnosed as having Non @-@ Hodgkin lymphoma.,He underwent a CAT scan which,Cullen had a baseball @-@ sized tumor ; he was diagnosed as having Non @-@ Hodgkin lymphoma.,0,reveal,revealed,He underwent a CAT scan which revealed Cullen had a baseball @-@,none,He underwent a CAT scan which revealed,He underwent a CAT scan which revealed Cullen had a baseball @-@,83.24390745,1.280242205
"The tumor was gone by September 1997 , but a precautionary test prior to training camp revealed that Cullen still had cancer cells in his body.","The tumor was gone by September 1997 , but a precautionary test prior to training camp revealed Cullen still had cancer cells in his body.","The tumor was gone by September 1997 , but a precautionary test prior to training camp",Cullen still had cancer cells in his body.,0,reveal,revealed,"The tumor was gone by September 1997 , but a precautionary test prior to training camp revealed Cullen still had cancer cells",that,"The tumor was gone by September 1997 , but a precautionary test prior to training camp revealed","The tumor was gone by September 1997 , but a precautionary test prior to training camp revealed Cullen still had cancer cells",43.09111333,5.197303295
"Another examination in April 1998 revealed that the cancer was finally gone , and Cullen immediately began training for a comeback.","Another examination in April 1998 revealed the cancer was finally gone , and Cullen immediately began training for a comeback.",Another examination in April 1998,"the cancer was finally gone , and Cullen immediately began training for a comeback.",0,reveal,revealed,Another examination in April 1998 revealed the cancer was finally gone,that,Another examination in April 1998 revealed,Another examination in April 1998 revealed the cancer was finally gone,35.78991556,4.452736855
"Cullen scored the game @-@ winning goal in a 3 – 1 victory , after which he said he sat on the bench in disbelief over how he was given a second chance.","Cullen scored the game @-@ winning goal in a 3 – 1 victory , after which he said he sat on the bench in disbelief over how he was given a second chance.","Cullen scored the game @-@ winning goal in a 3 – 1 victory , after which he",he sat on the bench in disbelief over how he was given a second chance.,0,say,said,"Cullen scored the game @-@ winning goal in a 3 – 1 victory , after which he said he sat on the bench",none,"Cullen scored the game @-@ winning goal in a 3 – 1 victory , after which he said","Cullen scored the game @-@ winning goal in a 3 – 1 victory , after which he said he sat on the bench",18.6977939,6.812625885
"He chose to accept the demotion , giving himself one month to determine if he could continue playing.","He chose to accept the demotion , giving himself one month to determine if he could continue playing.","He chose to accept the demotion , giving himself one month to",he could continue playing.,0,determine,determine,"He chose to accept the demotion , giving himself one month to determine if he could continue playing",other,"He chose to accept the demotion , giving himself one month to determine","He chose to accept the demotion , giving himself one month to determine if he could continue playing.",17.73322445,9.559965312
"However , a bout of bronchitis led Cullen to fear that his cancer had returned.","However , a bout of bronchitis led Cullen to fear his cancer had returned.","However , a bout of bronchitis led Cullen to",his cancer had returned.,0,fear,fear,"However , a bout of bronchitis led Cullen to fear his cancer had returned",that,"However , a bout of bronchitis led Cullen to fear","However , a bout of bronchitis led Cullen to fear his cancer had returned.",26.51946545,11.74502563
"Tests came back negative , but after spending time with his family , he realized that neither he nor his family were interested in returning to Cleveland.","Tests came back negative , but after spending time with his family , he realized neither he nor his family were interested in returning to Cleveland.","Tests came back negative , but after spending time with his family , he",neither he nor his family were interested in returning to Cleveland.,0,realize,realized,"Tests came back negative , but after spending time with his family , he realized neither he nor his family",that,"Tests came back negative , but after spending time with his family , he realized","Tests came back negative , but after spending time with his family , he realized neither he nor his family",20.64389122,8.122122169
Former Lightning head coach Terry Crisp has stated publicly that Cullen was a player that stood out as something special saying “ John Cullen ... beat cancer and came back to play and helped us win.,Former Lightning head coach Terry Crisp has stated publicly Cullen was a player that stood out as something special saying “ John Cullen ... beat cancer and came back to play and helped us win.,Former Lightning head coach Terry Crisp has,Cullen was a player that stood out as something special saying “ John Cullen ... beat cancer and came back to play and helped us win.,1,state,stated,Former Lightning head coach Terry Crisp has stated publicly Cullen was a player that,that,Former Lightning head coach Terry Crisp has stated,Former Lightning head coach Terry Crisp has stated publicly Cullen was a player that,52.93632269,9.397221729
Former Lightning head coach Terry Crisp has stated publicly that Cullen was a player that stood out as something special saying “ John Cullen ... beat cancer and came back to play and helped us win.,Former Lightning head coach Terry Crisp has stated publicly that Cullen was a player that stood out as something special saying “ John Cullen ... beat cancer and came back to play and helped us win.,Former Lightning head coach Terry Crisp has stated publicly that Cullen was a player that stood out as something special,“ John Cullen ... beat cancer and came back to play and helped us win.,0,say,saying,Former Lightning head coach Terry Crisp has stated publicly that Cullen was a player that stood out as something special saying “ John Cullen ... beat,none,Former Lightning head coach Terry Crisp has stated publicly that Cullen was a player that stood out as something special saying,Former Lightning head coach Terry Crisp has stated publicly that Cullen was a player that stood out as something special saying “ John Cullen ... beat,81.66691095,16.03325462
"Horthy felt that the element of surprise had been compromised , and therefore called off the operation.","Horthy felt the element of surprise had been compromised , and therefore called off the operation.",Horthy,"the element of surprise had been compromised , and therefore called off the operation.",0,feel,felt,Horthy felt the element of surprise had,that,Horthy felt,Horthy felt the element of surprise had,26.47891252,13.11013412
"Some scholars have argued , based in part on Egyptian writings , that the Egyptians came to recognize a single divine power that lay behind all things and was present in all the other deities.","Some scholars have argued , based in part on Egyptian writings , that the Egyptians came to recognize a single divine power that lay behind all things and was present in all the other deities.",Some scholars have,", based in part on Egyptian writings , that the Egyptians came to recognize a single divine power that lay behind all things and was present in all the other deities.",0,argue,argued,"Some scholars have argued , based in part on",none,Some scholars have argued,"Some scholars have argued , based in part on",27.69973537,2.634096622
"The Egyptologist James P. Allen estimates that more than 1 @,@ 400 deities are named in Egyptian texts , whereas his colleague Christian Leitz says there are "" thousands upon thousands "" of gods.","The Egyptologist James P. Allen estimates more than 1 @,@ 400 deities are named in Egyptian texts , whereas his colleague Christian Leitz says there are "" thousands upon thousands "" of gods.",The Egyptologist James P. Allen,"more than 1 @,@ 400 deities are named in Egyptian texts , whereas his colleague Christian Leitz says there are "" thousands upon thousands "" of gods.",0,estimate,estimates,"The Egyptologist James P. Allen estimates more than 1 @ ,",that,The Egyptologist James P. Allen estimates,"The Egyptologist James P. Allen estimates more than 1 @,@ 400",67.87954812,10.86639249
"The Egyptologist James P. Allen estimates that more than 1 @,@ 400 deities are named in Egyptian texts , whereas his colleague Christian Leitz says there are "" thousands upon thousands "" of gods.","The Egyptologist James P. Allen estimates that more than 1 @,@ 400 deities are named in Egyptian texts , whereas his colleague Christian Leitz says there are "" thousands upon thousands "" of gods.","The Egyptologist James P. Allen estimates that more than 1 @,@ 400 deities are named in Egyptian texts , whereas his colleague Christian Leitz","there are "" thousands upon thousands "" of gods.",0,say,says,"The Egyptologist James P. Allen estimates that more than 1 @ , @ 400 deities are named in Egyptian texts , whereas his colleague Christian Leitz says there are "" thousands upon",none,"The Egyptologist James P. Allen estimates that more than 1 @,@ 400 deities are named in Egyptian texts , whereas his colleague Christian Leitz says","The Egyptologist James P. Allen estimates that more than 1 @,@ 400 deities are named in Egyptian texts , whereas his colleague Christian Leitz says there are "" thousands upon",34.1444962,5.450309277
"One widely accepted definition , suggested by Jan Assmann , says that a deity has a cult , is involved in some aspect of the universe , and is described in mythology or other forms of written tradition.","One widely accepted definition , suggested by Jan Assmann , says a deity has a cult , is involved in some aspect of the universe , and is described in mythology or other forms of written tradition.","One widely accepted definition , suggested by Jan Assmann ,","a deity has a cult , is involved in some aspect of the universe , and is described in mythology or other forms of written tradition.",0,say,says,"One widely accepted definition , suggested by Jan Assmann , says a deity has a cult",that,"One widely accepted definition , suggested by Jan Assmann , says","One widely accepted definition , suggested by Jan Assmann , says a deity has a cult",38.23783267,7.845920563
"One widely accepted definition , suggested by Jan Assmann , says that a deity has a cult , is involved in some aspect of the universe , and is described in mythology or other forms of written tradition.","One widely accepted definition , suggested by Jan Assmann , says that a deity has a cult , is involved in some aspect of the universe , and is described in mythology or other forms of written tradition.","One widely accepted definition , suggested by Jan Assmann ,","that a deity has a cult , is involved in some aspect of the universe , and is described in mythology or other forms of written tradition.",0,say,says,"One widely accepted definition , suggested by Jan Assmann , says that a deity has a",none,"One widely accepted definition , suggested by Jan Assmann , says","One widely accepted definition , suggested by Jan Assmann , says that a deity has a",23.99263573,7.845920563
"Some of these images , such as stars and cattle , are reminiscent of important features of Egyptian religion in later times , but in most cases there is not enough evidence to say whether the images are connected with deities.","Some of these images , such as stars and cattle , are reminiscent of important features of Egyptian religion in later times , but in most cases there is not enough evidence to say whether the images are connected with deities.","Some of these images , such as stars and cattle , are reminiscent of important features of Egyptian religion in later times , but in most cases there is not enough evidence to",the images are connected with deities.,0,say,say,"Some of these images , such as stars and cattle , are reminiscent of important features of Egyptian religion in later times , but in most cases there is not enough evidence to say whether the images are connected with",other,"Some of these images , such as stars and cattle , are reminiscent of important features of Egyptian religion in later times , but in most cases there is not enough evidence to say","Some of these images , such as stars and cattle , are reminiscent of important features of Egyptian religion in later times , but in most cases there is not enough evidence to say whether the images are connected",16.4762083,5.030550331
"Gustave Jéquier , for instance , thought the Egyptians first revered primitive fetishes , then deities in animal form , and finally deities in human form , whereas Henri Frankfort argued that the gods must have been envisioned in human form from the beginning.","Gustave Jéquier , for instance , thought the Egyptians first revered primitive fetishes , then deities in animal form , and finally deities in human form , whereas Henri Frankfort argued that the gods must have been envisioned in human form from the beginning.","Gustave Jéquier , for instance ,","the Egyptians first revered primitive fetishes , then deities in animal form , and finally deities in human form , whereas Henri Frankfort argued that the gods must have been envisioned in human form from the beginning.",0,think,thought,"Gustave Jéquier , for instance , thought the Egyptians first revered primitive",none,"Gustave Jéquier , for instance , thought","Gustave Jéquier , for instance , thought the Egyptians first revered primitive",55.44727802,9.021660805
"Gustave Jéquier , for instance , thought the Egyptians first revered primitive fetishes , then deities in animal form , and finally deities in human form , whereas Henri Frankfort argued that the gods must have been envisioned in human form from the beginning.","Gustave Jéquier , for instance , thought the Egyptians first revered primitive fetishes , then deities in animal form , and finally deities in human form , whereas Henri Frankfort argued the gods must have been envisioned in human form from the beginning.","Gustave Jéquier , for instance , thought the Egyptians first revered primitive fetishes , then deities in animal form , and finally deities in human form , whereas Henri Frankfort",the gods must have been envisioned in human form from the beginning.,0,argue,argued,"Gustave Jéquier , for instance , thought the Egyptians first revered primitive fetishes , then deities in animal form , and finally deities in human form , whereas Henri Frankfort argued the gods must have been",that,"Gustave Jéquier , for instance , thought the Egyptians first revered primitive fetishes , then deities in animal form , and finally deities in human form , whereas Henri Frankfort argued","Gustave Jéquier , for instance , thought the Egyptians first revered primitive fetishes , then deities in animal form , and finally deities in human form , whereas Henri Frankfort argued the gods must have been",20.34922588,7.354651928
"Because many deities in later times were strongly tied to particular towns and regions , many scholars have suggested that the pantheon formed as disparate communities coalesced into larger states , spreading and intermingling the worship of the old local deities.","Because many deities in later times were strongly tied to particular towns and regions , many scholars have suggested the pantheon formed as disparate communities coalesced into larger states , spreading and intermingling the worship of the old local deities.","Because many deities in later times were strongly tied to particular towns and regions , many scholars have","the pantheon formed as disparate communities coalesced into larger states , spreading and intermingling the worship of the old local deities.",0,suggest,suggested,"Because many deities in later times were strongly tied to particular towns and regions , many scholars have suggested the pantheon formed as disparate",that,"Because many deities in later times were strongly tied to particular towns and regions , many scholars have suggested","Because many deities in later times were strongly tied to particular towns and regions , many scholars have suggested the pantheon formed as disparate",43.13758663,4.449585438
"But others have argued that the most important predynastic gods were , like other elements of Egyptian culture , present all across the country despite the political divisions within it.","But others have argued that the most important predynastic gods were , like other elements of Egyptian culture , present all across the country despite the political divisions within it.",But others have,"that the most important predynastic gods were , like other elements of Egyptian culture , present all across the country despite the political divisions within it.",0,argue,argued,But others have argued that the most important predynastic,none,But others have argued,But others have argued that the most important predynastic,42.50910483,5.688613415
"Richard H. Wilkinson , however , argues that some texts from the late New Kingdom suggest that , as beliefs about the god Amun evolved , he was thought to approach omniscience and omnipresence and to transcend the limits of the world in a way that other deities did not.","Richard H. Wilkinson , however , argues some texts from the late New Kingdom suggest that , as beliefs about the god Amun evolved , he was thought to approach omniscience and omnipresence and to transcend the limits of the world in a way that other deities did not.","Richard H. Wilkinson , however ,","some texts from the late New Kingdom suggest that , as beliefs about the god Amun evolved , he was thought to approach omniscience and omnipresence and to transcend the limits of the world in a way that other deities did not.",0,argue,argues,"Richard H. Wilkinson , however , argues some texts from the late",that,"Richard H. Wilkinson , however , argues","Richard H. Wilkinson , however , argues some texts from the late",36.68104815,5.172163248
"Richard H. Wilkinson , however , argues that some texts from the late New Kingdom suggest that , as beliefs about the god Amun evolved , he was thought to approach omniscience and omnipresence and to transcend the limits of the world in a way that other deities did not.","Richard H. Wilkinson , however , argues that some texts from the late New Kingdom suggest , as beliefs about the god Amun evolved , he was thought to approach omniscience and omnipresence and to transcend the limits of the world in a way that other deities did not.","Richard H. Wilkinson , however , argues that some texts from the late New Kingdom",", as beliefs about the god Amun evolved , he was thought to approach omniscience and omnipresence and to transcend the limits of the world in a way that other deities did not.",0,suggest,suggest,"Richard H. Wilkinson , however , argues that some texts from the late New Kingdom suggest , as beliefs about the",that,"Richard H. Wilkinson , however , argues that some texts from the late New Kingdom suggest","Richard H. Wilkinson , however , argues that some texts from the late New Kingdom suggest , as beliefs about the",38.99091625,6.568624973
Egyptians believed the landscape was full of these unpredictable divine powers.,Egyptians believed the landscape was full of these unpredictable divine powers.,Egyptians,the landscape was full of these unpredictable divine powers.,0,believe,believed,Egyptians believed the landscape was full of,none,Egyptians believed,Egyptians believed the landscape was full of,26.82909673,11.27956867
"Some poorly understood Egyptian texts even suggest that this calamity is destined to happen — that the creator god will one day dissolve the order of the world , leaving only himself and Osiris amid the primordial chaos.","Some poorly understood Egyptian texts even suggest this calamity is destined to happen — that the creator god will one day dissolve the order of the world , leaving only himself and Osiris amid the primordial chaos.",Some poorly understood Egyptian texts even,"this calamity is destined to happen — that the creator god will one day dissolve the order of the world , leaving only himself and Osiris amid the primordial chaos.",0,suggest,suggest,Some poorly understood Egyptian texts even suggest this calamity is destined to,that,Some poorly understood Egyptian texts even suggest,Some poorly understood Egyptian texts even suggest this calamity is destined to,37.7793688,4.1930933
"Some poorly understood Egyptian texts even suggest that this calamity is destined to happen — that the creator god will one day dissolve the order of the world , leaving only himself and Osiris amid the primordial chaos.","Some poorly understood Egyptian texts even suggest that this calamity is destined to happen — that the creator god will one day dissolve the order of the world , leaving only himself and Osiris amid the primordial chaos.",Some poorly understood Egyptian texts even,"that this calamity is destined to happen — that the creator god will one day dissolve the order of the world , leaving only himself and Osiris amid the primordial chaos.",0,suggest,suggest,Some poorly understood Egyptian texts even suggest that this calamity is destined,none,Some poorly understood Egyptian texts even suggest,Some poorly understood Egyptian texts even suggest that this calamity is destined,35.85929397,4.1930933
"A passage in the Coffin Texts renders the name of the funerary god Sokar as sk r , meaning "" cleaning of the mouth "" , to link his name with his role in the Opening of the Mouth ritual , while one in the Pyramid Texts says the name is based on words shouted by Osiris , connecting Sokar with the most important funerary deity.","A passage in the Coffin Texts renders the name of the funerary god Sokar as sk r , meaning "" cleaning of the mouth "" , to link his name with his role in the Opening of the Mouth ritual , while one in the Pyramid Texts says the name is based on words shouted by Osiris , connecting Sokar with the most important funerary deity.","A passage in the Coffin Texts renders the name of the funerary god Sokar as sk r , meaning "" cleaning of the mouth "" , to link his name with his role in the Opening of the Mouth ritual , while one in the Pyramid Texts","the name is based on words shouted by Osiris , connecting Sokar with the most important funerary deity.",0,say,says,"A passage in the Coffin Texts renders the name of the funerary god Sokar as sk r , meaning "" cleaning of the mouth "" , to link his name with his role in the Opening of the Mouth ritual , while one in the Pyramid Texts says the name is based on",none,"A passage in the Coffin Texts renders the name of the funerary god Sokar as sk r , meaning "" cleaning of the mouth "" , to link his name with his role in the Opening of the Mouth ritual , while one in the Pyramid Texts says","A passage in the Coffin Texts renders the name of the funerary god Sokar as sk r , meaning "" cleaning of the mouth "" , to link his name with his role in the Opening of the Mouth ritual , while one in the Pyramid Texts says the name is based on",16.41032644,5.22460252
"Everything in existence was said to be one of the kas of Atum the creator god , who originally contained all things within himself , and one deity could be called the ba of another , meaning that the first god is a manifestation of the other 's power.","Everything in existence was said to be one of the kas of Atum the creator god , who originally contained all things within himself , and one deity could be called the ba of another , meaning the first god is a manifestation of the other 's power.","Everything in existence was said to be one of the kas of Atum the creator god , who originally contained all things within himself , and one deity could be called the ba of another ,",the first god is a manifestation of the other 's power.,0,mean,meaning,"Everything in existence was said to be one of the kas of Atum the creator god , who originally contained all things within himself , and one deity could be called the ba of another , meaning the first god is a",that,"Everything in existence was said to be one of the kas of Atum the creator god , who originally contained all things within himself , and one deity could be called the ba of another , meaning","Everything in existence was said to be one of the kas of Atum the creator god , who originally contained all things within himself , and one deity could be called the ba of another , meaning the first god is a",24.38765907,8.487156868
There is evidence suggesting that the general populace was still allowed to worship other gods in private.,There is evidence suggesting the general populace was still allowed to worship other gods in private.,There is evidence,the general populace was still allowed to worship other gods in private.,0,suggest,suggesting,There is evidence suggesting the general populace was still,that,There is evidence suggesting,There is evidence suggesting the general populace was still,38.09961486,5.795171261
"For these reasons , the Egyptologist Dominic Montserrat suggested that Akhenaten may have been monolatrous , worshipping a single deity while acknowledging the existence of others.","For these reasons , the Egyptologist Dominic Montserrat suggested Akhenaten may have been monolatrous , worshipping a single deity while acknowledging the existence of others.","For these reasons , the Egyptologist Dominic Montserrat","Akhenaten may have been monolatrous , worshipping a single deity while acknowledging the existence of others.",0,suggest,suggested,"For these reasons , the Egyptologist Dominic Montserrat suggested Akhenaten may have been monolatrous",that,"For these reasons , the Egyptologist Dominic Montserrat suggested","For these reasons , the Egyptologist Dominic Montserrat suggested Akhenaten may have been monolatrous",65.16524338,7.350792885
"Scholars have long debated whether traditional Egyptian religion ever asserted that the multiple gods were , on a deeper level , unified.","Scholars have long debated whether traditional Egyptian religion ever asserted the multiple gods were , on a deeper level , unified.",Scholars have long debated whether traditional Egyptian religion ever,"the multiple gods were , on a deeper level , unified.",0,assert,asserted,"Scholars have long debated whether traditional Egyptian religion ever asserted the multiple gods were ,",that,Scholars have long debated whether traditional Egyptian religion ever asserted,"Scholars have long debated whether traditional Egyptian religion ever asserted the multiple gods were ,",50.31571913,10.90741634
"Reasons for this debate include the practice of syncretism , which might suggest that all the separate gods could ultimately merge into one , and the tendency of Egyptian texts to credit a particular god with power that surpasses all other deities.","Reasons for this debate include the practice of syncretism , which might suggest all the separate gods could ultimately merge into one , and the tendency of Egyptian texts to credit a particular god with power that surpasses all other deities.","Reasons for this debate include the practice of syncretism , which might","all the separate gods could ultimately merge into one , and the tendency of Egyptian texts to credit a particular god with power that surpasses all other deities.",0,suggest,suggest,"Reasons for this debate include the practice of syncretism , which might suggest all the separate gods could",that,"Reasons for this debate include the practice of syncretism , which might suggest","Reasons for this debate include the practice of syncretism , which might suggest all the separate gods could",46.25049925,5.893906891
