sentence,pseudo_that,matrix_verb_to_cc,verb,verb_in_text,comp_type,context,context_verb,context_verb_n,embedded_n_sum,verb_sum
"Responding to this emphasis on pleasure , Albert Guerard , Jr. argues that the poem contains a "" longing not for art but a free reverie of any kind.","Responding to this emphasis on pleasure , Albert Guerard , Jr. argues the poem contains a "" longing not for art but a free reverie of any kind.",0,argue,argues,that,"Responding to this emphasis on pleasure , Albert Guerard , Jr.","Responding to this emphasis on pleasure , Albert Guerard , Jr. argues","Responding to this emphasis on pleasure , Albert Guerard , Jr. argues the poem contains a """,36.30808115,6.719479024
"Earl Wasserman essentially agrees with Finney , but he extended his summation of the poem to incorporate the themes of Keats 's Mansion of Many Apartments when he says , "" the core of the poem is the search for the mystery , the unsuccessful quest for light within its darkness "" and this "" leads only to an increasing darkness , or a growing recognition of how impenetrable the mystery is to mortals.","Earl Wasserman essentially agrees with Finney , but he extended his summation of the poem to incorporate the themes of Keats 's Mansion of Many Apartments when he says , "" the core of the poem is the search for the mystery , the unsuccessful quest for light within its darkness "" and this "" leads only to an increasing darkness , or a growing recognition of how impenetrable the mystery is to mortals.",0,say,says,none,"Earl Wasserman essentially agrees with Finney , but he extended his summation of the poem to incorporate the themes of Keats 's Mansion of Many Apartments when he","Earl Wasserman essentially agrees with Finney , but he extended his summation of the poem to incorporate the themes of Keats 's Mansion of Many Apartments when he says","Earl Wasserman essentially agrees with Finney , but he extended his summation of the poem to incorporate the themes of Keats 's Mansion of Many Apartments when he says , "" the core of",31.50251943,4.506243467
"In a review for the 21 January 1835 London Journal , Hunt claimed that while Keats wrote the poem , "" The poet had then his mortal illness upon him , and knew it.","In a review for the 21 January 1835 London Journal , Hunt claimed while Keats wrote the poem , "" The poet had then his mortal illness upon him , and knew it.",0,claim,claimed,that,"In a review for the 21 January 1835 London Journal , Hunt","In a review for the 21 January 1835 London Journal , Hunt claimed","In a review for the 21 January 1835 London Journal , Hunt claimed while Keats wrote the poem",47.06140947,8.567659378
"Bridges , in 1895 , declared that the poem was the best of Keats 's odes but he thought that the poem contained too much artificial language.","Bridges , in 1895 , declared the poem was the best of Keats 's odes but he thought that the poem contained too much artificial language.",0,declare,declared,that,"Bridges , in 1895 ,","Bridges , in 1895 , declared","Bridges , in 1895 , declared the poem was the best",33.83280206,12.2298069
"Bridges , in 1895 , declared that the poem was the best of Keats 's odes but he thought that the poem contained too much artificial language.","Bridges , in 1895 , declared that the poem was the best of Keats 's odes but he thought the poem contained too much artificial language.",0,think,thought,that,"Bridges , in 1895 , declared that the poem was the best of Keats 's odes but he","Bridges , in 1895 , declared that the poem was the best of Keats 's odes but he thought","Bridges , in 1895 , declared that the poem was the best of Keats 's odes but he thought the poem contained too much",15.98318624,6.611999512
"In "" Two odes of Keats 's "" ( 1897 ) , William C Wilkinson suggested that "" Ode to a Nightingale "" is deeply flawed because it contains too many "" incoherent musings "" that failed to supply a standard of logic that would allow the reader to understand the relationship between the poet and the bird.","In "" Two odes of Keats 's "" ( 1897 ) , William C Wilkinson suggested "" Ode to a Nightingale "" is deeply flawed because it contains too many "" incoherent musings "" that failed to supply a standard of logic that would allow the reader to understand the relationship between the poet and the bird.",0,suggest,suggested,that,"In "" Two odes of Keats 's "" ( 1897 ) , William C Wilkinson","In "" Two odes of Keats 's "" ( 1897 ) , William C Wilkinson suggested","In "" Two odes of Keats 's "" ( 1897 ) , William C Wilkinson suggested "" Ode to a Nightingale",36.76100486,10.11880112
"However , Herbert Grierson , arguing in 1928 , believed Nightingale to be superior to "" Ode on a Grecian Urn "" , "" Ode on Melancholy "" , and "" Ode to Psyche "" , arguing the exact opposite of Wilkinson as he stated that "" Nightingale "" , along with "" To Autumn "" , showed a greater amount of logical thought and more aptly presented the cases they were intended to make.","However , Herbert Grierson , arguing in 1928 , believed Nightingale to be superior to "" Ode on a Grecian Urn "" , "" Ode on Melancholy "" , and "" Ode to Psyche "" , arguing the exact opposite of Wilkinson as he stated "" Nightingale "" , along with "" To Autumn "" , showed a greater amount of logical thought and more aptly presented the cases they were intended to make.",0,state,stated,that,"However , Herbert Grierson , arguing in 1928 , believed Nightingale to be superior to "" Ode on a Grecian Urn "" , "" Ode on Melancholy "" , and "" Ode to Psyche "" , arguing the exact opposite of Wilkinson as he","However , Herbert Grierson , arguing in 1928 , believed Nightingale to be superior to "" Ode on a Grecian Urn "" , "" Ode on Melancholy "" , and "" Ode to Psyche "" , arguing the exact opposite of Wilkinson as he stated","However , Herbert Grierson , arguing in 1928 , believed Nightingale to be superior to "" Ode on a Grecian Urn "" , "" Ode on Melancholy "" , and "" Ode to Psyche "" , arguing the exact opposite of Wilkinson as he stated "" Nightingale "" , along",28.85741236,5.817742348
"At the beginning of the 20th century , Rudyard Kipling referred to lines 69 and 70 , alongside three lines from Samuel Taylor Coleridge 's Kubla Khan , when he claimed of poetry : "" In all the millions permitted there are no more than five — five little lines — of which one can say , ' These are the magic.","At the beginning of the 20th century , Rudyard Kipling referred to lines 69 and 70 , alongside three lines from Samuel Taylor Coleridge 's Kubla Khan , when he claimed of poetry : "" In all the millions permitted there are no more than five — five little lines — of which one can say , ' These are the magic.",0,say,say,none,"At the beginning of the 20th century , Rudyard Kipling referred to lines 69 and 70 , alongside three lines from Samuel Taylor Coleridge 's Kubla Khan , when he claimed of poetry : "" In all the millions permitted there are no more than five — five little lines — of which one can","At the beginning of the 20th century , Rudyard Kipling referred to lines 69 and 70 , alongside three lines from Samuel Taylor Coleridge 's Kubla Khan , when he claimed of poetry : "" In all the millions permitted there are no more than five — five little lines — of which one can say","At the beginning of the 20th century , Rudyard Kipling referred to lines 69 and 70 , alongside three lines from Samuel Taylor Coleridge 's Kubla Khan , when he claimed of poetry : "" In all the millions permitted there are no more than five — five little lines — of which one can say , ' These are the",25.49339604,4.484650373
""" Sidney Colvin , in 1920 , argued , "" Throughout this ode Keats ’ s genius is at its height.",""" Sidney Colvin , in 1920 , argued , "" Throughout this ode Keats ’ s genius is at its height.",0,argue,argued,none,""" Sidney Colvin , in 1920 ,",""" Sidney Colvin , in 1920 , argued",""" Sidney Colvin , in 1920 , argued , "" Throughout this ode",48.59285188,7.783009768
"Like Albert Gerard would argue later in 1944 , Garrod believed that the problem within Keats 's poem was his emphasis on the rhythm and the language instead of the main ideas of the poem.","Like Albert Gerard would argue later in 1944 , Garrod believed the problem within Keats 's poem was his emphasis on the rhythm and the language instead of the main ideas of the poem.",0,believe,believed,that,"Like Albert Gerard would argue later in 1944 , Garrod","Like Albert Gerard would argue later in 1944 , Garrod believed","Like Albert Gerard would argue later in 1944 , Garrod believed the problem within Keats 's",51.20654231,8.259605408
"He concluded on the stanza that "" I do not believe that any reader who has watched Keats at work on the more exquisitely finished of the stanzas in The Eve of St. Agnes , and seen this craftsman slowly elaborating and refining , will ever believe that this perfect stanza was achieved with the easy fluency with which , in the draft we have , it was obviously written down.","He concluded on the stanza that "" I do not believe any reader who has watched Keats at work on the more exquisitely finished of the stanzas in The Eve of St. Agnes , and seen this craftsman slowly elaborating and refining , will ever believe that this perfect stanza was achieved with the easy fluency with which , in the draft we have , it was obviously written down.",0,believe,believe,that,"He concluded on the stanza that "" I do not","He concluded on the stanza that "" I do not believe","He concluded on the stanza that "" I do not believe any reader who has watched",34.90060693,3.498999119
"He concluded on the stanza that "" I do not believe that any reader who has watched Keats at work on the more exquisitely finished of the stanzas in The Eve of St. Agnes , and seen this craftsman slowly elaborating and refining , will ever believe that this perfect stanza was achieved with the easy fluency with which , in the draft we have , it was obviously written down.","He concluded on the stanza that "" I do not believe that any reader who has watched Keats at work on the more exquisitely finished of the stanzas in The Eve of St. Agnes , and seen this craftsman slowly elaborating and refining , will ever believe this perfect stanza was achieved with the easy fluency with which , in the draft we have , it was obviously written down.",0,believe,believe,that,"He concluded on the stanza that "" I do not","He concluded on the stanza that "" I do not believe","He concluded on the stanza that "" I do not believe that any reader who has",25.54651529,3.498999119
""" In 1936 , F. R. Leavis wrote , "" One remembers the poem both as recording , and as being for the reader , an indulgence.",""" In 1936 , F. R. Leavis wrote , "" One remembers the poem both as recording , and as being for the reader , an indulgence.",0,write,wrote,none,""" In 1936 , F. R. Leavis",""" In 1936 , F. R. Leavis wrote",""" In 1936 , F. R. Leavis wrote , "" One remembers the",32.23912376,3.612249374
"Wasserman , following in 1953 , claimed that "" Of all Keats ' poems , it is probably the ' Ode to a Nightingale ' that has most tormented the critic [ ... ] in any reading of the ' Ode to a Nightingale ' the turmoil will not down.","Wasserman , following in 1953 , claimed "" Of all Keats ' poems , it is probably the ' Ode to a Nightingale ' that has most tormented the critic [ ... ] in any reading of the ' Ode to a Nightingale ' the turmoil will not down.",0,claim,claimed,that,"Wasserman , following in 1953 ,","Wasserman , following in 1953 , claimed","Wasserman , following in 1953 , claimed "" Of all Keats '",49.63254142,8.738317013
"He then explained , "" It is this turbulence , I suspect , that has led Allen Tate to believe the ode ' at least tries to say everything that poetry an say.","He then explained , "" It is this turbulence , I suspect , that has led Allen Tate to believe the ode ' at least tries to say everything that poetry an say.",0,explain,explained,none,He then,He then explained,"He then explained , "" It is this",34.01029038,7.552073956
"' But I propose it is the ' Ode on a Grecian Urn ' that succeeds in saying what poetry can say , and that the other ode attempts to say all that the poet can.","' But I propose it is the ' Ode on a Grecian Urn ' that succeeds in saying what poetry can say , and that the other ode attempts to say all that the poet can.",0,propose,propose,none,' But I,' But I propose,' But I propose it is the ' Ode,38.16864038,14.61314678
"' But I propose it is the ' Ode on a Grecian Urn ' that succeeds in saying what poetry can say , and that the other ode attempts to say all that the poet can.","' But I propose it is the ' Ode on a Grecian Urn ' that succeeds in saying what poetry can say , and that the other ode attempts to say all that the poet can.",0,say,saying,none,' But I propose it is the ' Ode on a Grecian Urn ' that succeeds in,' But I propose it is the ' Ode on a Grecian Urn ' that succeeds in saying,"' But I propose it is the ' Ode on a Grecian Urn ' that succeeds in saying what poetry can say ,",36.44232845,8.685555458
"David Perkins felt the need to defend the use of the word "" forlorn "" and claimed that it described the feeling from the impossibility of not being able to live in the world of the imagination.","David Perkins felt the need to defend the use of the word "" forlorn "" and claimed it described the feeling from the impossibility of not being able to live in the world of the imagination.",0,claim,claimed,that,"David Perkins felt the need to defend the use of the word "" forlorn "" and","David Perkins felt the need to defend the use of the word "" forlorn "" and claimed","David Perkins felt the need to defend the use of the word "" forlorn "" and claimed it described the feeling from",36.13639045,9.640974045
"When praising the poem in 1959 , Perkins claimed , "" Although the "" Ode to a Nightingale "" ranges more widely than the "" Ode on a Grecian Urn , "" the poem can also be regarded as the exploration or testing out of a symbol , and , compared with the urn as a symbol , the nightingale would seem to have both limitations and advantages.","When praising the poem in 1959 , Perkins claimed , "" Although the "" Ode to a Nightingale "" ranges more widely than the "" Ode on a Grecian Urn , "" the poem can also be regarded as the exploration or testing out of a symbol , and , compared with the urn as a symbol , the nightingale would seem to have both limitations and advantages.",0,claim,claimed,none,"When praising the poem in 1959 , Perkins","When praising the poem in 1959 , Perkins claimed","When praising the poem in 1959 , Perkins claimed , "" Although the """,35.18484145,8.396660805
""" Walter Jackson Bate also made a similar defense of the word "" forlorn "" by claiming that the world described by describing the impossibility of reaching that land.",""" Walter Jackson Bate also made a similar defense of the word "" forlorn "" by claiming the world described by describing the impossibility of reaching that land.",0,claim,claiming,that,""" Walter Jackson Bate also made a similar defense of the word "" forlorn "" by",""" Walter Jackson Bate also made a similar defense of the word "" forlorn "" by claiming",""" Walter Jackson Bate also made a similar defense of the word "" forlorn "" by claiming the world described by describing",52.11940527,5.391162395
"When describing the poem compared to the rest of English poetry , Bate argued in 1963 , "" Ode to a Nightingale "" is among "" the greatest lyrics in English "" and the only one written with such speed : "" We are free to doubt whether any poem in English of comparable length and quality has been composed so quickly.","When describing the poem compared to the rest of English poetry , Bate argued in 1963 , "" Ode to a Nightingale "" is among "" the greatest lyrics in English "" and the only one written with such speed : "" We are free to doubt whether any poem in English of comparable length and quality has been composed so quickly.",0,argue,argued,none,"When describing the poem compared to the rest of English poetry , Bate","When describing the poem compared to the rest of English poetry , Bate argued","When describing the poem compared to the rest of English poetry , Bate argued in 1963 , "" Ode",47.18800068,8.328446031
"When describing the poem compared to the rest of English poetry , Bate argued in 1963 , "" Ode to a Nightingale "" is among "" the greatest lyrics in English "" and the only one written with such speed : "" We are free to doubt whether any poem in English of comparable length and quality has been composed so quickly.","When describing the poem compared to the rest of English poetry , Bate argued in 1963 , "" Ode to a Nightingale "" is among "" the greatest lyrics in English "" and the only one written with such speed : "" We are free to doubt whether any poem in English of comparable length and quality has been composed so quickly.",0,doubt,doubt,other,"When describing the poem compared to the rest of English poetry , Bate argued in 1963 , "" Ode to a Nightingale "" is among "" the greatest lyrics in English "" and the only one written with such speed : "" We are free to","When describing the poem compared to the rest of English poetry , Bate argued in 1963 , "" Ode to a Nightingale "" is among "" the greatest lyrics in English "" and the only one written with such speed : "" We are free to doubt","When describing the poem compared to the rest of English poetry , Bate argued in 1963 , "" Ode to a Nightingale "" is among "" the greatest lyrics in English "" and the only one written with such speed : "" We are free to doubt whether any poem in English",24.76900893,11.21563196
""" In 1968 , Robert Gittins stated , "" It may not be wrong to regard [ Ode on Indolence and Ode on Melancholy ] as Keats 's earlier essays in this [ ode ] form , and the great Nightingale and Grecian Urn as his more finished and later works.",""" In 1968 , Robert Gittins stated , "" It may not be wrong to regard [ Ode on Indolence and Ode on Melancholy ] as Keats 's earlier essays in this [ ode ] form , and the great Nightingale and Grecian Urn as his more finished and later works.",0,state,stated,none,""" In 1968 , Robert Gittins",""" In 1968 , Robert Gittins stated",""" In 1968 , Robert Gittins stated , "" It may not",23.21589959,9.415443659
"From the late 1960s onward , many of the Yale School of critics describe the poem as a reworking of John Milton 's poetic diction , but they argued that poem revealed that Keats lacked the ability of Milton as a poet.","From the late 1960s onward , many of the Yale School of critics describe the poem as a reworking of John Milton 's poetic diction , but they argued poem revealed that Keats lacked the ability of Milton as a poet.",0,argue,argued,that,"From the late 1960s onward , many of the Yale School of critics describe the poem as a reworking of John Milton 's poetic diction , but they","From the late 1960s onward , many of the Yale School of critics describe the poem as a reworking of John Milton 's poetic diction , but they argued","From the late 1960s onward , many of the Yale School of critics describe the poem as a reworking of John Milton 's poetic diction , but they argued poem revealed that Keats lacked",69.58645511,11.06541538
"From the late 1960s onward , many of the Yale School of critics describe the poem as a reworking of John Milton 's poetic diction , but they argued that poem revealed that Keats lacked the ability of Milton as a poet.","From the late 1960s onward , many of the Yale School of critics describe the poem as a reworking of John Milton 's poetic diction , but they argued that poem revealed Keats lacked the ability of Milton as a poet.",0,reveal,revealed,that,"From the late 1960s onward , many of the Yale School of critics describe the poem as a reworking of John Milton 's poetic diction , but they argued that poem","From the late 1960s onward , many of the Yale School of critics describe the poem as a reworking of John Milton 's poetic diction , but they argued that poem revealed","From the late 1960s onward , many of the Yale School of critics describe the poem as a reworking of John Milton 's poetic diction , but they argued that poem revealed Keats lacked the ability of",41.00012577,14.7749266
"Responding to the claims about Milton and Keats 's shortcomings , critics like R. S. White ( 1981 ) and Willard Spiegelman ( 1983 ) used the Shakespearean echoes to argue for a multiplicity of sources for the poem to claim that Keats was not trying to respond just Milton or escape from his shadow.","Responding to the claims about Milton and Keats 's shortcomings , critics like R. S. White ( 1981 ) and Willard Spiegelman ( 1983 ) used the Shakespearean echoes to argue for a multiplicity of sources for the poem to claim Keats was not trying to respond just Milton or escape from his shadow.",0,claim,claim,that,"Responding to the claims about Milton and Keats 's shortcomings , critics like R. S. White ( 1981 ) and Willard Spiegelman ( 1983 ) used the Shakespearean echoes to argue for a multiplicity of sources for the poem to","Responding to the claims about Milton and Keats 's shortcomings , critics like R. S. White ( 1981 ) and Willard Spiegelman ( 1983 ) used the Shakespearean echoes to argue for a multiplicity of sources for the poem to claim","Responding to the claims about Milton and Keats 's shortcomings , critics like R. S. White ( 1981 ) and Willard Spiegelman ( 1983 ) used the Shakespearean echoes to argue for a multiplicity of sources for the poem to claim Keats was not trying to",29.31889687,7.808783054
"Instead , "" Ode to a Nightingale "" was an original poem , as White claimed , "" The poem is richly saturated in Shakespeare , yet the assimilations are so profound that the Ode is finally original , and wholly Keatsian "".","Instead , "" Ode to a Nightingale "" was an original poem , as White claimed , "" The poem is richly saturated in Shakespeare , yet the assimilations are so profound that the Ode is finally original , and wholly Keatsian "".",0,claim,claimed,none,"Instead , "" Ode to a Nightingale "" was an original poem , as White","Instead , "" Ode to a Nightingale "" was an original poem , as White claimed","Instead , "" Ode to a Nightingale "" was an original poem , as White claimed , "" The poem is",22.47530794,12.69247913
"Similarly , Spiegelman claimed that Shakespeare 's A Midsummer Night 's Dream had "" flavored and ripened the later poem "".","Similarly , Spiegelman claimed Shakespeare 's A Midsummer Night 's Dream had "" flavored and ripened the later poem "".",0,claim,claimed,that,"Similarly , Spiegelman","Similarly , Spiegelman claimed","Similarly , Spiegelman claimed Shakespeare 's A Midsummer Night",43.31146813,9.757598877
"This was followed in 1986 by Jonathan Bate claiming that Keats was "" left enriched by the voice of Shakespeare , the ' immortal bird ' "".","This was followed in 1986 by Jonathan Bate claiming Keats was "" left enriched by the voice of Shakespeare , the ' immortal bird ' "".",0,claim,claiming,that,This was followed in 1986 by Jonathan Bate,This was followed in 1986 by Jonathan Bate claiming,"This was followed in 1986 by Jonathan Bate claiming Keats was "" left enriched",62.99027252,15.30470657
"Focusing on the quality of the poem , Stuart Sperry , argued in 1973 , "" ' Ode to a Nightingale ' is the supreme expression in all Keats 's poetry of the impulse to imaginative escape that flies in the face of the knowledge of human limitation , the impulse fully expressed in ' Away ! away ! for I will fly to thee.","Focusing on the quality of the poem , Stuart Sperry , argued in 1973 , "" ' Ode to a Nightingale ' is the supreme expression in all Keats 's poetry of the impulse to imaginative escape that flies in the face of the knowledge of human limitation , the impulse fully expressed in ' Away ! away ! for I will fly to thee.",0,argue,argued,none,"Focusing on the quality of the poem , Stuart Sperry ,","Focusing on the quality of the poem , Stuart Sperry , argued","Focusing on the quality of the poem , Stuart Sperry , argued in 1973 , "" '",28.95885611,11.86422622
"' "" Wolf Hirst , in 1981 , described the poem as "" justly celebrated "" and claimed that "" Since this movement into an eternal realm of song is one of the most magnificent in literature , the poet 's return to actuality is all the more shattering.","' "" Wolf Hirst , in 1981 , described the poem as "" justly celebrated "" and claimed "" Since this movement into an eternal realm of song is one of the most magnificent in literature , the poet 's return to actuality is all the more shattering.",0,claim,claimed,that,"' "" Wolf Hirst , in 1981 , described the poem as "" justly celebrated "" and","' "" Wolf Hirst , in 1981 , described the poem as "" justly celebrated "" and claimed","' "" Wolf Hirst , in 1981 , described the poem as "" justly celebrated "" and claimed "" Since this movement into",46.05149055,6.882162094
""" Helen Vendler continued the earlier view that the poem was artificial but added that the poem was an attempt to be aesthetic and spontaneous that was later dropped.",""" Helen Vendler continued the earlier view that the poem was artificial but added the poem was an attempt to be aesthetic and spontaneous that was later dropped.",0,add,added,that,""" Helen Vendler continued the earlier view that the poem was artificial but",""" Helen Vendler continued the earlier view that the poem was artificial but added",""" Helen Vendler continued the earlier view that the poem was artificial but added the poem was an attempt",28.26417947,7.604311764
"In 1983 , she argued , "" In its absence of conclusiveness and its abandonment to reverie , the poem appeals to readers who prize it as the most personal , the most apparently spontaneous , the most immediately beautiful , and the most confessional of Keats 's odes.","In 1983 , she argued , "" In its absence of conclusiveness and its abandonment to reverie , the poem appeals to readers who prize it as the most personal , the most apparently spontaneous , the most immediately beautiful , and the most confessional of Keats 's odes.",0,argue,argued,none,"In 1983 , she","In 1983 , she argued","In 1983 , she argued , "" In its absence",32.53493261,10.4353199
"I believe that the ' events ' of the ode , as it unfolds in time , have more logic , however , than is usually granted them , and that they are best seen in relation to Keats 's pursuit of the idea of music as a nonrepresentational art.","I believe the ' events ' of the ode , as it unfolds in time , have more logic , however , than is usually granted them , and that they are best seen in relation to Keats 's pursuit of the idea of music as a nonrepresentational art.",0,believe,believe,that,I,I believe,I believe the ' events ' of,40.29265511,7.265545845
"When referring to the reliance of the ideas of John Dryden and William Hazlitt within the poem , Poet Laureate Andrew Motion , in 1999 , argued "" whose notion of poetry as a ' movement ' from personal consciousness to an awareness of suffering humanity it perfectly illustrates.","When referring to the reliance of the ideas of John Dryden and William Hazlitt within the poem , Poet Laureate Andrew Motion , in 1999 , argued "" whose notion of poetry as a ' movement ' from personal consciousness to an awareness of suffering humanity it perfectly illustrates.",0,argue,argued,none,"When referring to the reliance of the ideas of John Dryden and William Hazlitt within the poem , Poet Laureate Andrew Motion , in 1999 ,","When referring to the reliance of the ideas of John Dryden and William Hazlitt within the poem , Poet Laureate Andrew Motion , in 1999 , argued","When referring to the reliance of the ideas of John Dryden and William Hazlitt within the poem , Poet Laureate Andrew Motion , in 1999 , argued "" whose notion of poetry",39.72164726,13.79253531
"According to Ildikó de Papp Carrington , Keats ' wording , "" when , sick for home , / She stood in tears amid the alien corn "" , seems to be echoed in by Alice Munro 's Save the Reaper ( 1998 ) , the end of which reads : "" Eve would lie down [ ... ] with nothing in her head but the rustle of the deep tall corn which might have stopped growing now but still made its live noise after dark "" ( book version ).","According to Ildikó de Papp Carrington , Keats ' wording , "" when , sick for home , / She stood in tears amid the alien corn "" , seems to be echoed in by Alice Munro 's Save the Reaper ( 1998 ) , the end of which reads : "" Eve would lie down [ ... ] with nothing in her head but the rustle of the deep tall corn which might have stopped growing now but still made its live noise after dark "" ( book version ).",0,read,reads,none,"According to Ildikó de Papp Carrington , Keats ' wording , "" when , sick for home , / She stood in tears amid the alien corn "" , seems to be echoed in by Alice Munro 's Save the Reaper ( 1998 ) , the end of which","According to Ildikó de Papp Carrington , Keats ' wording , "" when , sick for home , / She stood in tears amid the alien corn "" , seems to be echoed in by Alice Munro 's Save the Reaper ( 1998 ) , the end of which reads","According to Ildikó de Papp Carrington , Keats ' wording , "" when , sick for home , / She stood in tears amid the alien corn "" , seems to be echoed in by Alice Munro 's Save the Reaper ( 1998 ) , the end of which reads : "" Eve would lie",36.05915534,4.632764816
"The first known proposal for surface weather observations at sea occurred in connection with aviation in August 1927 , when Grover Loening stated that "" weather stations along the ocean coupled with the development of the seaplane to have an equally long range , would result in regular ocean flights within ten years.","The first known proposal for surface weather observations at sea occurred in connection with aviation in August 1927 , when Grover Loening stated "" weather stations along the ocean coupled with the development of the seaplane to have an equally long range , would result in regular ocean flights within ten years.",0,state,stated,that,"The first known proposal for surface weather observations at sea occurred in connection with aviation in August 1927 , when Grover Loening","The first known proposal for surface weather observations at sea occurred in connection with aviation in August 1927 , when Grover Loening stated","The first known proposal for surface weather observations at sea occurred in connection with aviation in August 1927 , when Grover Loening stated "" weather stations along the",33.10149345,10.35536385
"The damage control teams believed that if the main battery were to fire , the shoring supporting the damaged bulkheads would give way , greatly increasing the risk to the ship.","The damage control teams believed if the main battery were to fire , the shoring supporting the damaged bulkheads would give way , greatly increasing the risk to the ship.",0,believe,believed,that,The damage control teams,The damage control teams believed,The damage control teams believed if the main battery were,39.61130118,12.9363699
"Reuter believed that the British intended to seize the German ships on 21 June 1919 , which was the deadline for Germany to have signed the peace treaty.","Reuter believed the British intended to seize the German ships on 21 June 1919 , which was the deadline for Germany to have signed the peace treaty.",0,believe,believed,that,Reuter,Reuter believed,Reuter believed the British intended to seize,34.47305238,11.733531
"The Royal Navy determined that the HE bombs were useless , but that thick deck armour would be required to defeat AP bombs.","The Royal Navy determined the HE bombs were useless , but that thick deck armour would be required to defeat AP bombs.",0,determine,determined,that,The Royal Navy,The Royal Navy determined,The Royal Navy determined the HE bombs were useless,39.53006017,13.52290726
