sentence,pseudo_that,matrix_verb_to_cc,verb,verb_in_text,comp_type,context,context_verb,context_verb_n,embedded_n_sum,verb_sum
""" Robert Copsey from Digital Spy noted that the release of The Remix was a more natural progression than music labels trying to "" cash @-@ in "" by releasing something not associated with the artist.",""" Robert Copsey from Digital Spy noted the release of The Remix was a more natural progression than music labels trying to "" cash @-@ in "" by releasing something not associated with the artist.",0,note,noted,that,""" Robert Copsey from Digital Spy",""" Robert Copsey from Digital Spy noted",""" Robert Copsey from Digital Spy noted the release of The Remix",37.28352201,10.74499702
"Stephen Thomas Erlewine from Allmusic gave the album three out of five stars , but felt that the track list could have been shortened.","Stephen Thomas Erlewine from Allmusic gave the album three out of five stars , but felt the track list could have been shortened.",0,feel,felt,that,"Stephen Thomas Erlewine from Allmusic gave the album three out of five stars , but","Stephen Thomas Erlewine from Allmusic gave the album three out of five stars , but felt","Stephen Thomas Erlewine from Allmusic gave the album three out of five stars , but felt the track list could have",27.46636057,9.705498695
"Erlewine complimented some of the remixes , including those by Pet Shop Boys and Space Cowboy , adding that The Remix "" is not an essential addition to Gaga ’ s canon goes without saying ... but there ’ s glitz and glamour to enjoy here.","Erlewine complimented some of the remixes , including those by Pet Shop Boys and Space Cowboy , adding The Remix "" is not an essential addition to Gaga ’ s canon goes without saying ... but there ’ s glitz and glamour to enjoy here.",0,add,adding,that,"Erlewine complimented some of the remixes , including those by Pet Shop Boys and Space Cowboy ,","Erlewine complimented some of the remixes , including those by Pet Shop Boys and Space Cowboy , adding","Erlewine complimented some of the remixes , including those by Pet Shop Boys and Space Cowboy , adding The Remix "" is not",42.91274478,7.49203968
""" Mark Beech , reviewing the album for Bloomberg Television , noticed that the already familiar tracks from Gaga "" are given a new sheen by the Pet Shop Boys and sometime Madonna producer Stuart Price.",""" Mark Beech , reviewing the album for Bloomberg Television , noticed the already familiar tracks from Gaga "" are given a new sheen by the Pet Shop Boys and sometime Madonna producer Stuart Price.",0,notice,noticed,that,""" Mark Beech , reviewing the album for Bloomberg Television ,",""" Mark Beech , reviewing the album for Bloomberg Television , noticed",""" Mark Beech , reviewing the album for Bloomberg Television , noticed the already familiar tracks from",36.46670032,13.66682148
""" Nicki Escudero from Phoenix New Times gave a positive review saying that the songs featured in The Remix can be a great addition during workouts , as well as staple dance floor music.",""" Nicki Escudero from Phoenix New Times gave a positive review saying the songs featured in The Remix can be a great addition during workouts , as well as staple dance floor music.",0,say,saying,that,""" Nicki Escudero from Phoenix New Times gave a positive review",""" Nicki Escudero from Phoenix New Times gave a positive review saying",""" Nicki Escudero from Phoenix New Times gave a positive review saying the songs featured in The",35.10617924,11.03070962
"Monica Herrera from Billboard complimented the album saying "" Gaga has employed a collection of more @-@ than @-@ capable producers to make her dance @-@ ready smashes from The Fame and The Fame Monster even more danceworthy.","Monica Herrera from Billboard complimented the album saying "" Gaga has employed a collection of more @-@ than @-@ capable producers to make her dance @-@ ready smashes from The Fame and The Fame Monster even more danceworthy.",0,say,saying,none,Monica Herrera from Billboard complimented the album,Monica Herrera from Billboard complimented the album saying,"Monica Herrera from Billboard complimented the album saying "" Gaga has employed a",46.32968736,10.40091658
"She felt that the Passion Pit remix of "" Telephone "" was the best remix on the album.","She felt the Passion Pit remix of "" Telephone "" was the best remix on the album.",0,feel,felt,that,She,She felt,She felt the Passion Pit remix of,52.88664174,9.27609539
"Billboard chart manager Keith Caulfield noted that Gaga became the first act to occupy the chart 's top three positions , in its nine @-@ year history.","Billboard chart manager Keith Caulfield noted Gaga became the first act to occupy the chart 's top three positions , in its nine @-@ year history.",0,note,noted,that,Billboard chart manager Keith Caulfield,Billboard chart manager Keith Caulfield noted,Billboard chart manager Keith Caulfield noted Gaga became the first act,37.85852991,7.641691282
"Although the book itself was lost to history , the scientist and statesman Shen Kuo wrote of Yu 's work extensively in his Dream Pool Essays of 1088 , praising it as a work of architectural genius , saying that no one in his own time could reproduce such a work.","Although the book itself was lost to history , the scientist and statesman Shen Kuo wrote of Yu 's work extensively in his Dream Pool Essays of 1088 , praising it as a work of architectural genius , saying no one in his own time could reproduce such a work.",0,say,saying,that,"Although the book itself was lost to history , the scientist and statesman Shen Kuo wrote of Yu 's work extensively in his Dream Pool Essays of 1088 , praising it as a work of architectural genius ,","Although the book itself was lost to history , the scientist and statesman Shen Kuo wrote of Yu 's work extensively in his Dream Pool Essays of 1088 , praising it as a work of architectural genius , saying","Although the book itself was lost to history , the scientist and statesman Shen Kuo wrote of Yu 's work extensively in his Dream Pool Essays of 1088 , praising it as a work of architectural genius , saying no one in his own",27.49412847,8.122987747
"Deakin later said , "" ' One small step ' leaves me cold , because it was so obviously scripted.","Deakin later said , "" ' One small step ' leaves me cold , because it was so obviously scripted.",0,say,said,none,Deakin later,Deakin later said,"Deakin later said , "" ' One small",45.78875864,3.893073559
"Franglen later said that he and Deakin were drawn to Langstaff 's recording because it "" had a gentle madness to it , slightly unhinged "".","Franglen later said he and Deakin were drawn to Langstaff 's recording because it "" had a gentle madness to it , slightly unhinged "".",0,say,said,that,Franglen later,Franglen later said,Franglen later said he and Deakin were drawn,40.10205519,3.224266768
"Franglen , while noting that Reitel 's performance was good , said that once the sample was re @-@ recorded , its "" edge disappeared "".","Franglen , while noting Reitel 's performance was good , said that once the sample was re @-@ recorded , its "" edge disappeared "".",0,note,noting,that,"Franglen , while","Franglen , while noting","Franglen , while noting Reitel 's performance was good",51.69344467,7.020363808
"Franglen , while noting that Reitel 's performance was good , said that once the sample was re @-@ recorded , its "" edge disappeared "".","Franglen , while noting that Reitel 's performance was good , said once the sample was re @-@ recorded , its "" edge disappeared "".",0,say,said,that,"Franglen , while noting that Reitel 's performance was good ,","Franglen , while noting that Reitel 's performance was good , said","Franglen , while noting that Reitel 's performance was good , said once the sample was re",39.47401237,2.617611885
"Pascal Wyse of The Guardian wrote , "" Everything is approachable and purely crafted , but Lost Horizons cheats banality with some choice quirks : Magnificent Seven strings , astronauts chatting , panoramic sound effects.","Pascal Wyse of The Guardian wrote , "" Everything is approachable and purely crafted , but Lost Horizons cheats banality with some choice quirks : Magnificent Seven strings , astronauts chatting , panoramic sound effects.",0,write,wrote,none,Pascal Wyse of The Guardian,Pascal Wyse of The Guardian wrote,"Pascal Wyse of The Guardian wrote , "" Everything is approachable",52.63734575,4.330425978
""" Chris Dahlen of Pitchfork Media felt that the album was a little too saccharine at times , but that it is "" the perfect disc to throw on after your four @-@ disc Ultrachill Dub Groove Mix has put the whole party to sleep.",""" Chris Dahlen of Pitchfork Media felt the album was a little too saccharine at times , but that it is "" the perfect disc to throw on after your four @-@ disc Ultrachill Dub Groove Mix has put the whole party to sleep.",0,feel,felt,that,""" Chris Dahlen of Pitchfork Media",""" Chris Dahlen of Pitchfork Media felt",""" Chris Dahlen of Pitchfork Media felt the album was a little",24.05026662,12.63966111
""" Wysel wrote , "" When the flugelhorn arrives on ' Nice Weather for Ducks ' it is impossible to believe there is any evil in the world.",""" Wysel wrote , "" When the flugelhorn arrives on ' Nice Weather for Ducks ' it is impossible to believe there is any evil in the world.",0,write,wrote,none,""" Wysel",""" Wysel wrote",""" Wysel wrote , "" When the flugelhorn",47.78350729,12.97407722
""" Wysel wrote , "" When the flugelhorn arrives on ' Nice Weather for Ducks ' it is impossible to believe there is any evil in the world.",""" Wysel wrote , "" When the flugelhorn arrives on ' Nice Weather for Ducks ' it is impossible to believe there is any evil in the world.",0,believe,believe,none,""" Wysel wrote , "" When the flugelhorn arrives on ' Nice Weather for Ducks ' it is impossible to",""" Wysel wrote , "" When the flugelhorn arrives on ' Nice Weather for Ducks ' it is impossible to believe",""" Wysel wrote , "" When the flugelhorn arrives on ' Nice Weather for Ducks ' it is impossible to believe there is any evil in",26.56953657,5.717871189
""" Conversely , several critics felt that "" Experiment Number Six "" did not fit with the mood of the rest of the album.",""" Conversely , several critics felt "" Experiment Number Six "" did not fit with the mood of the rest of the album.",0,feel,felt,that,""" Conversely , several critics",""" Conversely , several critics felt",""" Conversely , several critics felt "" Experiment Number Six """,53.69892907,11.06478405
""" Dahlen felt that the song is "" is the only break in the [ album 's ] mood.",""" Dahlen felt that the song is "" is the only break in the [ album 's ] mood.",0,feel,felt,none,""" Dahlen",""" Dahlen felt",""" Dahlen felt that the song is """,31.1211164,11.65357304
""" Dahlen felt that the song is "" is the only break in the [ album 's ] mood.",""" Dahlen felt the song is "" is the only break in the [ album 's ] mood.",0,feel,felt,that,""" Dahlen",""" Dahlen felt",""" Dahlen felt the song is "" is",41.37645102,11.65357304
""" While he enjoyed the song 's concept , calling it "" so different and sinister that it 's more intriguing than the rest of the album "" , he felt that it was "" annoyingly displaced.",""" While he enjoyed the song 's concept , calling it "" so different and sinister that it 's more intriguing than the rest of the album "" , he felt it was "" annoyingly displaced.",0,feel,felt,that,""" While he enjoyed the song 's concept , calling it "" so different and sinister that it 's more intriguing than the rest of the album "" , he",""" While he enjoyed the song 's concept , calling it "" so different and sinister that it 's more intriguing than the rest of the album "" , he felt",""" While he enjoyed the song 's concept , calling it "" so different and sinister that it 's more intriguing than the rest of the album "" , he felt it was "" annoyingly displaced.",46.83648957,5.098062754
"It remains to be seen whether another Fastra featuring NVLink , first available with Pascal @-@ based GPUs , will be build.","It remains to be seen whether another Fastra featuring NVLink , first available with Pascal @-@ based GPUs , will be build.",0,see,seen,other,It remains to be,It remains to be seen,It remains to be seen whether another Fastra featuring NVLink,86.45541965,0.005230261
"Robert Canning of IGN wrote that this episode "" turned out to be an absolute winner "".","Robert Canning of IGN wrote this episode "" turned out to be an absolute winner "".",0,write,wrote,that,Robert Canning of IGN,Robert Canning of IGN wrote,"Robert Canning of IGN wrote this episode "" turned out",44.88023818,7.114377499
""" Erin Fox of TV Guide said that "" the minor story of the episode was probably the funniest "".",""" Erin Fox of TV Guide said "" the minor story of the episode was probably the funniest "".",0,say,said,that,""" Erin Fox of TV Guide",""" Erin Fox of TV Guide said",""" Erin Fox of TV Guide said "" the minor story of",37.58594918,6.206754208
"Jeff Labrecque of Entertainment Weekly thought that this episode "" was nothing more than ... eh "".","Jeff Labrecque of Entertainment Weekly thought this episode "" was nothing more than ... eh "".",0,think,thought,that,Jeff Labrecque of Entertainment Weekly,Jeff Labrecque of Entertainment Weekly thought,"Jeff Labrecque of Entertainment Weekly thought this episode "" was nothing",41.2175585,9.619841605
"Although BP states it is too early to be sure of the size – a "" huge "" field is usually considered to contain 250 million barrels ( 40 × 10 ^ 6 m3 ).","Although BP states it is too early to be sure of the size – a "" huge "" field is usually considered to contain 250 million barrels ( 40 × 10 ^ 6 m3 ).",0,state,states,none,Although BP,Although BP states,Although BP states it is too early to,16.63004453,12.92384243
"Sources such as Bloomberg suggest caution , warning that the find is technically complex and potentially could take 5 – 6 years to produce oil or be lower yield ( 5 – 15 % ) based on "" rates talked about "" at nearby Kaskida Oil Field , BP 's previous giant find ( 2006 ) 40 mi ( 64 km ) away.","Sources such as Bloomberg suggest caution , warning that the find is technically complex and potentially could take 5 – 6 years to produce oil or be lower yield ( 5 – 15 % ) based on "" rates talked about "" at nearby Kaskida Oil Field , BP 's previous giant find ( 2006 ) 40 mi ( 64 km ) away.",0,suggest,suggest,none,Sources such as Bloomberg,Sources such as Bloomberg suggest,"Sources such as Bloomberg suggest caution , warning that the",43.2832495,8.325662613
"The shortage of seamen was such that press gangs were forced to take thousands of men with no experience on the sea , meaning that training and preparing them for naval life would take quite some time.","The shortage of seamen was such that press gangs were forced to take thousands of men with no experience on the sea , meaning training and preparing them for naval life would take quite some time.",0,mean,meaning,that,"The shortage of seamen was such that press gangs were forced to take thousands of men with no experience on the sea ,","The shortage of seamen was such that press gangs were forced to take thousands of men with no experience on the sea , meaning","The shortage of seamen was such that press gangs were forced to take thousands of men with no experience on the sea , meaning training and preparing them for",29.00671959,9.483775139
"By this stage Villaret knew through his patrolling frigates that the grain convoy was close , and deliberately took his fleet to the west , hoping to decoy Howe away from the vital convoy.","By this stage Villaret knew through his patrolling frigates the grain convoy was close , and deliberately took his fleet to the west , hoping to decoy Howe away from the vital convoy.",4,know,knew,that,By this stage Villaret,By this stage Villaret knew,By this stage Villaret knew through his patrolling frigates the grain convoy was close,100.3006848,11.40173149
"Harvey 's master asked if Vengeur should be cut loose , to which Harvey replied "" No ; we have got her and we will keep her "".","Harvey 's master asked if Vengeur should be cut loose , to which Harvey replied "" No ; we have got her and we will keep her "".",0,reply,replied,none,"Harvey 's master asked if Vengeur should be cut loose , to which Harvey","Harvey 's master asked if Vengeur should be cut loose , to which Harvey replied","Harvey 's master asked if Vengeur should be cut loose , to which Harvey replied "" No ; we have",25.23218274,0.684902668
"Most sources accept that French casualties in the campaign numbered approximately 7 @,@ 000 , including around 3 @,@ 000 captured , but these figures are vague and frequently do not agree with each other on details.","Most sources accept French casualties in the campaign numbered approximately 7 @,@ 000 , including around 3 @,@ 000 captured , but these figures are vague and frequently do not agree with each other on details.",0,accept,accept,that,Most sources,Most sources accept,Most sources accept French casualties in the campaign,43.83908725,9.800991058
"The Admiralty , though unaware of Howe 's specific circumstances , knew a battle had taken place through the arrival of HMS Audacious in Portsmouth , and was preparing a second expedition under George Montagu.","The Admiralty , though unaware of Howe 's specific circumstances , knew a battle had taken place through the arrival of HMS Audacious in Portsmouth , and was preparing a second expedition under George Montagu.",0,know,knew,none,"The Admiralty , though unaware of Howe 's specific circumstances ,","The Admiralty , though unaware of Howe 's specific circumstances , knew","The Admiralty , though unaware of Howe 's specific circumstances , knew a battle had taken place",23.59350612,7.600103855
"Kerguelen was disgusted by Villaret 's failure to renew the battle after he had reformed his squadron , and felt that the French fleet could have been successful tactically as well as strategically if only Villaret had made greater efforts to engage the remains of Howe 's fleet.","Kerguelen was disgusted by Villaret 's failure to renew the battle after he had reformed his squadron , and felt the French fleet could have been successful tactically as well as strategically if only Villaret had made greater efforts to engage the remains of Howe 's fleet.",0,feel,felt,that,"Kerguelen was disgusted by Villaret 's failure to renew the battle after he had reformed his squadron , and","Kerguelen was disgusted by Villaret 's failure to renew the battle after he had reformed his squadron , and felt","Kerguelen was disgusted by Villaret 's failure to renew the battle after he had reformed his squadron , and felt the French fleet could have",30.67563391,7.080970764
Howe had appended a list to his report containing the names of officers whom he believed merited special reward for their part in the battle.,Howe had appended a list to his report containing the names of officers whom he believed merited special reward for their part in the battle.,-3,believe,believed,other,Howe had appended a list to his report containing the names of officers whom he,Howe had appended a list to his report containing the names of officers whom he believed,Howe had appended a list to his report containing the names of officers whom he believed merited special,20.25005587,3.361511707
The tests demonstrated the inferiority of the current 12 @.@ 7 mm ( 0 @.@ 50 in ) armament and meant that every Soviet bomber henceforth would have a defensive armament using power @-@ operated turrets that carried guns 20 mm or larger.,The tests demonstrated the inferiority of the current 12 @.@ 7 mm ( 0 @.@ 50 in ) armament and meant every Soviet bomber henceforth would have a defensive armament using power @-@ operated turrets that carried guns 20 mm or larger.,0,mean,meant,that,The tests demonstrated the inferiority of the current 12 @.@ 7 mm ( 0 @.@ 50 in ) armament and,The tests demonstrated the inferiority of the current 12 @.@ 7 mm ( 0 @.@ 50 in ) armament and meant,The tests demonstrated the inferiority of the current 12 @.@ 7 mm ( 0 @.@ 50 in ) armament and meant every Soviet bomber henceforth would,47.1416088,12.24183071
"Unlike harsher methods , the military found that this gentler approach resulted in about one in eight eventually transferring to military service.","Unlike harsher methods , the military found this gentler approach resulted in about one in eight eventually transferring to military service.",0,find,found,that,"Unlike harsher methods , the military","Unlike harsher methods , the military found","Unlike harsher methods , the military found this gentler approach resulted in",36.50229076,9.969571114
"Church representatives meeting with government officials learned that little thought had been put into the program , and the churches were advised to create a plan.","Church representatives meeting with government officials learned little thought had been put into the program , and the churches were advised to create a plan.",0,learn,learned,that,Church representatives meeting with government officials,Church representatives meeting with government officials learned,Church representatives meeting with government officials learned little thought had been put,39.92272153,15.79608983
Objections to this practice developed immediately because the men felt they were helping to fund the war.,Objections to this practice developed immediately because the men felt they were helping to fund the war.,0,feel,felt,none,Objections to this practice developed immediately because the men,Objections to this practice developed immediately because the men felt,Objections to this practice developed immediately because the men felt they were helping to fund,27.83439982,7.509597778
"I tell you , it is all very much like a medieval fairytale of the nether regions.","I tell you , it is all very much like a medieval fairytale of the nether regions.",0,tell,tell,none,I,I tell,"I tell you , it is all",25.37187666,12.12714577
"We ’ d heard about how these patients had been treated by the attendants , Beat with rods , you know , do all kind of things.","We ’ d heard about how these patients had been treated by the attendants , Beat with rods , you know , do all kind of things.",0,hear,heard,none,We ’ d,We ’ d heard,We ’ d heard about how these patients had,33.5503819,10.99599171
"We took a vow before we left the camp , we decided that we would not assault or in any way , strike a patient.","We took a vow before we left the camp , we decided we would not assault or in any way , strike a patient.",0,decide,decided,that,"We took a vow before we left the camp , we","We took a vow before we left the camp , we decided","We took a vow before we left the camp , we decided we would not assault or",29.11756086,7.131620884
"When he entered the ward the patients crowded around asking , "" Where is your broomstick ? "" He said he thought he would not need it.","When he entered the ward the patients crowded around asking , "" Where is your broomstick ? "" He said he thought he would not need it.",0,say,said,none,"When he entered the ward the patients crowded around asking , "" Where is your broomstick ? "" He","When he entered the ward the patients crowded around asking , "" Where is your broomstick ? "" He said","When he entered the ward the patients crowded around asking , "" Where is your broomstick ? "" He said he thought he would not",22.44042653,3.614619434
"When he entered the ward the patients crowded around asking , "" Where is your broomstick ? "" He said he thought he would not need it.","When he entered the ward the patients crowded around asking , "" Where is your broomstick ? "" He said he thought he would not need it.",0,think,thought,none,"When he entered the ward the patients crowded around asking , "" Where is your broomstick ? "" He said he","When he entered the ward the patients crowded around asking , "" Where is your broomstick ? "" He said he thought","When he entered the ward the patients crowded around asking , "" Where is your broomstick ? "" He said he thought he would not need it.",20.77392757,6.191809118
""" But suppose some of us gang up on you ? "" The CO guessed they wouldn 't do that and started talking about other things.",""" But suppose some of us gang up on you ? "" The CO guessed they wouldn 't do that and started talking about other things.",0,suppose,suppose,none,""" But",""" But suppose",""" But suppose some of us gang up",31.37624714,12.26842308
""" But suppose some of us gang up on you ? "" The CO guessed they wouldn 't do that and started talking about other things.",""" But suppose some of us gang up on you ? "" The CO guessed they wouldn 't do that and started talking about other things.",0,guess,guessed,none,""" But suppose some of us gang up on you ? "" The CO",""" But suppose some of us gang up on you ? "" The CO guessed",""" But suppose some of us gang up on you ? "" The CO guessed they wouldn 't do that",44.83068228,16.66556913
"And in that way , I got to know a lot of these young men had no idea that the risk they were taking also included death.","And in that way , I got to know a lot of these young men had no idea that the risk they were taking also included death.",0,know,know,none,"And in that way , I got to","And in that way , I got to know","And in that way , I got to know a lot of these young",18.25327075,3.548640251
"And I doubt that even if they knew what the risk was , that an Internal Review Board in any academic institution would consent to that kind of experimental work.","And I doubt even if they knew what the risk was , that an Internal Review Board in any academic institution would consent to that kind of experimental work.",0,doubt,doubt,that,And I,And I doubt,And I doubt even if they knew what,28.51799846,10.13709068
"The hepatitis research was instrumental in determining a virus is responsible for the disease and that it is transmitted through human filth , serum and drinking water.","The hepatitis research was instrumental in determining a virus is responsible for the disease and that it is transmitted through human filth , serum and drinking water.",0,determine,determining,none,The hepatitis research was instrumental in,The hepatitis research was instrumental in determining,The hepatitis research was instrumental in determining a virus is responsible for,33.33319064,6.714320384
"This research proved that colds and some types of pneumonia are cause by a virus , not bacteria.","This research proved colds and some types of pneumonia are cause by a virus , not bacteria.",0,prove,proved,that,This research,This research proved,This research proved colds and some types of,46.12638355,14.27135849
"It was claimed that a second wave named the Euerni , belonging to the Belgae people of northern Gaul , began arriving about the sixth century BC.","It was claimed a second wave named the Euerni , belonging to the Belgae people of northern Gaul , began arriving about the sixth century BC.",0,claim,claimed,that,It was,It was claimed,It was claimed a second wave named the,42.01534009,11.00117183
"This theory proposes that the Celticisation of Ireland may have been the culmination of a long process of social and economic interaction between Ireland , Britain and adjacent parts of Continental Europe.","This theory proposes the Celticisation of Ireland may have been the culmination of a long process of social and economic interaction between Ireland , Britain and adjacent parts of Continental Europe.",0,propose,proposes,that,This theory,This theory proposes,This theory proposes the Celticisation of Ireland may,48.16909017,8.511483192
"The theory was advanced in part because of lack of archeological evidence for large @-@ scale Celtic immigration , though it is accepted that such movements are notoriously difficult to identify.","The theory was advanced in part because of lack of archeological evidence for large @-@ scale Celtic immigration , though it is accepted such movements are notoriously difficult to identify.",0,accept,accepted,that,"The theory was advanced in part because of lack of archeological evidence for large @-@ scale Celtic immigration , though it is","The theory was advanced in part because of lack of archeological evidence for large @-@ scale Celtic immigration , though it is accepted","The theory was advanced in part because of lack of archeological evidence for large @-@ scale Celtic immigration , though it is accepted such movements are notoriously difficult",35.71352577,9.043104887
"Historical linguists are sceptical that this method alone could account for the absorption of the Celtic language , with some saying that an assumed processional view of Celtic linguistic formation is ' an especially hazardous exercise '.","Historical linguists are sceptical that this method alone could account for the absorption of the Celtic language , with some saying an assumed processional view of Celtic linguistic formation is ' an especially hazardous exercise '.",0,say,saying,that,"Historical linguists are sceptical that this method alone could account for the absorption of the Celtic language , with some","Historical linguists are sceptical that this method alone could account for the absorption of the Celtic language , with some saying","Historical linguists are sceptical that this method alone could account for the absorption of the Celtic language , with some saying an assumed processional view of",57.3822161,4.91725862
Medieval Irish literature portrays an almost unbroken sequence of High Kings stretching back thousands of years but modern historians believe the scheme was constructed in the 8th century to justify the status of powerful political groupings by projecting the origins of their rule into the remote past.,Medieval Irish literature portrays an almost unbroken sequence of High Kings stretching back thousands of years but modern historians believe the scheme was constructed in the 8th century to justify the status of powerful political groupings by projecting the origins of their rule into the remote past.,0,believe,believe,none,Medieval Irish literature portrays an almost unbroken sequence of High Kings stretching back thousands of years but modern historians,Medieval Irish literature portrays an almost unbroken sequence of High Kings stretching back thousands of years but modern historians believe,Medieval Irish literature portrays an almost unbroken sequence of High Kings stretching back thousands of years but modern historians believe the scheme was constructed in,29.25621116,4.728960514
Some historians estimate that as much as half of the pre @-@ war population of Ireland may have died as a result of the conflict.,Some historians estimate as much as half of the pre @-@ war population of Ireland may have died as a result of the conflict.,0,estimate,estimate,that,Some historians,Some historians estimate,Some historians estimate as much as half of,16.09150272,9.10559082
"Unionists , especially those located in Ulster , were strongly opposed to Home Rule , which they thought would be dominated by Catholic interests.","Unionists , especially those located in Ulster , were strongly opposed to Home Rule , which they thought would be dominated by Catholic interests.",0,think,thought,none,"Unionists , especially those located in Ulster , were strongly opposed to Home Rule , which they","Unionists , especially those located in Ulster , were strongly opposed to Home Rule , which they thought","Unionists , especially those located in Ulster , were strongly opposed to Home Rule , which they thought would be dominated by Catholic",25.1601837,5.590184689
"The Protestant and Catholic communities in Northern Ireland voted largely along sectarian lines , meaning that the Government of Northern Ireland ( elected by "" first @-@ past @-@ the @-@ post "" from 1929 ) was controlled by the Ulster Unionist Party.","The Protestant and Catholic communities in Northern Ireland voted largely along sectarian lines , meaning the Government of Northern Ireland ( elected by "" first @-@ past @-@ the @-@ post "" from 1929 ) was controlled by the Ulster Unionist Party.",0,mean,meaning,that,"The Protestant and Catholic communities in Northern Ireland voted largely along sectarian lines ,","The Protestant and Catholic communities in Northern Ireland voted largely along sectarian lines , meaning","The Protestant and Catholic communities in Northern Ireland voted largely along sectarian lines , meaning the Government of Northern Ireland",18.00683829,8.974234581
