sentence,pseudo_that,verb,comp_type
"But Madonna wanted Mondino 's opinion on the whole ensemble , who replied that she would look better as a blonde.","But Madonna wanted Mondino 's opinion on the whole ensemble , who replied she would look better as a blonde.",reply,that
Author Bruce Forbes notes that the men in the cubicles are proved unworthy of her and there is an undertone of mockery when Madonna addresses them as ' baby ' while shaking her body.,Author Bruce Forbes notes the men in the cubicles are proved unworthy of her and there is an undertone of mockery when Madonna addresses them as ' baby ' while shaking her body.,note,that
"Feminist writer Susan Bordo gave a negative review of the video , saying that the leering and pathetic men in the cubicles and Madonna 's escape with the boy is "" cynically and mechanically tacked on [ as ] a way of claiming trendy status for what is just cheesecake – or , perhaps , pornography "".","Feminist writer Susan Bordo gave a negative review of the video , saying the leering and pathetic men in the cubicles and Madonna 's escape with the boy is "" cynically and mechanically tacked on [ as ] a way of claiming trendy status for what is just cheesecake – or , perhaps , pornography "".",say,that
"However socio @-@ critic Mary Harron in her book McRock : Pop as Commodity said that the underlying message in the video is that though Madonna sells sexuality , she is free.","However socio @-@ critic Mary Harron in her book McRock : Pop as Commodity said the underlying message in the video is that though Madonna sells sexuality , she is free.",say,that
"Johnston added , "" ' Open Your Heart ' was gorgeous , from the paintings of art deco artist Tamara de Lempicka on the club exterior , to the colorfully cold cast of characters.","Johnston added , "" ' Open Your Heart ' was gorgeous , from the paintings of art deco artist Tamara de Lempicka on the club exterior , to the colorfully cold cast of characters.",add,none
""" She noticed that at one point in the video , Madonna titled her head to re @-@ create the Herb Ritts shot album cover for True Blue.",""" She noticed at one point in the video , Madonna titled her head to re @-@ create the Herb Ritts shot album cover for True Blue.",notice,that
"Sal Cinquemani from Slant Magazine commented that the performances of "" Open Your Heart "" and "" Like a Prayer "" were a reminder that "" ... for both Madonna and her fans , it always comes back to the music "".","Sal Cinquemani from Slant Magazine commented the performances of "" Open Your Heart "" and "" Like a Prayer "" were a reminder that "" ... for both Madonna and her fans , it always comes back to the music "".",comment,that
"Frustrated , Haddock ponders turning back , but Tintin soon realizes the problem : If Sir Francis had used a French instead of an English chart to calculate the position , the coordinates would have been measured on the Paris Meridian rather than the Greenwich Meridian.","Frustrated , Haddock ponders turning back , but Tintin soon realizes the problem : If Sir Francis had used a French instead of an English chart to calculate the position , the coordinates would have been measured on the Paris Meridian rather than the Greenwich Meridian.",realize,none
"There , they find a statue of Sir Francis Haddock and other evidence ; Tintin deduces that Francis Haddock had taken refuge on the island and that the wreck of the Unicorn must be nearby.","There , they find a statue of Sir Francis Haddock and other evidence ; Tintin deduces Francis Haddock had taken refuge on the island and that the wreck of the Unicorn must be nearby.",deduce,that
Among the artefacts is a strongbox containing old documents revealing that Sir Francis Haddock had been the owner of the country estate Marlinspike Hall.,Among the artefacts is a strongbox containing old documents revealing Sir Francis Haddock had been the owner of the country estate Marlinspike Hall.,reveal,that
"Tintin suddenly remembers that Francis Haddock 's original three parchments said , "" For ' tis from the light that light will dawn , and then shines forth the Eagle 's cross "" and realises that this message referred , not to the location of the Unicorn , but to Saint John "" the eagle "" : his traditional symbol.","Tintin suddenly remembers Francis Haddock 's original three parchments said , "" For ' tis from the light that light will dawn , and then shines forth the Eagle 's cross "" and realises that this message referred , not to the location of the Unicorn , but to Saint John "" the eagle "" : his traditional symbol.",remember,that
"Entertainment producer and author Harry Thompson observed that , without the need to satirise political types , "" Hergé was now concentrating more on plot and on developing a new style of character comedy.","Entertainment producer and author Harry Thompson observed , without the need to satirise political types , "" Hergé was now concentrating more on plot and on developing a new style of character comedy.",observe,that
"The instance in the story in which a shark swallows a large box ( that the characters hope contains the treasure ) is based on a real account of a shark that swallowed a camera from the American underwater photographer Otis Barton , which Hergé had encountered in a French illustrated magazine.","The instance in the story in which a shark swallows a large box ( that the characters hope contains the treasure ) is based on a real account of a shark that swallowed a camera from the American underwater photographer Otis Barton , which Hergé had encountered in a French illustrated magazine.",hope,none
"Farr reported that Red Rackham 's Treasure is the best @-@ selling story in The Adventures of Tintin , while Harry Thompson referred to The Secret of the Unicorn @-@ Red Rackham 's Treasure arc as "" the most successful of all Tintin 's adventures "".","Farr reported Red Rackham 's Treasure is the best @-@ selling story in The Adventures of Tintin , while Harry Thompson referred to The Secret of the Unicorn @-@ Red Rackham 's Treasure arc as "" the most successful of all Tintin 's adventures "".",report,that
"Harry Thompson stated that the Secrets of the Unicorn @-@ Red Rackham 's Treasure arc marked the beginning of the third and central stage of "" Tintin 's career "".","Harry Thompson stated the Secrets of the Unicorn @-@ Red Rackham 's Treasure arc marked the beginning of the third and central stage of "" Tintin 's career "".",state,that
"He furthermore stated that in these two stories , Tintin has been converted from a reporter into an explorer to cope with the new political climate.","He furthermore stated in these two stories , Tintin has been converted from a reporter into an explorer to cope with the new political climate.",state,that
"He stated that in this story , Hergé "" abandons the complex plotting of The Secret of the Unicorn in favour of an episodic style of adventure not seen since the early books "".","He stated in this story , Hergé "" abandons the complex plotting of The Secret of the Unicorn in favour of an episodic style of adventure not seen since the early books "".",state,that
"Thompson was critical of the use of colour in the story , stating that much of it looks better in black @-@ and @-@ white , as it was originally printed in Le Soir.","Thompson was critical of the use of colour in the story , stating much of it looks better in black @-@ and @-@ white , as it was originally printed in Le Soir.",state,that
"Hergé biographer Benoît Peeters observed that both The Secret of the Unicorn and Red Rackham 's Treasure "" hold a crucial position "" in The Adventures of Tintin as it establishes the "" Tintin universe "" with its core set of characters.","Hergé biographer Benoît Peeters observed both The Secret of the Unicorn and Red Rackham 's Treasure "" hold a crucial position "" in The Adventures of Tintin as it establishes the "" Tintin universe "" with its core set of characters.",observe,that
"He felt that while religious elements had been present in previous stories , they were even stronger in The Secret of the Unicorn and its sequel , something which he attributed to Van Melkebeke 's influence.","He felt while religious elements had been present in previous stories , they were even stronger in The Secret of the Unicorn and its sequel , something which he attributed to Van Melkebeke 's influence.",feel,that
"Peeters believed that Red Rackham 's Treasure was "" an unforgettable book "" because it is the volume in which the "" family "" — meaning Tintin , Snowy , Haddock , and Calculus — all come together.","Peeters believed Red Rackham 's Treasure was "" an unforgettable book "" because it is the volume in which the "" family "" — meaning Tintin , Snowy , Haddock , and Calculus — all come together.",believe,that
"Fellow biographer Pierre Assouline echoed this idea , noting that Hergé had "" settled "" the three characters in their new home.","Fellow biographer Pierre Assouline echoed this idea , noting Hergé had "" settled "" the three characters in their new home.",note,that
"Focusing on the character of Calculus , he noted that the idea of the eccentric professor was "" so universal that it would be inaccurate to point to any one source "" , suggesting possible influences from Charlie Chaplin and Hergé 's own father.","Focusing on the character of Calculus , he noted the idea of the eccentric professor was "" so universal that it would be inaccurate to point to any one source "" , suggesting possible influences from Charlie Chaplin and Hergé 's own father.",note,that
"He added that both Red Rackham 's Treasure and its predecessor "" reveal Hergé at a new level in his art "" , and suggested that the reason for their popularity lay in the fact that they were "" the visual continuation of a literary universe that stretches from Jules Verne to Pierre Benoit "".","He added both Red Rackham 's Treasure and its predecessor "" reveal Hergé at a new level in his art "" , and suggested that the reason for their popularity lay in the fact that they were "" the visual continuation of a literary universe that stretches from Jules Verne to Pierre Benoit "".",add,that
"He added that both Red Rackham 's Treasure and its predecessor "" reveal Hergé at a new level in his art "" , and suggested that the reason for their popularity lay in the fact that they were "" the visual continuation of a literary universe that stretches from Jules Verne to Pierre Benoit "".","He added that both Red Rackham 's Treasure and its predecessor "" reveal Hergé at a new level in his art "" , and suggested the reason for their popularity lay in the fact that they were "" the visual continuation of a literary universe that stretches from Jules Verne to Pierre Benoit "".",suggest,that
"Jean @-@ Marc Lofficier and Randy Lofficier opined that The Secret of the Unicorn @-@ Red Rackham 's Treasure arc represents "" a turning point "" for the series as it shifts the reader 's attention from Tintin to Haddock , who has become "" by far , the most interesting character "".","Jean @-@ Marc Lofficier and Randy Lofficier opined The Secret of the Unicorn @-@ Red Rackham 's Treasure arc represents "" a turning point "" for the series as it shifts the reader 's attention from Tintin to Haddock , who has become "" by far , the most interesting character "".",opine,that
"They claim that the introduction of Calculus "" completes the indispensable triangle that imbues Tintin with its mythic quality.","They claim the introduction of Calculus "" completes the indispensable triangle that imbues Tintin with its mythic quality.",claim,that
""" Asserting that here , Hergé 's "" art has reached a degree of near @-@ perfection "" , they awarded it five stars out of five.",""" Asserting here , Hergé 's "" art has reached a degree of near @-@ perfection "" , they awarded it five stars out of five.",assert,that
"Michael Farr said that the scene introducing Calculus was "" a comic tour de force "" marking the start of the "" rich vein of humour "" that the character brought to the series.","Michael Farr said the scene introducing Calculus was "" a comic tour de force "" marking the start of the "" rich vein of humour "" that the character brought to the series.",say,that
""" He stated that the arc revolves around Haddock 's ancestry , and in doing so "" deals with the meanings of symbolic relations within personal life "".",""" He stated the arc revolves around Haddock 's ancestry , and in doing so "" deals with the meanings of symbolic relations within personal life "".",state,that
"Highlighting that Calculus was one of many eccentric scientists to have appeared in the series , he nonetheless emphasises his difference by noting that Calculus approaches Tintin , rather than Tintin approaching him , as the young reporter had done with previous scientists.","Highlighting that Calculus was one of many eccentric scientists to have appeared in the series , he nonetheless emphasises his difference by noting Calculus approaches Tintin , rather than Tintin approaching him , as the young reporter had done with previous scientists.",note,that
"Commenting on the introduction of Calculus ' shark submarine , he states that it "" allows them to cross a boundary previously restricting human beings and to penetrate into another universe , the one beneath the seas that holds secrets hitherto unknown.","Commenting on the introduction of Calculus ' shark submarine , he states it "" allows them to cross a boundary previously restricting human beings and to penetrate into another universe , the one beneath the seas that holds secrets hitherto unknown.",state,that
""" Ultimately , he believes that by the end of the story , "" the family structure is in place "" , with Calculus representing a father figure with financial control , and Haddock and Tintin , who have become brothers through their joint adventure , adding that with the aid of Francis Haddock , "" the ancestor "" , they are given a home at Marlinspike Hall.",""" Ultimately , he believes by the end of the story , "" the family structure is in place "" , with Calculus representing a father figure with financial control , and Haddock and Tintin , who have become brothers through their joint adventure , adding that with the aid of Francis Haddock , "" the ancestor "" , they are given a home at Marlinspike Hall.",believe,that
""" Ultimately , he believes that by the end of the story , "" the family structure is in place "" , with Calculus representing a father figure with financial control , and Haddock and Tintin , who have become brothers through their joint adventure , adding that with the aid of Francis Haddock , "" the ancestor "" , they are given a home at Marlinspike Hall.",""" Ultimately , he believes that by the end of the story , "" the family structure is in place "" , with Calculus representing a father figure with financial control , and Haddock and Tintin , who have become brothers through their joint adventure , adding with the aid of Francis Haddock , "" the ancestor "" , they are given a home at Marlinspike Hall.",add,that
He noted Tintin 's misreading of the parchments and stated this was one of a number of calculation mistakes that the character makes in the series.,He noted Tintin 's misreading of the parchments and stated this was one of a number of calculation mistakes that the character makes in the series.,state,none
"He suggested that a scene in which the shark submarine pushes between Haddock 's buttocks was a form of sexual innuendo referencing anal sex , highlighting similar innuendo in The Broken Ear and The Crab with the Golden Claws.","He suggested a scene in which the shark submarine pushes between Haddock 's buttocks was a form of sexual innuendo referencing anal sex , highlighting similar innuendo in The Broken Ear and The Crab with the Golden Claws.",suggest,that
"Coldplay vocalist Chris Martin said , about the writing of the song , "" That came out of playing live and wanting to have something with a bit more bounce.","Coldplay vocalist Chris Martin said , about the writing of the song , "" That came out of playing live and wanting to have something with a bit more bounce.",say,none
""" Greg Kot of the Chicago Tribune commented that the lyric "" God gave you style and gave you grace , "" Martin sings as if "" cataloguing the attributes he only wishes he had "".",""" Greg Kot of the Chicago Tribune commented the lyric "" God gave you style and gave you grace , "" Martin sings as if "" cataloguing the attributes he only wishes he had "".",comment,that
""" Greg Kot of the Chicago Tribune commented that the lyric "" God gave you style and gave you grace , "" Martin sings as if "" cataloguing the attributes he only wishes he had "".",""" Greg Kot of the Chicago Tribune commented that the lyric "" God gave you style and gave you grace , "" Martin sings as if "" cataloguing the attributes he only wishes he had "".",wish,none
"In the Rolling Stone review of the album , critic Rob Sheffield wrote : "" ' God Put a Smile Upon Your Face ' is the slinkiest and best thing Coldplay have ever done.","In the Rolling Stone review of the album , critic Rob Sheffield wrote : "" ' God Put a Smile Upon Your Face ' is the slinkiest and best thing Coldplay have ever done.",write,none
"In the Rolling Stone review of the album , critic Rob Sheffield wrote : "" ' God Put a Smile Upon Your Face ' is the slinkiest and best thing Coldplay have ever done.","In the Rolling Stone review of the album , critic Rob Sheffield wrote : "" ' God Put a Smile Upon Your Face ' is the slinkiest and best thing Coldplay have ever done.",write,none
""" Adrien Begrand of PopMatters wrote : "" Buckland 's lead fills highlight the wondrous ' God Put a Smile on Your Face ' , as the song 's chorus reaches heights that rival those of their fellow countrymen Doves.",""" Adrien Begrand of PopMatters wrote : "" Buckland 's lead fills highlight the wondrous ' God Put a Smile on Your Face ' , as the song 's chorus reaches heights that rival those of their fellow countrymen Doves.",write,none
""" Adrien Begrand of PopMatters wrote : "" Buckland 's lead fills highlight the wondrous ' God Put a Smile on Your Face ' , as the song 's chorus reaches heights that rival those of their fellow countrymen Doves.",""" Adrien Begrand of PopMatters wrote : "" Buckland 's lead fills highlight the wondrous ' God Put a Smile on Your Face ' , as the song 's chorus reaches heights that rival those of their fellow countrymen Doves.",write,none
""" Ted Kessler of NME wrote : "" Over a pounding garage tattoo Martin poses a deep , mortality @-@ based teaser ( ' where do we go from here ? ' ) , asserts some self @-@ belief ( ' God gave me style , God gave me grace ' ) and then hits upon the bottom line as the song 's mood suddenly improves with another fat and glorious chorus : ' Yeah , when you work it out I 'm the same as you .... your guess is as good as mine.",""" Ted Kessler of NME wrote : "" Over a pounding garage tattoo Martin poses a deep , mortality @-@ based teaser ( ' where do we go from here ? ' ) , asserts some self @-@ belief ( ' God gave me style , God gave me grace ' ) and then hits upon the bottom line as the song 's mood suddenly improves with another fat and glorious chorus : ' Yeah , when you work it out I 'm the same as you .... your guess is as good as mine.",write,none
"The video intercuts footage of the band performing the song with the story of a businessman , who is humiliated and horrified to find that he is gradually disappearing , after bumping into a mysterious stranger with no shoes.","The video intercuts footage of the band performing the song with the story of a businessman , who is humiliated and horrified to find he is gradually disappearing , after bumping into a mysterious stranger with no shoes.",find,that
"MDOT reported that only 1 @,@ 500 vehicles use this stretch of road in 2009.","MDOT reported only 1 @,@ 500 vehicles use this stretch of road in 2009.",report,that
"They felt that I @-@ 194 / M @-@ 66 was better known to locals as The Penetrator , and they wished to restore emphasis to Truth.","They felt I @-@ 194 / M @-@ 66 was better known to locals as The Penetrator , and they wished to restore emphasis to Truth.",feel,that
"The following year saw the Army of Excellence Reorganization ( AOE ) transform the remaining elements of the three functional battalions ( maintenance , medical , and supply and transport ) into the 4th Main Support Battalion.","The following year saw the Army of Excellence Reorganization ( AOE ) transform the remaining elements of the three functional battalions ( maintenance , medical , and supply and transport ) into the 4th Main Support Battalion.",see,none
""" However , when Waxy was confined to a stall during the winter months , his temperament became unruly and unpredictable leading the anonymous writer to remark that , "" Oft has he kicked the lappets of my coat over my head.",""" However , when Waxy was confined to a stall during the winter months , his temperament became unruly and unpredictable leading the anonymous writer to remark , "" Oft has he kicked the lappets of my coat over my head.",remark,that
"The meeting was also notable for a "" dreadful accident , "" a collision between a servant on horseback with the colt Exiseman , the winner of the race after the Derby , and for the antics of John Lade dressed in a "" loose undress of blue and white striped trowsers "" asking the crowd to determine whether he was "" the captain of a privateer or an ambassador from the Great Mogul.","The meeting was also notable for a "" dreadful accident , "" a collision between a servant on horseback with the colt Exiseman , the winner of the race after the Derby , and for the antics of John Lade dressed in a "" loose undress of blue and white striped trowsers "" asking the crowd to determine whether he was "" the captain of a privateer or an ambassador from the Great Mogul.",determine,other
"Lightfoot refused to buy Waxy , writing to Tayloe , "" he has lost an eye , and is thirteen years old , and I think his health bad.","Lightfoot refused to buy Waxy , writing to Tayloe , "" he has lost an eye , and is thirteen years old , and I think his health bad.",think,none
"Macrinus may have plotted against Caracalla because of fear for his own life , based on a story mentioned by Herodian and supported by Gibbons : Macrinus would often read dispatches sent to Caracalla , and one such dispatch delivered from Materianus , a friend of Caracalla , detailed a prophecy , perhaps fabricated , from the oracle at Delphi , suggesting that Macrinus was plotting against Caracalla and that Macrinus was destined to become the next emperor.","Macrinus may have plotted against Caracalla because of fear for his own life , based on a story mentioned by Herodian and supported by Gibbons : Macrinus would often read dispatches sent to Caracalla , and one such dispatch delivered from Materianus , a friend of Caracalla , detailed a prophecy , perhaps fabricated , from the oracle at Delphi , suggesting Macrinus was plotting against Caracalla and that Macrinus was destined to become the next emperor.",suggest,that
Gibbon suggests that from here only a small spark would be required to ignite a rebellion.,Gibbon suggests from here only a small spark would be required to ignite a rebellion.,suggest,that
"Some accounts claim that upon being presented to them , Elagabalus was immediately hailed Antoninus after Caracalla.","Some accounts claim upon being presented to them , Elagabalus was immediately hailed Antoninus after Caracalla.",claim,that
"This forced Macrinus to leave , according to Dio in retreat , while Downey asserts that Macrinus left in order to launch an attack.","This forced Macrinus to leave , according to Dio in retreat , while Downey asserts Macrinus left in order to launch an attack.",assert,that
"However , a combination of distrust from the Senate , the impeding approach of Elagabalus 's legions and insufficient funds meant that Macrinus would have to face the approaching Elagabalus with only his Praetorian Guard.","However , a combination of distrust from the Senate , the impeding approach of Elagabalus 's legions and insufficient funds meant Macrinus would have to face the approaching Elagabalus with only his Praetorian Guard.",mean,that
"Herodian challenges this assertion , suggesting that the battle took place closer to the border at Syria Coele and Syria Phoenice , possibly near Emesa.","Herodian challenges this assertion , suggesting the battle took place closer to the border at Syria Coele and Syria Phoenice , possibly near Emesa.",suggest,that
"Other sources either agree with Dio that the battle took place near Antioch , with one source , Downey , suggesting that both battles occurred separately or make no claim as to where the battle occurred.","Other sources either agree with Dio the battle took place near Antioch , with one source , Downey , suggesting that both battles occurred separately or make no claim as to where the battle occurred.",agree,that
"Other sources either agree with Dio that the battle took place near Antioch , with one source , Downey , suggesting that both battles occurred separately or make no claim as to where the battle occurred.","Other sources either agree with Dio that the battle took place near Antioch , with one source , Downey , suggesting both battles occurred separately or make no claim as to where the battle occurred.",suggest,that
"Upon arrival he is stunned to find that his family 's maid Tati ( Djoewariah ) , who had been his childhood playmate , is now a grown and beautiful woman.","Upon arrival he is stunned to find his family 's maid Tati ( Djoewariah ) , who had been his childhood playmate , is now a grown and beautiful woman.",find,that
"He says only that he already has someone in mind , aware that his mother would never approve an inter @-@ class marriage with the maid.","He says only he already has someone in mind , aware that his mother would never approve an inter @-@ class marriage with the maid.",say,that
"When Amir does not return , Tati and her aunt are worried : as Tati saw Amir with Omi , she fears that the two have run away together.","When Amir does not return , Tati and her aunt are worried : as Tati saw Amir with Omi , she fears the two have run away together.",fear,that
"Spotting one , Tati and Abdul Sidik go to a performance , only to learn that Amir was the victim of a car accident.","Spotting one , Tati and Abdul Sidik go to a performance , only to learn Amir was the victim of a car accident.",learn,that
"Although some nationalists considered Gani 's involvement in Asmara Moerni as besmirching the independence movement , Gani considered it necessary : he believed audiences needed to have higher opinions of domestic film productions.","Although some nationalists considered Gani 's involvement in Asmara Moerni as besmirching the independence movement , Gani considered it necessary : he believed audiences needed to have higher opinions of domestic film productions.",believe,none
"An anonymous review for the Bataviaasch Nieuwsblad found the film "" fascinating "" , with good acting , though another review for the same paper found that , though the film was better than contemporary works such as Pantjawarna and Sorga Ka Toedjoe , its claim to abandon stage standards was to be taken "" with a pinch of salt "".","An anonymous review for the Bataviaasch Nieuwsblad found the film "" fascinating "" , with good acting , though another review for the same paper found , though the film was better than contemporary works such as Pantjawarna and Sorga Ka Toedjoe , its claim to abandon stage standards was to be taken "" with a pinch of salt "".",find,that
"As such , American visual anthropologist Karl G. Heider suggests that all Indonesian films from before 1950 are lost.","As such , American visual anthropologist Karl G. Heider suggests all Indonesian films from before 1950 are lost.",suggest,that
"However , JB Kristanto 's Katalog Film Indonesia ( Indonesian Film Catalogue ) records several as having survived at Sinematek Indonesia 's archives , and film historian Misbach Yusa Biran writes that several Japanese propaganda films have survived at the Netherlands Government Information Service.","However , JB Kristanto 's Katalog Film Indonesia ( Indonesian Film Catalogue ) records several as having survived at Sinematek Indonesia 's archives , and film historian Misbach Yusa Biran writes several Japanese propaganda films have survived at the Netherlands Government Information Service.",write,that
"These were quickly joined by the operations and Stevenage depot of Jubilee Coaches , an independent which had previously taken several contracted routes from LCNE , but found it had bid too low for the routes and could no longer fulfil its operations.","These were quickly joined by the operations and Stevenage depot of Jubilee Coaches , an independent which had previously taken several contracted routes from LCNE , but found it had bid too low for the routes and could no longer fulfil its operations.",find,none
Dana Scully ( Gillian Anderson ) arrives late to the crime scene and John Doggett ( Robert Patrick ) tells her that the man 's blood all drained abruptly in the hotel.,Dana Scully ( Gillian Anderson ) arrives late to the crime scene and John Doggett ( Robert Patrick ) tells her the man 's blood all drained abruptly in the hotel.,tell,that
"A child ’ s bloody print is found , but Scully doesn ’ t believe that a child did this.","A child ’ s bloody print is found , but Scully doesn ’ t believe a child did this.",believe,that
"However , the man showed no sign of drugs in the blood tests and Scully tells Doggett that his time of death was 24 to 36 hours prior , long before he left India.","However , the man showed no sign of drugs in the blood tests and Scully tells Doggett his time of death was 24 to 36 hours prior , long before he left India.",tell,that
"Due to a discrepancy in weight , she begins to believe that there was a passenger in the corpse.","Due to a discrepancy in weight , she begins to believe there was a passenger in the corpse.",believe,that
"His father tells him that it was his imagination , goes back downstairs , but then screams.","His father tells him it was his imagination , goes back downstairs , but then screams.",tell,that
"At the school , the principal tells the legless man ’ s janitor guise that she was very worried when he did not show up that morning.","At the school , the principal tells the legless man ’ s janitor guise she was very worried when he did not show up that morning.",tell,that
Trevor later shows up at Quinton ’ s home to say he is sorry and says he thinks he knows who killed his father.,Trevor later shows up at Quinton ’ s home to say he is sorry and says he thinks he knows who killed his father.,say,none
Trevor later shows up at Quinton ’ s home to say he is sorry and says he thinks he knows who killed his father.,Trevor later shows up at Quinton ’ s home to say he is sorry and says he thinks he knows who killed his father.,say,none
Trevor later shows up at Quinton ’ s home to say he is sorry and says he thinks he knows who killed his father.,Trevor later shows up at Quinton ’ s home to say he is sorry and says he thinks he knows who killed his father.,think,none
Trevor later shows up at Quinton ’ s home to say he is sorry and says he thinks he knows who killed his father.,Trevor later shows up at Quinton ’ s home to say he is sorry and says he thinks he knows who killed his father.,know,other
"Scully and Doggett consult Chuck Burks , an old friend of Fox Mulder 's ( David Duchovny ) , who tells the two that Siddhi mystics could do the things Scully described ; the mystics have powers of the mind and can alter people ’ s perceptions of reality.","Scully and Doggett consult Chuck Burks , an old friend of Fox Mulder 's ( David Duchovny ) , who tells the two Siddhi mystics could do the things Scully described ; the mystics have powers of the mind and can alter people ’ s perceptions of reality.",tell,that
"Scully theorizes that a mystic is acting out of revenge since an American plant inadvertently released a gas cloud that killed 118 people in Vishi , outside of Mumbai.","Scully theorizes a mystic is acting out of revenge since an American plant inadvertently released a gas cloud that killed 118 people in Vishi , outside of Mumbai.",theorize,that
"At the scene of the crime , the real Trevor tells Scully that it was the "" little man "" who killed his mother.","At the scene of the crime , the real Trevor tells Scully it was the "" little man "" who killed his mother.",tell,that
"Later , Quinton and Trevor , after realizing that the janitor is actually the beggar , hunt the legless man in the school.","Later , Quinton and Trevor , after realizing the janitor is actually the beggar , hunt the legless man in the school.",realize,that
"He later recalled that he was walking through the Vancouver airport and suddenly had the thought , "" What if someone who came up to me and asked me for money was actually a bad guy.","He later recalled he was walking through the Vancouver airport and suddenly had the thought , "" What if someone who came up to me and asked me for money was actually a bad guy.",recall,that
""" Shiban later noted that his early drafts of the episode featured the antagonist with a different power.",""" Shiban later noted his early drafts of the episode featured the antagonist with a different power.",note,that
"He explained , "" My original idea was a beggar with no legs who can actually shrink himself and climb inside your ear , and Chris Carter – and this is why he 's Chris Carter – said ' No , no , no ! I know what 's even better.","He explained , "" My original idea was a beggar with no legs who can actually shrink himself and climb inside your ear , and Chris Carter – and this is why he 's Chris Carter – said ' No , no , no ! I know what 's even better.",explain,none
"He explained , "" My original idea was a beggar with no legs who can actually shrink himself and climb inside your ear , and Chris Carter – and this is why he 's Chris Carter – said ' No , no , no ! I know what 's even better.","He explained , "" My original idea was a beggar with no legs who can actually shrink himself and climb inside your ear , and Chris Carter – and this is why he 's Chris Carter – said ' No , no , no ! I know what 's even better.",say,none
